Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,3.05,3.21,2.75,3.21,3.21,424500,
2020-01-03,2.88,3.01,2.75,2.81,2.81,226700,-0.12461059190031154
2020-01-06,2.69,2.87,2.45,2.58,2.58,246200,-0.08185053380782914
2020-01-07,2.3,2.55,2.21,2.34,2.34,161600,-0.09302325581395354
2020-01-08,2.24,2.367,2.18,2.25,2.25,115300,-0.038461538461538436
2020-01-09,2.22,2.454,2.2,2.283,2.283,113900,0.014666666666666606
2020-01-10,2.28,2.44,2.0,2.1,2.1,203200,-0.08015768725361361
2020-01-13,2.65,2.98,2.2,2.26,2.26,704400,0.07619047619047614
2020-01-14,2.36,2.48,2.25,2.34,2.34,463500,0.03539823008849563
2020-01-15,2.35,2.37,2.21,2.3,2.3,139300,-0.017094017094017144
2020-01-16,2.29,2.3,2.096,2.16,2.16,174900,-0.060869565217391175
2020-01-17,2.16,2.28,2.16,2.175,2.175,101900,0.006944444444444198
2020-01-21,2.16,2.3,2.09,2.17,2.17,96600,-0.0022988505747125743
2020-01-22,2.15,2.15,1.85,1.882,1.882,244900,-0.13271889400921666
2020-01-23,1.85,1.978,1.72,1.75,1.75,113100,-0.07013815090329434
2020-01-24,1.75,1.92,1.62,1.64,1.64,95500,-0.06285714285714294
2020-01-27,1.61,1.7,1.4,1.5,1.5,52800,-0.08536585365853655
2020-01-28,1.7,1.9,1.66,1.77,1.77,113500,0.17999999999999994
2020-01-29,1.76,1.82,1.53,1.73,1.73,40000,-0.02259887005649719
2020-01-30,1.66,1.89,1.589,1.74,1.74,59100,0.005780346820809301
2020-01-31,1.8,1.8,1.57,1.682,1.682,63700,-0.033333333333333326
2020-02-03,1.88,1.88,1.6,1.68,1.68,86800,-0.0011890606420927874
2020-02-04,1.608,1.75,1.558,1.71,1.71,64900,0.017857142857142794
2020-02-05,1.68,1.74,1.67,1.68,1.68,19600,-0.01754385964912286
2020-02-06,1.65,1.739,1.62,1.63,1.63,22300,-0.029761904761904767
2020-02-07,1.599,1.62,1.54,1.56,1.56,29300,-0.04294478527607348
2020-02-10,1.88,2.25,1.75,2.0,2.0,1208800,0.28205128205128194
2020-02-11,1.95,1.98,1.72,1.82,1.82,147800,-0.08999999999999997
2020-02-12,1.76,1.838,1.69,1.75,1.75,65900,-0.03846153846153855
2020-02-13,1.78,1.819,1.59,1.59,1.59,86200,-0.09142857142857141
2020-02-14,1.6,1.74,1.538,1.68,1.68,54300,0.05660377358490565
2020-02-18,1.7,1.73,1.6,1.637,1.637,16600,-0.025595238095238004
2020-02-19,1.74,1.93,1.6,1.838,1.838,88100,0.1227855833842395
2020-02-20,1.84,2.34,1.76,2.32,2.32,745800,0.26224156692056577
2020-02-21,2.15,2.49,2.03,2.4,2.4,350100,0.034482758620689724
2020-02-24,2.25,2.252,1.97,2.143,2.143,137600,-0.10708333333333342
2020-02-25,2.19,2.19,1.8,1.85,1.85,105100,-0.1367242183854408
2020-02-26,1.95,2.05,1.76,1.79,1.79,37600,-0.032432432432432434
2020-02-27,1.77,1.8,1.661,1.78,1.78,20000,-0.005586592178770999
2020-02-28,1.67,1.88,1.67,1.85,1.85,74100,0.0393258426966292
2020-03-02,1.8,1.8,1.65,1.72,1.72,71700,-0.07027027027027033
2020-03-03,1.66,1.78,1.65,1.76,1.76,56600,0.023255813953488413
2020-03-04,1.78,2.14,1.65,2.04,2.04,246300,0.15909090909090917
2020-03-05,2.13,2.13,1.84,1.87,1.87,82500,-0.08333333333333326
2020-03-06,1.763,1.9,1.763,1.89,1.89,51700,0.010695187165775222
2020-03-09,1.75,1.94,1.615,1.7,1.7,71300,-0.10052910052910047
2020-03-10,1.85,1.85,1.5,1.65,1.65,36000,-0.02941176470588236
2020-03-11,1.55,1.75,1.5,1.55,1.55,85000,-0.06060606060606055
2020-03-12,1.5,1.509,1.13,1.15,1.15,83900,-0.25806451612903236
2020-03-13,1.17,1.333,1.03,1.1,1.1,65700,-0.04347826086956508
2020-03-16,0.88,1.25,0.88,0.93,0.93,28500,-0.15454545454545454
2020-03-17,0.987,1.15,0.9,0.95,0.95,20000,0.021505376344086002
2020-03-18,0.94,0.95,0.69,0.8,0.8,52900,-0.1578947368421052
2020-03-19,0.738,0.9,0.7,0.85,0.85,56500,0.0625
2020-03-20,0.878,1.07,0.878,0.9,0.9,23300,0.05882352941176472
2020-03-23,0.941,0.941,0.76,0.9,0.9,23000,0.0
2020-03-24,0.925,0.97,0.9,0.938,0.938,16100,0.04222222222222216
2020-03-25,0.93,1.064,0.93,1.064,1.064,37400,0.1343283582089554
2020-03-26,1.071,1.25,0.972,1.1,1.1,62800,0.03383458646616555
2020-03-27,1.103,1.122,0.71,0.98,0.98,65900,-0.10909090909090913
2020-03-30,0.91,1.04,0.91,0.98,0.98,10700,0.0
2020-03-31,1.0,1.07,1.0,1.045,1.045,14000,0.06632653061224492
2020-04-01,0.95,1.07,0.95,1.025,1.025,1600,-0.019138755980861233
2020-04-02,0.95,1.06,0.95,1.03,1.03,4700,0.004878048780487809
2020-04-03,1.07,1.07,0.975,1.0,1.0,4900,-0.029126213592232997
