Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,5.55,5.6,5.39,5.4,5.4,182300,
2020-01-03,5.33,5.53,5.3,5.5,5.5,191200,0.01851851851851838
2020-01-06,5.45,6.05,5.45,5.96,5.96,660100,0.08363636363636373
2020-01-07,5.95,6.01,5.67,5.73,5.73,553100,-0.038590604026845554
2020-01-08,5.77,6.0,5.7,5.76,5.76,358000,0.005235602094240788
2020-01-09,5.75,6.23,5.7,6.15,6.15,804200,0.06770833333333348
2020-01-10,6.16,6.19,5.98,6.04,6.04,231400,-0.01788617886178867
2020-01-13,6.1,6.25,6.03,6.23,6.23,349000,0.0314569536423841
2020-01-14,6.21,6.57,6.2,6.46,6.46,352500,0.036918138041733384
2020-01-15,6.44,6.98,6.44,6.87,6.87,615300,0.06346749226006199
2020-01-16,6.95,7.06,6.85,6.93,6.93,634900,0.008733624454148492
2020-01-17,6.98,7.03,6.9,6.97,6.97,493800,0.005772005772005873
2020-01-21,7.01,7.07,6.89,7.03,7.03,297000,0.008608321377331585
2020-01-22,7.04,7.32,6.94,7.09,7.09,349300,0.008534850640113723
2020-01-23,7.07,7.1,6.94,7.05,7.05,409100,-0.005641748942172065
2020-01-24,7.2,7.32,6.95,7.0,7.0,476400,-0.007092198581560294
2020-01-27,6.9,7.11,6.88,6.97,6.97,367200,-0.004285714285714337
2020-01-28,7.0,7.33,7.0,7.28,7.28,465900,0.04447632711621252
2020-01-29,7.34,7.38,7.11,7.18,7.18,308900,-0.013736263736263798
2020-01-30,7.09,7.33,7.04,7.25,7.25,271600,0.009749303621169991
2020-01-31,7.25,7.27,7.01,7.14,7.14,304300,-0.015172413793103523
2020-02-03,7.14,7.33,7.07,7.18,7.18,304200,0.0056022408963585235
2020-02-04,7.31,7.8,7.24,7.48,7.48,582000,0.04178272980501396
2020-02-05,7.54,8.0,7.51,7.91,7.91,508500,0.05748663101604268
2020-02-06,7.94,8.01,7.74,7.95,7.95,538400,0.005056890012642201
2020-02-07,7.95,8.07,7.75,7.88,7.88,361400,-0.008805031446540879
2020-02-10,7.85,7.92,7.6,7.7,7.7,206100,-0.022842639593908642
2020-02-11,7.74,7.99,7.6,7.77,7.77,367200,0.009090909090909038
2020-02-12,7.83,8.34,7.83,8.2,8.2,438100,0.05534105534105538
2020-02-13,8.13,8.31,8.01,8.22,8.22,160400,0.0024390243902441266
2020-02-14,8.38,9.0,8.33,8.73,8.73,931100,0.062043795620437825
2020-02-18,8.74,8.85,8.25,8.52,8.52,475000,-0.024054982817869552
2020-02-19,8.53,8.65,8.33,8.52,8.52,319000,0.0
2020-02-20,8.51,8.97,8.51,8.66,8.66,332400,0.016431924882629234
2020-02-21,8.65,8.73,8.46,8.68,8.68,440100,0.002309468822170757
2020-02-24,8.42,8.56,8.32,8.39,8.39,321500,-0.033410138248847865
2020-02-25,8.39,8.51,8.05,8.21,8.21,401200,-0.021454112038140627
2020-02-26,8.21,8.33,7.36,7.92,7.92,787900,-0.035322777101096325
2020-02-27,8.25,9.06,7.94,8.2,8.2,1044900,0.03535353535353525
2020-02-28,8.05,8.2,7.82,8.12,8.12,693800,-0.009756097560975618
2020-03-02,8.2,8.24,7.66,7.88,7.88,906600,-0.029556650246305383
2020-03-03,7.96,8.16,7.51,7.74,7.74,500700,-0.017766497461928932
2020-03-04,7.84,7.95,7.55,7.75,7.75,353400,0.0012919896640826156
2020-03-05,7.65,7.65,7.15,7.24,7.24,368500,-0.06580645161290322
2020-03-06,7.09,7.23,6.67,6.86,6.86,438600,-0.0524861878453039
2020-03-09,6.32,6.73,5.75,6.1,6.1,476000,-0.11078717201166188
2020-03-10,6.34,6.4,5.83,6.13,6.13,591500,0.004918032786885185
2020-03-11,5.95,6.0,5.24,5.39,5.39,423900,-0.12071778140293643
2020-03-12,5.0,5.11,4.52,4.84,4.84,446800,-0.10204081632653061
2020-03-13,5.05,5.69,4.8,5.66,5.66,713500,0.16942148760330578
2020-03-16,4.67,5.32,4.48,5.23,5.23,634200,-0.07597173144876324
2020-03-17,5.32,5.53,4.15,4.81,4.81,910500,-0.08030592734225639
2020-03-18,4.62,4.77,4.0,4.01,4.01,621700,-0.16632016632016633
2020-03-19,4.0,4.07,3.73,3.82,3.82,485500,-0.04738154613466328
2020-03-20,3.91,4.3,3.6,3.84,3.84,899000,0.005235602094240788
2020-03-23,3.97,4.01,3.37,3.94,3.94,484100,0.02604166666666674
2020-03-24,4.16,4.94,4.15,4.9,4.9,564900,0.24365482233502544
2020-03-25,4.93,5.7,4.93,5.38,5.38,578600,0.09795918367346923
2020-03-26,5.47,5.99,5.38,5.55,5.55,582600,0.03159851301115246
2020-03-27,5.4,5.43,4.94,5.16,5.16,479700,-0.07027027027027022
2020-03-30,5.17,5.17,4.61,4.68,4.68,299500,-0.09302325581395354
2020-03-31,4.68,4.79,4.39,4.71,4.71,372600,0.0064102564102563875
2020-04-01,4.6,4.6,3.6,3.66,3.66,711200,-0.22292993630573243
2020-04-02,3.77,3.77,3.4,3.42,3.42,472700,-0.06557377049180335
2020-04-03,3.41,3.46,3.14,3.41,3.41,469200,-0.0029239766081871066
