Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,9.37,9.71,9.22,9.3087,9.3087,5323,
2020-01-03,9.3641,10.12,8.67,8.85,8.85,16022,-0.0492764832898257
2020-01-06,9.19,10.4018,9.19,10.03,10.03,37982,0.1333333333333333
2020-01-07,10.1,10.2959,9.274,9.94,9.94,8085,-0.008973080757726848
2020-01-08,9.85,10.3158,9.85,9.85,9.85,29880,-0.00905432595573441
2020-01-09,10.12,10.1405,10.0446,10.07,10.07,5130,0.022335025380710638
2020-01-10,10.15,10.323,10.14,10.29,10.29,4157,0.021847070506454624
2020-01-13,10.3,10.3,9.51,9.92,9.92,2937,-0.03595724003887257
2020-01-14,9.9656,10.08,9.59,9.65,9.65,27437,-0.027217741935483875
2020-01-15,9.84,10.16,9.5201,9.79,9.79,7352,0.014507772020725174
2020-01-16,9.88,10.0537,9.75,9.98,9.98,1090,0.019407558733401498
2020-01-17,10.03,10.03,8.74,9.32,9.32,30890,-0.06613226452905818
2020-01-21,9.6,9.7514,9.25,9.7424,9.7424,7276,0.04532188841201723
2020-01-22,9.91,9.91,9.35,9.5,9.5,8078,-0.024880932829692837
2020-01-23,9.4367,9.68,9.25,9.56,9.56,1926,0.006315789473684275
2020-01-24,9.56,9.63,9.54,9.62,9.62,2900,0.006276150627614996
2020-01-27,9.6499,9.6499,9.3649,9.42,9.42,3663,-0.02079002079002068
2020-01-28,9.31,9.45,9.31,9.45,9.45,931,0.0031847133757960666
2020-01-29,9.45,9.45,9.37,9.45,9.45,2619,0.0
2020-01-30,9.45,9.45,9.25,9.45,9.45,7886,0.0
2020-01-31,9.58,9.58,8.475,8.95,8.95,65491,-0.05291005291005291
2020-02-03,8.92,9.35,8.92,9.15,9.15,10701,0.022346368715083997
2020-02-04,9.27,9.28,9.1101,9.15,9.15,17102,0.0
2020-02-05,9.22,9.65,9.2,9.3,9.3,23000,0.016393442622950838
2020-02-06,9.3,9.4,9.28,9.37,9.37,1100,0.007526881720429923
2020-02-07,9.2,9.31,8.82,8.82,8.82,7200,-0.05869797225186757
2020-02-10,9.07,9.43,9.07,9.34,9.34,7300,0.05895691609977316
2020-02-11,9.1,9.3,9.0,9.2,9.2,2000,-0.014989293361884481
2020-02-12,9.15,9.15,8.77,8.86,8.86,8900,-0.036956521739130443
2020-02-13,8.66,9.12,8.66,8.72,8.72,11800,-0.015801354401805745
2020-02-14,8.73,8.99,8.73,8.78,8.78,16200,0.006880733944953921
2020-02-18,8.8,9.0,8.56,8.88,8.88,10400,0.011389521640091216
2020-02-19,8.95,9.06,8.89,8.89,8.89,26000,0.0011261261261261701
2020-02-20,8.84,8.9,8.81,8.82,8.82,4700,-0.007874015748031482
2020-02-21,8.82,8.82,8.82,8.82,8.82,0,0.0
2020-02-24,8.78,8.78,8.78,8.78,8.78,600,-0.0045351473922903285
2020-02-25,8.55,8.9,8.45,8.65,8.65,7600,-0.01480637813211838
2020-02-26,8.56,8.72,8.25,8.31,8.31,30800,-0.03930635838150287
2020-02-27,8.5,8.5,8.1,8.2,8.2,33900,-0.013237063778580138
2020-02-28,8.47,8.47,7.23,7.87,7.87,26400,-0.040243902439024315
2020-03-02,8.79,8.99,8.6,8.95,8.95,6600,0.13722998729351965
2020-03-03,8.88,9.0,8.82,9.0,9.0,5200,0.005586592178770999
2020-03-04,9.0,9.0,8.54,8.88,8.88,2000,-0.013333333333333197
2020-03-05,8.88,8.89,8.24,8.25,8.25,8100,-0.07094594594594605
2020-03-06,8.73,8.81,8.35,8.35,8.35,5600,0.012121212121211977
2020-03-09,8.29,8.29,8.1,8.22,8.22,20900,-0.015568862275448958
2020-03-10,8.25,8.4,8.15,8.16,8.16,30800,-0.007299270072992803
2020-03-11,8.02,8.1,7.3,7.47,7.47,61200,-0.0845588235294118
2020-03-12,7.14,7.17,6.25,6.49,6.49,43200,-0.13119143239625164
2020-03-13,6.72,7.1,6.72,6.8,6.8,29300,0.04776579352850541
2020-03-16,5.9,6.06,5.4,5.99,5.99,21300,-0.11911764705882344
2020-03-17,5.57,6.73,5.45,6.47,6.47,48200,0.08013355592654414
2020-03-18,6.08,6.11,4.42,6.0,6.0,33600,-0.07264296754250388
2020-03-19,5.94,6.83,5.7,6.83,6.83,38000,0.13833333333333342
2020-03-20,6.83,6.83,6.34,6.7,6.7,9000,-0.019033674963396807
2020-03-23,6.7,6.7,5.28,6.25,6.25,15300,-0.06716417910447758
2020-03-24,6.01,6.66,5.9,6.29,6.29,17500,0.006399999999999961
2020-03-25,6.15,6.85,5.9,6.25,6.25,15800,-0.006359300476947549
2020-03-26,6.35,6.79,6.27,6.28,6.28,3000,0.0048000000000001375
2020-03-27,5.88,6.5,5.88,6.5,6.5,5200,0.03503184713375784
2020-03-30,6.2,6.74,5.63,6.1,6.1,64300,-0.06153846153846154
2020-03-31,6.11,6.48,6.06,6.3,6.3,20500,0.032786885245901676
2020-04-01,6.06,6.75,6.06,6.15,6.15,24200,-0.023809523809523725
2020-04-02,6.25,6.5,6.01,6.15,6.15,44000,0.0
2020-04-03,6.21,6.55,6.15,6.43,6.43,24400,0.04552845528455274
