Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,1.08,1.09,1.01,1.03,1.03,59600,
2020-01-03,1.05,1.05,0.99,1.02,1.02,89600,-0.009708737864077666
2020-01-06,1.04,1.04,0.99,1.01,1.01,65700,-0.009803921568627416
2020-01-07,1.02,1.02,0.92,0.97,0.97,98000,-0.03960396039603964
2020-01-08,0.964,0.992,0.93,0.976,0.976,69500,0.006185567010309256
2020-01-09,1.0,1.04,0.97,1.04,1.04,95200,0.06557377049180335
2020-01-10,1.05,1.09,1.015,1.08,1.08,121300,0.03846153846153855
2020-01-13,1.05,1.35,1.05,1.15,1.15,607100,0.06481481481481466
2020-01-14,1.46,1.72,1.2,1.26,1.26,2861000,0.09565217391304359
2020-01-15,1.26,1.4,1.15,1.37,1.37,416800,0.08730158730158744
2020-01-16,1.3,1.5,1.283,1.42,1.42,484300,0.03649635036496335
2020-01-17,1.51,1.51,1.34,1.44,1.44,281100,0.014084507042253502
2020-01-21,1.48,1.5,1.37,1.46,1.46,178100,0.01388888888888884
2020-01-22,1.44,1.44,1.3,1.34,1.34,174100,-0.08219178082191769
2020-01-23,1.36,1.44,1.34,1.39,1.39,116700,0.03731343283582067
2020-01-24,1.4,1.43,1.31,1.36,1.36,108200,-0.021582733812949506
2020-01-27,1.42,1.42,1.29,1.31,1.31,191000,-0.03676470588235292
2020-01-28,1.66,2.75,1.55,2.05,2.05,21229000,0.5648854961832059
2020-01-29,1.96,2.08,1.68,1.83,1.83,2055500,-0.10731707317073158
2020-01-30,1.83,1.99,1.72,1.88,1.88,985200,0.027322404371584508
2020-01-31,1.85,1.9,1.62,1.72,1.72,639700,-0.08510638297872342
2020-02-03,1.67,1.71,1.58,1.64,1.64,512900,-0.04651162790697683
2020-02-04,1.62,1.67,1.59,1.64,1.64,325900,0.0
2020-02-05,1.64,1.661,1.6,1.63,1.63,235600,-0.0060975609756097615
2020-02-06,1.65,2.15,1.62,2.04,2.04,1518800,0.25153374233128845
2020-02-07,1.98,1.99,1.82,1.87,1.87,630100,-0.08333333333333326
2020-02-10,1.86,1.889,1.76,1.81,1.81,271900,-0.03208556149732622
2020-02-11,1.82,1.845,1.73,1.76,1.76,213700,-0.027624309392265234
2020-02-12,1.81,1.81,1.7,1.79,1.79,176400,0.017045454545454586
2020-02-13,1.79,1.89,1.72,1.74,1.74,313300,-0.027932960893854775
2020-02-14,1.75,1.76,1.65,1.68,1.68,258700,-0.034482758620689724
2020-02-18,1.68,1.75,1.53,1.71,1.71,574100,0.017857142857142794
2020-02-19,1.71,2.18,1.65,2.01,2.01,1181500,0.17543859649122795
2020-02-20,1.99,2.09,1.89,1.96,1.96,504500,-0.02487562189054715
2020-02-21,1.96,1.96,1.834,1.9,1.9,147200,-0.030612244897959218
2020-02-24,1.82,1.89,1.78,1.86,1.86,170400,-0.021052631578947323
2020-02-25,1.89,1.89,1.64,1.69,1.69,384500,-0.09139784946236562
2020-02-26,1.68,1.8,1.635,1.8,1.8,212500,0.06508875739644981
2020-02-27,1.7,1.88,1.66,1.8,1.8,455200,0.0
2020-02-28,1.75,2.31,1.7,2.27,2.27,1683600,0.26111111111111107
2020-03-02,2.19,2.453,1.8,2.2,2.2,1496400,-0.03083700440528625
2020-03-03,2.29,2.43,1.95,1.97,1.97,1034200,-0.10454545454545461
2020-03-04,2.07,2.25,2.07,2.23,2.23,483300,0.13197969543147203
2020-03-05,2.19,2.248,2.08,2.19,2.19,261900,-0.017937219730941756
2020-03-06,2.1,2.223,2.07,2.13,2.13,220900,-0.0273972602739726
2020-03-09,2.1,2.11,1.89,1.91,1.91,325000,-0.10328638497652587
2020-03-10,1.95,2.119,1.76,1.96,1.96,294300,0.02617801047120416
2020-03-11,1.99,2.02,1.75,1.81,1.81,228700,-0.07653061224489788
2020-03-12,1.75,1.77,1.46,1.55,1.55,329700,-0.14364640883977897
2020-03-13,1.54,1.64,1.45,1.6,1.6,115100,0.032258064516129004
2020-03-16,1.4,1.486,1.21,1.37,1.37,220000,-0.14374999999999993
2020-03-17,1.471,1.471,1.26,1.4,1.4,132900,0.021897810218977964
2020-03-18,1.31,1.4,1.11,1.11,1.11,265100,-0.20714285714285707
2020-03-19,1.1,1.35,1.1,1.18,1.18,120600,0.06306306306306286
2020-03-20,1.19,1.37,1.18,1.28,1.28,138900,0.0847457627118644
2020-03-23,1.22,1.37,1.2,1.28,1.28,70100,0.0
2020-03-24,1.39,1.53,1.29,1.34,1.34,106000,0.046875
2020-03-25,1.42,1.52,1.35,1.41,1.41,156800,0.05223880597014907
2020-03-26,1.42,1.7,1.42,1.54,1.54,177100,0.09219858156028371
2020-03-27,1.54,1.7,1.48,1.61,1.61,163800,0.045454545454545414
2020-03-30,1.68,1.73,1.45,1.6,1.6,211000,-0.006211180124223614
2020-03-31,1.69,1.69,1.56,1.59,1.59,79700,-0.006249999999999978
2020-04-01,1.55,1.58,1.4,1.49,1.49,75000,-0.06289308176100639
2020-04-02,1.46,1.62,1.46,1.52,1.52,60500,0.020134228187919545
2020-04-03,1.51,1.54,1.365,1.5,1.5,65700,-0.013157894736842146
