Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,0.46,0.46,0.45,0.455,0.455,73900,
2020-01-03,0.47,0.48,0.433,0.45,0.45,155200,-0.01098901098901095
2020-01-06,0.45,0.47,0.43,0.439,0.439,111100,-0.02444444444444449
2020-01-07,0.46,0.474,0.421,0.46,0.46,177900,0.04783599088838275
2020-01-08,0.47,0.49,0.441,0.47,0.47,152000,0.021739130434782483
2020-01-09,0.47,0.48,0.453,0.46,0.46,110300,-0.02127659574468077
2020-01-10,0.476,0.476,0.401,0.437,0.437,172500,-0.050000000000000044
2020-01-13,0.445,0.448,0.43,0.44,0.44,52300,0.006864988558352492
2020-01-14,0.431,0.45,0.422,0.434,0.434,220900,-0.013636363636363669
2020-01-15,0.431,0.44,0.43,0.43,0.43,180700,-0.009216589861751112
2020-01-16,0.43,0.45,0.43,0.432,0.432,71700,0.0046511627906977715
2020-01-17,0.431,0.44,0.411,0.421,0.421,104500,-0.02546296296296302
2020-01-21,0.42,0.42,0.37,0.38,0.38,451800,-0.09738717339667458
2020-01-22,0.38,0.381,0.35,0.37,0.37,472900,-0.02631578947368418
2020-01-23,0.36,0.38,0.353,0.375,0.375,139400,0.013513513513513598
2020-01-24,0.351,0.389,0.351,0.385,0.385,244500,0.026666666666666616
2020-01-27,0.389,0.39,0.37,0.376,0.376,146400,-0.023376623376623384
2020-01-28,0.386,0.4,0.381,0.395,0.395,199800,0.05053191489361697
2020-01-29,0.399,0.41,0.373,0.393,0.393,240400,-0.005063291139240533
2020-01-30,0.374,0.4,0.374,0.391,0.391,151200,-0.0050890585241730735
2020-01-31,0.391,0.4,0.385,0.392,0.392,63300,0.002557544757033181
2020-02-03,0.4,0.41,0.39,0.391,0.391,87900,-0.0025510204081632404
2020-02-04,0.372,0.397,0.371,0.389,0.389,71400,-0.005115089514066473
2020-02-05,0.38,0.395,0.38,0.389,0.389,51200,0.0
2020-02-06,0.38,0.39,0.38,0.38,0.38,94200,-0.023136246786632397
2020-02-07,0.38,0.389,0.38,0.381,0.381,61100,0.002631578947368318
2020-02-10,0.387,0.4,0.38,0.399,0.399,167400,0.047244094488189115
2020-02-11,0.39,0.43,0.381,0.402,0.402,367000,0.007518796992481258
2020-02-12,0.405,0.435,0.402,0.415,0.415,214700,0.03233830845771135
2020-02-13,0.43,0.43,0.41,0.412,0.412,123000,-0.0072289156626506035
2020-02-14,0.42,0.427,0.392,0.393,0.393,88600,-0.0461165048543688
2020-02-18,0.41,0.41,0.383,0.4,0.4,186100,0.01781170483460559
2020-02-19,0.42,0.42,0.4,0.4,0.4,195100,0.0
2020-02-20,0.401,0.409,0.4,0.4,0.4,316700,0.0
2020-02-21,0.409,0.409,0.39,0.4,0.4,140600,0.0
2020-02-24,0.42,0.42,0.39,0.4,0.4,91800,0.0
2020-02-25,0.393,0.398,0.358,0.39,0.39,180700,-0.025000000000000022
2020-02-26,0.39,0.4,0.36,0.37,0.37,538900,-0.05128205128205132
2020-02-27,0.389,0.389,0.365,0.38,0.38,115600,0.027027027027026973
2020-02-28,0.379,0.38,0.35,0.37,0.37,201500,-0.02631578947368418
2020-03-02,0.35,0.37,0.35,0.355,0.355,83200,-0.04054054054054057
2020-03-03,0.35,0.37,0.35,0.355,0.355,112400,0.0
2020-03-04,0.365,0.38,0.35,0.35,0.35,204500,-0.014084507042253502
2020-03-05,0.35,0.38,0.35,0.38,0.38,126400,0.08571428571428585
2020-03-06,0.379,0.379,0.33,0.37,0.37,166500,-0.02631578947368418
2020-03-09,0.345,0.36,0.339,0.345,0.345,147200,-0.06756756756756765
2020-03-10,0.35,0.36,0.331,0.332,0.332,96000,-0.03768115942028971
2020-03-11,0.34,0.34,0.3,0.307,0.307,116100,-0.07530120481927716
2020-03-12,0.213,0.3,0.213,0.24,0.24,206600,-0.21824104234527686
2020-03-13,0.3,0.33,0.265,0.33,0.33,427500,0.3750000000000002
2020-03-16,0.23,0.3,0.23,0.28,0.28,216800,-0.1515151515151515
2020-03-17,0.285,0.285,0.223,0.28,0.28,197300,0.0
2020-03-18,0.28,0.32,0.26,0.281,0.281,160400,0.0035714285714285587
2020-03-19,0.294,0.3,0.28,0.29,0.29,254100,0.032028469750889466
2020-03-20,0.31,0.34,0.29,0.29,0.29,511000,0.0
2020-03-23,0.3,0.34,0.29,0.316,0.316,95700,0.08965517241379328
2020-03-24,0.33,0.35,0.3,0.348,0.348,256400,0.10126582278481
2020-03-25,0.35,0.36,0.311,0.337,0.337,151400,-0.03160919540229867
2020-03-26,0.34,0.39,0.34,0.378,0.378,169700,0.12166172106824913
2020-03-27,0.389,0.39,0.341,0.36,0.36,129600,-0.04761904761904767
2020-03-30,0.344,0.38,0.34,0.352,0.352,70800,-0.022222222222222254
2020-03-31,0.357,0.43,0.31,0.35,0.35,439700,-0.005681818181818232
2020-04-01,0.362,0.375,0.31,0.35,0.35,51800,0.0
2020-04-02,0.353,0.364,0.34,0.34,0.34,103000,-0.02857142857142847
2020-04-03,0.337,0.34,0.311,0.328,0.328,43700,-0.03529411764705881
