Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,0.5,0.51,0.47,0.51,0.51,1063400,
2020-01-03,0.49,0.5,0.48,0.49,0.49,560700,-0.03921568627450989
2020-01-06,0.49,0.49,0.46,0.48,0.48,730100,-0.020408163265306145
2020-01-07,0.49,0.49,0.48,0.48,0.48,297700,0.0
2020-01-08,0.48,0.48,0.47,0.48,0.48,583600,0.0
2020-01-09,0.49,0.49,0.47,0.47,0.47,359400,-0.02083333333333337
2020-01-10,0.48,0.49,0.47,0.48,0.48,377500,0.02127659574468077
2020-01-13,0.49,0.49,0.47,0.48,0.48,436000,0.0
2020-01-14,0.47,0.48,0.47,0.48,0.48,283800,0.0
2020-01-15,0.47,0.48,0.46,0.47,0.47,660800,-0.02083333333333337
2020-01-16,0.48,0.48,0.47,0.47,0.47,365600,0.0
2020-01-17,0.47,0.47,0.46,0.46,0.46,464700,-0.02127659574468077
2020-01-21,0.46,0.46,0.44,0.45,0.45,782700,-0.021739130434782594
2020-01-22,0.46,0.46,0.43,0.45,0.45,661700,0.0
2020-01-23,0.45,0.47,0.45,0.47,0.47,666200,0.04444444444444429
2020-01-24,0.47,0.47,0.45,0.45,0.45,484300,-0.04255319148936165
2020-01-27,0.45,0.45,0.43,0.44,0.44,415800,-0.022222222222222254
2020-01-28,0.44,0.46,0.43,0.43,0.43,254900,-0.022727272727272707
2020-01-29,0.44,0.44,0.43,0.44,0.44,405600,0.023255813953488413
2020-01-30,0.44,0.44,0.42,0.44,0.44,465300,0.0
2020-01-31,0.44,0.46,0.43,0.44,0.44,490200,0.0
2020-02-03,0.46,0.46,0.44,0.44,0.44,320100,0.0
2020-02-04,0.44,0.46,0.44,0.44,0.44,462100,0.0
2020-02-05,0.46,0.48,0.45,0.48,0.48,718800,0.09090909090909083
2020-02-06,0.48,0.55,0.47,0.53,0.53,2758700,0.10416666666666674
2020-02-07,0.54,0.65,0.54,0.62,0.62,5305200,0.16981132075471694
2020-02-10,0.69,0.77,0.5,0.59,0.59,9541500,-0.048387096774193616
2020-02-11,0.58,0.59,0.53,0.54,0.54,1747100,-0.08474576271186429
2020-02-12,0.55,0.55,0.5,0.51,0.51,1395600,-0.05555555555555558
2020-02-13,0.51,0.59,0.5,0.55,0.55,1911300,0.07843137254901977
2020-02-14,0.55,0.55,0.52,0.53,0.53,743300,-0.036363636363636376
2020-02-18,0.53,0.55,0.52,0.55,0.55,439200,0.037735849056603765
2020-02-19,0.54,0.56,0.53,0.56,0.56,730600,0.0181818181818183
2020-02-20,0.57,0.59,0.54,0.56,0.56,745600,0.0
2020-02-21,0.56,0.63,0.56,0.61,0.61,1393800,0.08928571428571419
2020-02-24,0.61,0.63,0.58,0.6,0.6,1063400,-0.016393442622950838
2020-02-25,0.61,0.62,0.55,0.56,0.56,767500,-0.06666666666666654
2020-02-26,0.56,0.57,0.52,0.53,0.53,898600,-0.0535714285714286
2020-02-27,0.51,0.61,0.5,0.58,0.58,2363600,0.09433962264150941
2020-02-28,0.59,0.75,0.59,0.75,0.75,8079200,0.2931034482758621
2020-03-02,0.86,0.88,0.65,0.66,0.66,4782300,-0.12
2020-03-03,0.76,0.8,0.66,0.68,0.68,3067400,0.030303030303030276
2020-03-04,0.68,0.73,0.66,0.71,0.71,2234600,0.04411764705882337
2020-03-05,0.71,0.72,0.66,0.68,0.68,1362600,-0.042253521126760396
2020-03-06,0.67,0.7,0.64,0.67,0.67,1136100,-0.014705882352941235
2020-03-09,0.67,0.67,0.58,0.6,0.6,1293300,-0.10447761194029859
2020-03-10,0.67,0.7,0.62,0.64,0.64,1531700,0.06666666666666665
2020-03-11,0.64,0.65,0.56,0.6,0.6,735700,-0.0625
2020-03-12,0.52,0.57,0.5,0.54,0.54,1123800,-0.09999999999999987
2020-03-13,0.55,0.57,0.51,0.53,0.53,941100,-0.01851851851851849
2020-03-16,0.52,0.57,0.5,0.54,0.54,681300,0.018867924528301883
2020-03-17,0.52,0.57,0.52,0.55,0.55,563100,0.0185185185185186
2020-03-18,0.53,0.55,0.47,0.5,0.5,1329500,-0.09090909090909094
2020-03-19,0.49,0.53,0.48,0.51,0.51,759700,0.020000000000000018
2020-03-20,0.5,0.54,0.49,0.53,0.53,742800,0.03921568627450989
2020-03-23,0.54,0.54,0.5,0.54,0.54,632800,0.018867924528301883
2020-03-24,0.53,0.55,0.51,0.54,0.54,569100,0.0
2020-03-25,0.54,0.57,0.52,0.55,0.55,784200,0.0185185185185186
2020-03-26,0.54,0.56,0.54,0.54,0.54,537800,-0.018181818181818188
2020-03-27,0.54,0.59,0.54,0.56,0.56,712500,0.03703703703703698
2020-03-30,0.6,0.6,0.55,0.59,0.59,801000,0.05357142857142838
2020-03-31,0.58,0.59,0.56,0.58,0.58,485700,-0.016949152542372947
2020-04-01,0.57,0.6,0.56,0.57,0.57,507200,-0.017241379310344862
2020-04-02,0.57,0.57,0.54,0.54,0.54,383200,-0.05263157894736825
2020-04-03,0.54,0.56,0.53,0.55,0.55,325900,0.0185185185185186
