Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,14.95,14.95,13.89,14.42,14.42,12900,
2020-01-03,14.24,14.24,13.91,13.91,13.91,4200,-0.035367545076282925
2020-01-06,13.84,14.07,13.33,13.74,13.74,20500,-0.012221423436376666
2020-01-07,13.79,13.79,13.5,13.6,13.6,13000,-0.010189228529839944
2020-01-08,13.46,13.46,13.12,13.46,13.46,22100,-0.010294117647058787
2020-01-09,13.33,13.6,13.22,13.41,13.41,13700,-0.003714710252600395
2020-01-10,13.36,13.44,13.1,13.35,13.35,13400,-0.004474272930648837
2020-01-13,13.36,13.65,13.28,13.3,13.3,9000,-0.0037453183520598232
2020-01-14,13.26,13.5,13.26,13.43,13.43,18000,0.009774436090225436
2020-01-15,13.31,13.48,13.25,13.43,13.43,24800,0.0
2020-01-16,13.45,13.45,13.35,13.36,13.36,19200,-0.005212211466865235
2020-01-17,13.37,13.45,13.35,13.43,13.43,12600,0.0052395209580837765
2020-01-21,12.95,12.99,12.62,12.8,12.8,26400,-0.04690990320178701
2020-01-22,12.7,12.87,12.51,12.8,12.8,14200,0.0
2020-01-23,12.78,13.37,12.6,13.37,13.37,7800,0.04453124999999991
2020-01-24,12.99,12.99,12.6,12.75,12.75,14900,-0.046372475691847326
2020-01-27,12.59,12.97,12.21,12.26,12.26,13800,-0.03843137254901963
2020-01-28,12.4,12.63,12.1,12.54,12.54,14500,0.022838499184339334
2020-01-29,12.47,12.99,12.33,12.64,12.64,11100,0.00797448165869219
2020-01-30,12.42,12.74,12.11,12.68,12.68,10900,0.0031645569620253333
2020-01-31,12.43,12.72,12.43,12.47,12.47,8800,-0.016561514195583493
2020-02-03,12.66,12.75,12.34,12.4,12.4,7500,-0.005613472333600655
2020-02-04,12.49,12.6,12.3,12.46,12.46,15400,0.004838709677419395
2020-02-05,12.48,12.59,12.41,12.44,12.44,2900,-0.0016051364365972098
2020-02-06,12.3,12.57,12.1,12.42,12.42,20700,-0.001607717041800627
2020-02-07,12.39,12.55,12.14,12.49,12.49,9400,0.005636070853462183
2020-02-10,12.49,12.49,12.25,12.28,12.28,4700,-0.016813450760608584
2020-02-11,12.12,12.58,12.12,12.37,12.37,7400,0.0073289902280129215
2020-02-12,12.29,12.42,12.29,12.31,12.31,3600,-0.004850444624090455
2020-02-13,12.19,12.38,12.15,12.33,12.33,2700,0.0016246953696181787
2020-02-14,12.39,13.22,12.22,12.98,12.98,27400,0.052716950527169626
2020-02-18,12.95,13.7,12.32,13.4,13.4,36800,0.03235747303543923
2020-02-19,13.67,13.67,12.9,12.91,12.91,27800,-0.03656716417910444
2020-02-20,12.96,13.31,12.9,13.0,13.0,10700,0.006971340046475483
2020-02-21,13.01,13.3,12.81,12.85,12.85,6200,-0.011538461538461608
2020-02-24,12.7,13.02,12.43,12.6,12.6,17800,-0.01945525291828798
2020-02-25,12.6,12.61,11.85,12.25,12.25,20800,-0.02777777777777779
2020-02-26,12.0,12.46,11.87,12.09,12.09,15700,-0.013061224489795964
2020-02-27,12.02,12.55,11.16,11.75,11.75,49100,-0.028122415219189456
2020-02-28,11.09,12.0,11.09,11.75,11.75,27500,0.0
2020-03-02,11.65,12.04,11.0,11.7,11.7,20200,-0.004255319148936176
2020-03-03,11.46,12.98,11.46,11.9,11.9,32700,0.017094017094017255
2020-03-04,12.46,12.94,11.76,12.05,12.05,34600,0.012605042016806678
2020-03-05,13.0,13.0,11.9,12.0,12.0,32000,-0.004149377593361092
2020-03-06,11.5,12.33,11.1,12.09,12.09,43500,0.007500000000000062
2020-03-09,11.16,11.84,10.9,11.1,11.1,37000,-0.08188585607940446
2020-03-10,11.38,11.75,11.0,11.65,11.65,33100,0.04954954954954971
2020-03-11,10.91,11.53,10.83,10.85,10.85,18600,-0.06866952789699576
2020-03-12,10.11,10.85,9.9,10.0,10.0,25500,-0.07834101382488479
2020-03-13,10.05,11.0,10.05,10.3,10.3,21800,0.030000000000000027
2020-03-16,9.5,9.85,8.17,9.52,9.52,31300,-0.07572815533980592
2020-03-17,9.86,10.14,9.18,10.07,10.07,28500,0.057773109243697496
2020-03-18,9.05,9.8,8.61,9.35,9.35,22400,-0.07149950347567036
2020-03-19,9.52,9.7,8.05,9.7,9.7,35400,0.03743315508021383
2020-03-20,9.69,9.7,8.84,9.7,9.7,6700,0.0
2020-03-23,9.4,9.96,9.27,9.7,9.7,14300,0.0
2020-03-24,9.32,10.0,8.51,9.11,9.11,15400,-0.06082474226804124
2020-03-25,9.99,10.0,9.57,9.79,9.79,11000,0.07464324917672882
2020-03-26,9.71,10.45,9.19,9.19,9.19,35200,-0.06128702757916238
2020-03-27,9.85,10.15,9.18,9.18,9.18,15900,-0.0010881392818280489
2020-03-30,9.21,9.91,9.21,9.38,9.38,9600,0.02178649237472774
2020-03-31,10.31,10.31,9.32,9.58,9.58,17900,0.021321961620468954
2020-04-01,9.37,10.43,9.15,9.15,9.15,23200,-0.044885177453027114
2020-04-02,9.97,9.97,8.79,9.01,9.01,25300,-0.015300546448087537
2020-04-03,9.46,9.79,8.81,9.35,9.35,2400,0.037735849056603765
