Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,10.25,10.25,9.83,9.97,9.97,150100,
2020-01-03,9.8,10.12,9.8,9.94,9.94,79400,-0.0030090270812438424
2020-01-06,9.79,10.09,9.72,9.98,9.98,52500,0.004024144869215318
2020-01-07,9.9,10.09,9.9,9.93,9.93,40900,-0.005010020040080221
2020-01-08,10.02,10.13,9.81,9.96,9.96,69300,0.0030211480362538623
2020-01-09,9.96,10.33,9.96,10.07,10.07,60200,0.011044176706827225
2020-01-10,10.11,10.31,9.92,10.28,10.28,99500,0.020854021847070303
2020-01-13,10.21,10.68,10.21,10.58,10.58,82700,0.029182879377432025
2020-01-14,10.55,10.58,10.21,10.23,10.23,92300,-0.03308128544423439
2020-01-15,10.22,10.61,10.22,10.47,10.47,59100,0.02346041055718473
2020-01-16,10.58,10.81,10.46,10.6,10.6,68600,0.01241642788920716
2020-01-17,10.72,11.26,10.63,10.91,10.91,55200,0.029245283018867863
2020-01-21,10.76,10.78,10.14,10.18,10.18,65800,-0.06691109074243817
2020-01-22,10.2,10.23,10.12,10.16,10.16,20400,-0.0019646365422396617
2020-01-23,10.11,10.13,10.0,10.11,10.11,62600,-0.004921259842519787
2020-01-24,10.15,10.37,10.07,10.22,10.22,59100,0.010880316518298905
2020-01-27,10.05,10.21,10.02,10.08,10.08,35700,-0.013698630136986356
2020-01-28,10.06,10.21,10.01,10.07,10.07,53000,-0.0009920634920634885
2020-01-29,10.13,11.89,10.13,11.4,11.4,176100,0.13207547169811318
2020-01-30,11.44,11.51,11.0,11.26,11.26,58400,-0.012280701754386003
2020-01-31,11.32,11.46,10.67,11.05,11.05,78000,-0.018650088809946674
2020-02-03,11.04,11.39,10.82,10.98,10.98,56800,-0.0063348416289592535
2020-02-04,11.02,11.66,10.68,11.0,11.0,126100,0.0018214936247722413
2020-02-05,11.11,11.44,11.0,11.04,11.04,72300,0.0036363636363636598
2020-02-06,11.07,11.08,10.69,10.72,10.72,76200,-0.02898550724637672
2020-02-07,10.77,10.83,10.42,10.46,10.46,99400,-0.02425373134328357
2020-02-10,10.43,10.76,10.31,10.74,10.74,19000,0.026768642447418722
2020-02-11,10.77,11.13,10.39,10.62,10.62,22300,-0.011173184357541999
2020-02-12,10.66,11.4,10.58,11.12,11.12,56400,0.04708097928436916
2020-02-13,11.06,11.34,10.55,10.71,10.71,63900,-0.036870503597122184
2020-02-14,10.73,10.73,10.53,10.58,10.58,12400,-0.012138188608776912
2020-02-18,10.72,10.96,10.44,10.68,10.68,20800,0.009451795841209698
2020-02-19,10.72,11.43,10.72,11.12,11.12,61200,0.041198501872659055
2020-02-20,11.08,11.34,10.91,11.01,11.01,51100,-0.00989208633093519
2020-02-21,11.1,11.44,10.66,11.05,11.05,50800,0.0036330608537693543
2020-02-24,10.67,11.99,10.67,11.06,11.06,67900,0.0009049773755656076
2020-02-25,11.1,11.41,10.64,10.98,10.98,57900,-0.007233273056057921
2020-02-26,11.04,11.79,10.87,11.29,11.29,119900,0.02823315118397063
2020-02-27,11.0,11.11,9.86,10.03,10.03,175300,-0.11160318866253316
2020-02-28,9.85,10.35,7.71,8.35,8.35,319700,-0.1674975074775673
2020-03-02,8.29,8.35,7.62,8.11,8.11,188100,-0.028742514970059863
2020-03-03,8.04,8.11,6.82,7.24,7.24,264600,-0.10727496917385937
2020-03-04,7.26,7.58,7.0,7.13,7.13,122400,-0.015193370165745845
2020-03-05,7.02,7.63,6.88,7.08,7.08,167400,-0.007012622720897643
2020-03-06,6.84,7.74,6.84,7.54,7.54,148700,0.06497175141242928
2020-03-09,7.97,7.97,6.75,6.86,6.86,72900,-0.09018567639257291
2020-03-10,6.94,7.35,6.88,7.24,7.24,50700,0.055393586005830775
2020-03-11,7.45,7.83,7.18,7.51,7.51,102600,0.037292817679557944
2020-03-12,7.11,7.3,6.7,6.91,6.91,103500,-0.07989347536617841
2020-03-13,7.21,7.42,6.71,7.38,7.38,66500,0.0680173661360346
2020-03-16,6.75,6.97,6.5,6.71,6.71,138500,-0.09078590785907859
2020-03-17,6.79,8.99,6.79,8.85,8.85,162900,0.31892697466467945
2020-03-18,8.09,8.85,6.96,7.4,7.4,92600,-0.16384180790960445
2020-03-19,7.4,8.2,7.21,7.74,7.74,104600,0.04594594594594592
2020-03-20,7.81,7.81,6.51,6.75,6.75,162100,-0.12790697674418605
2020-03-23,7.0,7.47,6.77,7.1,7.1,147700,0.051851851851851816
2020-03-24,7.46,8.37,7.04,7.93,7.93,118700,0.11690140845070429
2020-03-25,7.92,8.0,7.11,7.69,7.69,109600,-0.030264817150063017
2020-03-26,7.78,8.66,7.75,8.37,8.37,116200,0.08842652795838735
2020-03-27,8.09,8.37,7.57,7.57,7.57,61600,-0.09557945041815996
2020-03-30,7.69,9.14,7.64,8.98,8.98,87600,0.18626155878467632
2020-03-31,8.94,9.19,8.13,9.06,9.06,147000,0.008908685968819663
2020-04-01,8.47,9.18,8.24,8.34,8.34,119000,-0.07947019867549676
2020-04-02,8.6,9.08,8.42,8.81,8.81,164800,0.05635491606714638
2020-04-03,8.74,8.96,8.45,8.72,8.72,50100,-0.010215664018161208
