Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,3.2,3.24,3.0,3.0,3.0,4100,
2020-01-03,3.0,3.0,2.87,2.92,2.92,7500,-0.026666666666666727
2020-01-06,2.92,2.92,2.8,2.85,2.85,7200,-0.023972602739726012
2020-01-07,2.9,2.92,2.86,2.86,2.86,15700,0.0035087719298245723
2020-01-08,2.77,3.0,2.77,2.85,2.85,11900,-0.0034965034965034336
2020-01-09,2.86,2.9,2.8,2.89,2.89,1500,0.01403508771929829
2020-01-10,2.82,3.2,2.81,3.13,3.13,59400,0.08304498269896188
2020-01-13,3.05,3.38,3.01,3.3,3.3,77300,0.054313099041533475
2020-01-14,3.15,3.27,3.12,3.13,3.13,11000,-0.051515151515151514
2020-01-15,3.25,3.25,3.13,3.23,3.23,5900,0.03194888178913735
2020-01-16,3.26,3.26,3.13,3.14,3.14,3500,-0.02786377708978327
2020-01-17,3.11,3.27,3.11,3.2,3.2,17400,0.019108280254777066
2020-01-21,3.21,3.21,3.05,3.05,3.05,13100,-0.04687500000000011
2020-01-22,3.05,3.17,3.02,3.1,3.1,13000,0.016393442622950838
2020-01-23,3.11,3.11,2.95,2.98,2.98,800,-0.03870967741935483
2020-01-24,3.11,3.11,2.92,2.96,2.96,6500,-0.006711409395973145
2020-01-27,2.82,3.03,2.82,2.96,2.96,6700,0.0
2020-01-28,2.88,3.0,2.88,2.96,2.96,1900,0.0
2020-01-29,2.89,3.06,2.89,3.06,3.06,11300,0.03378378378378377
2020-01-30,3.08,3.08,2.81,2.81,2.81,4500,-0.0816993464052288
2020-01-31,2.89,2.93,2.83,2.91,2.91,7200,0.03558718861209975
2020-02-03,3.08,3.08,2.86,2.91,2.91,3600,0.0
2020-02-04,2.85,2.98,2.85,2.93,2.93,3400,0.0068728522336769515
2020-02-05,2.82,2.95,2.82,2.85,2.85,3400,-0.027303754266211677
2020-02-06,2.88,2.92,2.85,2.85,2.85,6500,0.0
2020-02-07,2.85,2.88,2.82,2.82,2.82,17700,-0.010526315789473717
2020-02-10,2.82,2.97,2.8,2.91,2.91,12600,0.03191489361702149
2020-02-11,2.97,2.97,2.81,2.81,2.81,5900,-0.03436426116838487
2020-02-12,2.84,2.84,2.83,2.83,2.83,1600,0.007117437722419906
2020-02-13,2.85,2.85,2.82,2.83,2.83,1600,0.0
2020-02-14,2.9,2.97,2.85,2.96,2.96,10800,0.0459363957597172
2020-02-18,2.92,2.92,2.83,2.85,2.85,6100,-0.03716216216216217
2020-02-19,2.85,2.98,2.82,2.82,2.82,14800,-0.010526315789473717
2020-02-20,2.81,3.1,2.7,3.07,3.07,64100,0.08865248226950362
2020-02-21,3.04,3.15,3.01,3.09,3.09,11600,0.006514657980456029
2020-02-24,3.09,3.14,2.82,2.92,2.92,21100,-0.055016181229773475
2020-02-25,2.98,2.98,2.72,2.75,2.75,21700,-0.05821917808219179
2020-02-26,2.79,2.97,2.73,2.82,2.82,6200,0.025454545454545396
2020-02-27,2.93,2.93,2.75,2.8,2.8,16300,-0.007092198581560294
2020-02-28,2.77,2.77,2.68,2.69,2.69,22300,-0.03928571428571426
2020-03-02,2.7,2.73,2.53,2.63,2.63,12200,-0.02230483271375472
2020-03-03,2.62,2.93,2.62,2.71,2.71,19000,0.03041825095057038
2020-03-04,2.62,2.74,2.62,2.7,2.7,9500,-0.0036900369003689537
2020-03-05,2.78,2.78,2.64,2.64,2.64,1900,-0.022222222222222254
2020-03-06,2.64,2.71,2.6,2.6,2.6,15700,-0.015151515151515138
2020-03-09,2.31,2.65,1.98,2.03,2.03,32600,-0.21923076923076934
2020-03-10,2.32,2.32,2.0,2.0,2.0,25200,-0.01477832512315258
2020-03-11,2.0,2.17,2.0,2.0,2.0,4500,0.0
2020-03-12,1.98,1.98,1.72,1.72,1.72,20700,-0.14
2020-03-13,1.73,1.86,1.62,1.64,1.64,10300,-0.04651162790697683
2020-03-16,1.5,1.91,1.5,1.82,1.82,26000,0.10975609756097571
2020-03-17,1.82,1.82,1.66,1.8,1.8,5100,-0.01098901098901095
2020-03-18,1.71,1.71,1.71,1.71,1.71,600,-0.050000000000000044
2020-03-19,1.81,1.81,1.75,1.76,1.76,700,0.029239766081871288
2020-03-20,1.76,1.98,1.71,1.81,1.81,23900,0.02840909090909083
2020-03-23,1.89,1.97,1.88,1.96,1.96,7200,0.08287292817679548
2020-03-24,2.26,2.26,1.67,2.01,2.01,4200,0.025510204081632626
2020-03-25,2.05,2.38,2.05,2.05,2.05,12600,0.01990049751243772
2020-03-26,1.92,2.31,1.92,2.11,2.11,4500,0.029268292682926855
2020-03-27,2.2,2.2,2.2,2.2,2.2,500,0.042654028436019065
2020-03-30,2.24,2.45,2.1,2.11,2.11,12700,-0.040909090909091006
2020-03-31,2.3,2.3,2.05,2.17,2.17,3600,0.028436018957346043
2020-04-01,2.3,2.3,1.97,2.04,2.04,4900,-0.05990783410138245
2020-04-02,2.04,2.15,2.02,2.02,2.02,1800,-0.009803921568627416
2020-04-03,1.76,2.0,1.76,2.0,2.0,1000,-0.00990099009900991
