Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,2.04,2.219,2.02,2.165,2.165,20900,
2020-01-03,2.19,2.199,2.11,2.15,2.15,23900,-0.006928406466512715
2020-01-06,2.11,2.17,2.077,2.14,2.14,21700,-0.0046511627906975495
2020-01-07,2.1,2.19,2.06,2.12,2.12,40700,-0.009345794392523366
2020-01-08,2.105,2.105,2.02,2.02,2.02,13000,-0.047169811320754707
2020-01-09,2.045,2.057,2.01,2.05,2.05,13200,0.014851485148514865
2020-01-10,2.004,2.05,1.93,2.05,2.05,14500,0.0
2020-01-13,2.0,2.05,1.99,2.05,2.05,19300,0.0
2020-01-14,2.023,2.05,2.0,2.02,2.02,12200,-0.014634146341463317
2020-01-15,2.001,2.06,2.0,2.03,2.03,21300,0.004950495049504955
2020-01-16,2.04,2.08,2.03,2.03,2.03,17200,0.0
2020-01-17,2.08,2.08,1.972,2.05,2.05,22900,0.009852216748768461
2020-01-21,2.06,2.06,1.97,2.05,2.05,23000,0.0
2020-01-22,2.75,3.01,2.48,2.58,2.58,4385900,0.2585365853658539
2020-01-23,2.55,2.99,2.34,2.89,2.89,838000,0.12015503875968991
2020-01-24,2.95,2.98,2.7,2.75,2.75,381300,-0.04844290657439454
2020-01-27,2.57,2.81,2.51,2.79,2.79,187300,0.014545454545454639
2020-01-28,2.82,2.82,2.611,2.71,2.71,73700,-0.028673835125448077
2020-01-29,2.6,2.8,2.56,2.72,2.72,152100,0.0036900369003691758
2020-01-30,2.68,2.78,2.59,2.7,2.7,49400,-0.007352941176470562
2020-01-31,2.68,2.75,2.633,2.73,2.73,24700,0.011111111111111072
2020-02-03,2.75,2.92,2.68,2.72,2.72,111800,-0.003663003663003539
2020-02-04,2.73,2.78,2.63,2.75,2.75,116200,0.011029411764705843
2020-02-05,2.79,2.79,2.65,2.75,2.75,63800,0.0
2020-02-06,2.66,2.82,2.6,2.74,2.74,51500,-0.0036363636363635488
2020-02-07,2.7,2.74,2.65,2.72,2.72,29000,-0.007299270072992692
2020-02-10,2.67,2.707,2.61,2.7,2.7,49300,-0.007352941176470562
2020-02-11,2.72,3.0,2.69,2.85,2.85,248600,0.05555555555555558
2020-02-12,2.84,2.95,2.68,2.71,2.71,79900,-0.0491228070175439
2020-02-13,2.83,2.83,2.6,2.73,2.73,80600,0.007380073800737907
2020-02-14,2.77,2.79,2.66,2.7,2.7,19900,-0.01098901098901095
2020-02-18,2.7,2.86,2.62,2.7,2.7,64700,0.0
2020-02-19,2.7,2.74,2.63,2.7,2.7,19100,0.0
2020-02-20,2.68,2.7,2.63,2.69,2.69,30900,-0.0037037037037037646
2020-02-21,2.67,2.729,2.63,2.69,2.69,31000,0.0
2020-02-24,2.6,2.65,2.41,2.57,2.57,57100,-0.044609665427509326
2020-02-25,2.52,2.56,2.28,2.46,2.46,123400,-0.04280155642023342
2020-02-26,2.39,2.633,2.361,2.49,2.49,45000,0.012195121951219523
2020-02-27,2.49,2.49,2.25,2.34,2.34,98400,-0.06024096385542177
2020-02-28,2.26,2.27,1.95,2.13,2.13,117200,-0.08974358974358976
2020-03-02,2.06,2.24,2.0,2.19,2.19,103500,0.028169014084507005
2020-03-03,2.28,2.28,1.91,1.99,1.99,157900,-0.091324200913242
2020-03-04,1.99,2.13,1.92,2.08,2.08,156500,0.045226130653266416
2020-03-05,2.04,2.04,1.92,2.0,2.0,42300,-0.03846153846153855
2020-03-06,1.8,2.06,1.55,1.75,1.75,372200,-0.125
2020-03-09,1.75,1.75,1.633,1.67,1.67,54500,-0.04571428571428571
2020-03-10,1.75,1.81,1.63,1.66,1.66,52400,-0.005988023952095856
2020-03-11,1.57,1.665,1.56,1.56,1.56,53500,-0.06024096385542166
2020-03-12,1.56,1.56,1.33,1.4,1.4,76400,-0.10256410256410264
2020-03-13,1.4,1.6,1.29,1.43,1.43,129400,0.021428571428571352
2020-03-16,0.59,1.219,0.59,1.03,1.03,166600,-0.2797202797202797
2020-03-17,1.05,1.25,0.96,1.03,1.03,74900,0.0
2020-03-18,1.06,1.125,0.91,1.0,1.0,50200,-0.029126213592232997
2020-03-19,1.02,1.15,1.02,1.07,1.07,42700,0.07000000000000006
2020-03-20,1.07,1.2,1.05,1.05,1.05,41500,-0.01869158878504673
2020-03-23,0.99,1.04,0.9,1.028,1.028,38100,-0.020952380952380945
2020-03-24,1.02,1.32,1.0,1.3,1.3,139200,0.2645914396887159
2020-03-25,1.31,1.445,1.2,1.3,1.3,130500,0.0
2020-03-26,1.59,1.59,1.32,1.45,1.45,176200,0.11538461538461542
2020-03-27,1.72,1.72,1.35,1.51,1.51,279000,0.04137931034482767
2020-03-30,1.44,1.55,1.38,1.46,1.46,159200,-0.03311258278145701
2020-03-31,1.5,1.55,1.41,1.44,1.44,41600,-0.013698630136986356
2020-04-01,1.45,1.45,1.33,1.35,1.35,125900,-0.06249999999999989
2020-04-02,1.33,1.41,1.15,1.17,1.17,142700,-0.13333333333333341
2020-04-03,1.19,1.405,1.19,1.25,1.25,41300,0.06837606837606836
