Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,8.79,9.46,8.65,9.35,9.35,92600,
2020-01-03,9.16,9.16,8.73,8.89,8.89,27300,-0.04919786096256673
2020-01-06,8.8,9.19,8.68,8.74,8.74,19800,-0.01687289088863897
2020-01-07,8.75,8.9,7.88,8.03,8.03,143200,-0.08123569794050356
2020-01-08,8.0,8.53,8.0,8.24,8.24,35200,0.026151930261519407
2020-01-09,8.15,8.19,8.01,8.01,8.01,22600,-0.027912621359223344
2020-01-10,8.02,8.57,8.02,8.24,8.24,60800,0.02871410736579283
2020-01-13,8.35,8.5,8.1,8.35,8.35,31000,0.013349514563106624
2020-01-14,8.34,8.39,8.03,8.1,8.1,39700,-0.029940119760479056
2020-01-15,8.15,8.35,8.07,8.07,8.07,73500,-0.0037037037037036535
2020-01-16,8.11,8.55,8.11,8.48,8.48,58600,0.05080545229244127
2020-01-17,8.41,9.34,8.2,9.34,9.34,145900,0.10141509433962259
2020-01-21,9.35,9.5,8.55,8.76,8.76,89900,-0.062098501070663836
2020-01-22,8.93,9.02,8.6,8.9,8.9,35300,0.01598173515981749
2020-01-23,8.85,9.04,8.55,8.65,8.65,30000,-0.028089887640449396
2020-01-24,8.71,8.74,8.34,8.39,8.39,35400,-0.030057803468208077
2020-01-27,8.29,8.47,8.0,8.13,8.13,30100,-0.030989272943980906
2020-01-28,8.1,8.6,8.1,8.4,8.4,36000,0.03321033210332103
2020-01-29,8.4,8.57,8.21,8.33,8.33,54800,-0.008333333333333415
2020-01-30,8.4,8.4,8.28,8.37,8.37,13100,0.004801920768307211
2020-01-31,8.55,8.56,7.25,7.4,7.4,149900,-0.11589008363201903
2020-02-03,7.26,7.65,6.61,7.0,7.0,141100,-0.05405405405405406
2020-02-04,7.0,7.48,7.0,7.39,7.39,20800,0.055714285714285605
2020-02-05,7.4,7.4,7.05,7.3,7.3,5500,-0.012178619756427533
2020-02-06,7.34,7.48,7.1,7.2,7.2,32000,-0.013698630136986245
2020-02-07,7.5,7.5,7.0,7.25,7.25,24300,0.00694444444444442
2020-02-10,7.25,7.44,6.9,7.0,7.0,18400,-0.03448275862068961
2020-02-11,7.19,7.22,6.86,7.0,7.0,29600,0.0
2020-02-12,7.08,7.9,7.05,7.9,7.9,87300,0.12857142857142856
2020-02-13,7.89,7.9,7.74,7.9,7.9,6700,0.0
2020-02-14,7.82,8.11,7.73,7.9,7.9,25900,0.0
2020-02-18,8.25,8.3,7.68,7.8,7.8,19200,-0.012658227848101333
2020-02-19,7.76,8.02,7.75,7.99,7.99,12200,0.024358974358974494
2020-02-20,7.95,8.0,7.73,7.73,7.73,2700,-0.03254067584480602
2020-02-21,7.78,7.88,7.65,7.67,7.67,27900,-0.0077619663648125226
2020-02-24,7.36,7.67,7.35,7.52,7.52,7900,-0.019556714471968717
2020-02-25,7.52,7.65,7.1,7.13,7.13,22100,-0.051861702127659504
2020-02-26,7.1,7.41,6.85,7.09,7.09,110100,-0.005610098176718092
2020-02-27,6.61,7.0,6.26,6.26,6.26,152300,-0.11706629055007056
2020-02-28,5.85,6.7,5.85,6.5,6.5,38900,0.03833865814696491
2020-03-02,6.49,6.85,6.4,6.75,6.75,23700,0.03846153846153855
2020-03-03,6.83,7.07,6.48,7.07,7.07,17100,0.04740740740740734
2020-03-04,6.95,6.98,6.75,6.75,6.75,18500,-0.04526166902404527
2020-03-05,6.46,6.82,6.2,6.34,6.34,19500,-0.06074074074074076
2020-03-06,6.2,6.64,6.2,6.5,6.5,12500,0.025236593059936974
2020-03-09,6.2,6.72,6.2,6.28,6.28,10300,-0.03384615384615386
2020-03-10,6.48,6.78,6.21,6.65,6.65,66600,0.05891719745222934
2020-03-11,6.59,6.64,6.2,6.2,6.2,25000,-0.06766917293233088
2020-03-12,6.2,6.3,5.16,5.23,5.23,135100,-0.15645161290322573
2020-03-13,5.22,5.89,4.83,5.6,5.6,89000,0.07074569789674934
2020-03-16,5.3,5.3,4.51,4.67,4.67,91600,-0.16607142857142854
2020-03-17,5.01,5.01,4.51,4.51,4.51,41700,-0.03426124197002145
2020-03-18,4.5,4.65,4.01,4.32,4.32,77600,-0.042128603104212736
2020-03-19,4.25,4.56,3.82,4.2,4.2,153200,-0.02777777777777779
2020-03-20,4.25,4.25,4.01,4.25,4.25,14200,0.011904761904761862
2020-03-23,4.2,4.35,3.98,4.32,4.32,40500,0.016470588235294237
2020-03-24,4.35,5.13,4.35,5.09,5.09,43300,0.1782407407407407
2020-03-25,5.19,5.7,5.19,5.46,5.46,30800,0.07269155206286837
2020-03-26,5.67,6.1,5.6,5.96,5.96,48900,0.09157509157509147
2020-03-27,5.57,5.89,5.46,5.69,5.69,38800,-0.0453020134228187
2020-03-30,5.88,5.88,5.1,5.27,5.27,28500,-0.07381370826010558
2020-03-31,5.32,5.73,5.06,5.21,5.21,25800,-0.011385199240986688
2020-04-01,5.08,5.14,4.91,4.91,4.91,1600,-0.0575815738963531
2020-04-02,4.94,5.12,4.76,4.86,4.86,12600,-0.010183299389001976
2020-04-03,4.93,5.15,4.84,5.15,5.15,7000,0.05967078189300401
