Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,8.971,8.971,8.08,8.143,8.143,12200,
2020-01-03,8.07,8.4,7.675,8.09,8.09,33300,-0.006508657742846702
2020-01-06,7.7,8.1,7.7,8.06,8.06,9400,-0.003708281829418958
2020-01-07,7.891,8.07,7.44,8.07,8.07,111500,0.001240694789081953
2020-01-08,24.51,27.5,17.799999,19.25,19.25,1719300,1.385377942998761
2020-01-09,17.59,21.200001,16.1,17.290001,17.290001,220200,-0.10181812987012984
2020-01-10,17.290001,17.714001,14.76,15.23,15.23,70700,-0.1191440648268326
2020-01-13,14.95,15.317,13.45,15.02,15.02,50500,-0.013788575180564755
2020-01-14,15.1,15.29,14.02,14.241,14.241,28600,-0.051864181091877515
2020-01-15,14.23,15.19,14.01,14.29,14.29,36000,0.003440769608875849
2020-01-16,14.57,17.0,14.56,15.35,15.35,76000,0.07417774667599719
2020-01-17,15.35,16.1,14.536,15.61,15.61,15500,0.01693811074918572
2020-01-21,15.5,15.94,14.562,15.505,15.505,20300,-0.006726457399103047
2020-01-22,15.15,15.4,14.01,14.16,14.16,30200,-0.0867462108997098
2020-01-23,14.02,14.6,12.75,12.75,12.75,26700,-0.09957627118644063
2020-01-24,13.54,13.54,9.229,9.82,9.82,256100,-0.2298039215686274
2020-01-27,9.24,9.41,8.59,8.82,8.82,57600,-0.10183299389002032
2020-01-28,8.777,9.85,8.5,9.0,9.0,54800,0.020408163265306145
2020-01-29,8.76,8.9,8.275,8.463,8.463,30900,-0.05966666666666676
2020-01-30,8.32,8.49,7.813,7.969,7.969,34900,-0.05837173579109045
2020-01-31,7.81,8.244,7.5,7.913,7.913,42300,-0.007027230518258265
2020-02-03,8.278,9.2,8.01,8.27,8.27,63500,0.04511563250347517
2020-02-04,8.27,9.67,7.525,8.5,8.5,142000,0.02781136638452253
2020-02-05,8.32,8.44,7.94,8.33,8.33,25400,-0.020000000000000018
2020-02-06,8.01,9.17,8.01,9.15,9.15,129900,0.09843937575030015
2020-02-07,9.2,10.5,8.53,8.53,8.53,166500,-0.06775956284153017
2020-02-10,8.27,9.49,8.27,8.66,8.66,43900,0.015240328253224078
2020-02-11,8.63,9.2,8.54,9.06,9.06,24800,0.04618937644341803
2020-02-12,8.89,9.09,8.3,8.41,8.41,27900,-0.07174392935982343
2020-02-13,8.7,8.7,8.3,8.4,8.4,19600,-0.0011890606420926764
2020-02-14,8.31,9.34,8.299,8.96,8.96,58300,0.06666666666666665
2020-02-18,8.71,9.25,8.57,9.0,9.0,42800,0.004464285714285587
2020-02-19,8.92,9.17,8.7,8.92,8.92,6800,-0.008888888888888946
2020-02-20,8.573,8.8,8.573,8.7,8.7,11900,-0.024663677130044914
2020-02-21,8.88,8.88,8.4,8.43,8.43,16100,-0.03103448275862064
2020-02-24,8.3,8.386,8.0,8.0,8.0,19900,-0.05100830367734277
2020-02-25,8.099,8.099,7.6,7.62,7.62,13800,-0.04749999999999999
2020-02-26,7.62,7.85,6.922,7.215,7.215,23800,-0.053149606299212615
2020-02-27,6.5,7.583,6.19,7.52,7.52,17400,0.04227304227304218
2020-02-28,6.86,7.33,6.66,7.33,7.33,28900,-0.025265957446808485
2020-03-02,7.13,7.164,6.734,7.0,7.0,2800,-0.04502046384720326
2020-03-03,6.87,7.35,6.81,6.81,6.81,5300,-0.027142857142857246
2020-03-04,6.81,7.223,6.726,6.952,6.952,4700,0.020851688693098502
2020-03-05,6.72,7.148,6.65,6.67,6.67,5700,-0.040563866513233626
2020-03-06,6.616,6.84,6.51,6.6,6.6,3900,-0.010494752623688153
2020-03-09,7.0,7.0,5.86,6.06,6.06,9000,-0.08181818181818179
2020-03-10,5.9,6.25,5.9,6.21,6.21,9300,0.024752475247524774
2020-03-11,5.63,5.769,5.43,5.61,5.61,3400,-0.09661835748792269
2020-03-12,5.66,5.745,4.02,4.16,4.16,25300,-0.2584670231729056
2020-03-13,4.02,4.79,3.21,4.11,4.11,26000,-0.012019230769230727
2020-03-16,3.63,4.733,3.538,4.66,4.66,51300,0.13381995133819946
2020-03-17,4.66,5.3,4.58,4.76,4.76,38400,0.02145922746781115
2020-03-18,5.25,16.93,4.64,9.05,9.05,1080800,0.9012605042016808
2020-03-19,12.5,12.96,6.9,9.3,9.3,715900,0.027624309392265234
2020-03-20,11.0,11.463,6.24,6.68,6.68,517300,-0.281720430107527
2020-03-23,6.63,7.02,6.11,6.63,6.63,88600,-0.007485029940119681
2020-03-24,6.11,6.26,4.72,5.74,5.74,187400,-0.1342383107088989
2020-03-25,5.74,6.57,5.251,6.49,6.49,176400,0.13066202090592327
2020-03-26,6.14,7.599,5.31,6.72,6.72,322700,0.035439137134052334
2020-03-27,6.2,6.25,5.65,5.81,5.81,86500,-0.13541666666666674
2020-03-30,5.42,6.0,5.0,5.19,5.19,220800,-0.10671256454388967
2020-03-31,5.05,5.6,5.0,5.35,5.35,52100,0.030828516377649162
2020-04-01,5.0,5.19,3.97,4.28,4.28,94800,-0.19999999999999996
2020-04-02,4.21,4.56,3.92,3.92,3.92,55900,-0.0841121495327104
2020-04-03,3.9,4.24,3.85,4.05,4.05,41700,0.03316326530612246
