Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,8.312,8.593,8.3,8.3,8.3,2700,
2020-01-03,8.45,8.65,8.35,8.35,8.35,7000,0.0060240963855420215
2020-01-06,8.57,8.6,8.2,8.46,8.46,7000,0.013173652694610904
2020-01-07,8.419,8.486,8.3,8.3,8.3,5100,-0.01891252955082745
2020-01-08,8.32,8.45,8.32,8.35,8.35,6300,0.0060240963855420215
2020-01-09,8.37,9.345,8.37,9.257,9.257,5600,0.10862275449101788
2020-01-10,9.3,9.982,9.17,9.76,9.76,11000,0.054337258291023094
2020-01-13,9.8,10.31,9.8,10.05,10.05,15400,0.029713114754098546
2020-01-14,10.0,10.0,9.43,9.79,9.79,8100,-0.025870646766169347
2020-01-15,9.85,10.0,9.796,9.95,9.95,1500,0.01634320735444339
2020-01-16,9.9,9.9,9.5,9.75,9.75,12600,-0.02010050251256279
2020-01-17,9.74,9.74,9.26,9.5,9.5,9600,-0.02564102564102566
2020-01-21,9.25,10.03,9.25,9.6,9.6,7800,0.010526315789473717
2020-01-22,9.3,9.5,9.198,9.198,9.198,14000,-0.041874999999999885
2020-01-23,9.2,9.35,9.0,9.0,9.0,3500,-0.021526418786692814
2020-01-24,9.469,9.469,9.0,9.0,9.0,2600,0.0
2020-01-27,9.0,9.38,8.976,9.0,9.0,5500,0.0
2020-01-28,9.2,9.2,8.617,8.821,8.821,5100,-0.019888888888888956
2020-01-29,8.64,8.64,8.1,8.326,8.326,6700,-0.05611608661149525
2020-01-30,8.45,8.7,8.302,8.5,8.5,7200,0.020898390583713677
2020-01-31,8.5,8.5,8.375,8.375,8.375,9800,-0.014705882352941124
2020-02-03,8.375,8.375,8.375,8.375,8.375,0,0.0
2020-02-04,8.34,8.48,8.1,8.43,8.43,10900,0.006567164179104523
2020-02-05,8.265,8.265,8.265,8.265,8.265,400,-0.019572953736654686
2020-02-06,8.27,8.839,8.27,8.514,8.514,1500,0.03012704174228653
2020-02-07,8.85,8.95,8.329,8.329,8.329,3000,-0.02172891707775415
2020-02-10,8.25,8.668,8.25,8.444,8.444,2300,0.01380717973346135
2020-02-11,8.6,8.6,8.292,8.292,8.292,2000,-0.018000947418285285
2020-02-12,8.566,8.789,8.566,8.656,8.656,2100,0.04389773275446229
2020-02-13,8.81,8.81,8.6,8.6,8.6,2400,-0.0064695009242145
2020-02-14,8.6,8.79,8.4,8.6,8.6,6200,0.0
2020-02-18,8.81,8.94,8.722,8.8,8.8,6600,0.023255813953488413
2020-02-19,8.93,8.93,8.41,8.46,8.46,14700,-0.03863636363636358
2020-02-20,8.46,8.46,8.352,8.4,8.4,7100,-0.007092198581560294
2020-02-21,8.39,8.8,8.39,8.8,8.8,4800,0.04761904761904767
2020-02-24,8.97,8.97,8.39,8.64,8.64,9000,-0.018181818181818188
2020-02-25,8.4,8.42,8.15,8.15,8.15,9400,-0.05671296296296302
2020-02-26,8.05,8.05,7.651,7.708,7.708,7400,-0.054233128834355826
2020-02-27,7.87,7.91,7.545,7.91,7.91,6100,0.026206538661131207
2020-02-28,7.91,7.91,7.31,7.5,7.5,12400,-0.05183312262958284
2020-03-02,7.35,7.4,6.81,7.025,7.025,13800,-0.06333333333333324
2020-03-03,7.2,7.2,7.03,7.1,7.1,1300,0.010676156583629748
2020-03-04,7.81,8.054,7.35,7.71,7.71,11500,0.08591549295774659
2020-03-05,7.58,7.58,6.91,7.217,7.217,8700,-0.06394293125810635
2020-03-06,7.1,7.15,7.0,7.05,7.05,13300,-0.023139808784813587
2020-03-09,6.65,6.8,6.33,6.35,6.35,18300,-0.099290780141844
2020-03-10,6.4,6.679,6.36,6.5,6.5,15600,0.023622047244094446
2020-03-11,6.723,6.911,6.39,6.39,6.39,2300,-0.01692307692307693
2020-03-12,6.5,6.5,5.42,5.6,5.6,13800,-0.12363067292644758
2020-03-13,5.35,6.027,5.34,5.71,5.71,10400,0.019642857142857295
2020-03-16,5.2,5.57,5.0,5.0,5.0,5400,-0.12434325744308228
2020-03-17,5.0,5.46,4.0,5.45,5.45,7900,0.09000000000000008
2020-03-18,4.91,4.91,4.26,4.65,4.65,9700,-0.14678899082568808
2020-03-19,4.41,4.84,4.31,4.55,4.55,7400,-0.021505376344086113
2020-03-20,4.55,4.99,4.35,4.45,4.45,16700,-0.0219780219780219
2020-03-23,4.67,4.67,4.07,4.116,4.116,15500,-0.075056179775281
2020-03-24,4.12,4.45,4.1,4.3,4.3,9100,0.04470359572400384
2020-03-25,4.47,4.8,4.232,4.65,4.65,9600,0.08139534883720945
2020-03-26,4.66,5.15,4.5,4.787,4.787,10400,0.0294623655913977
2020-03-27,4.76,5.53,4.75,4.75,4.75,4600,-0.0077292667641528645
2020-03-30,5.23,6.5,5.0,5.49,5.49,15100,0.15578947368421048
2020-03-31,5.325,5.325,5.05,5.09,5.09,5300,-0.07285974499089254
2020-04-01,5.029,5.654,5.0,5.49,5.49,7300,0.07858546168958758
2020-04-02,5.3,5.3,4.789,4.85,4.85,5800,-0.1165755919854281
2020-04-03,4.9,4.97,4.53,4.93,4.93,4500,0.016494845360824684
