Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,77.58000200000001,77.739998,76.400002,77.230003,77.230003,82800,
2020-01-03,76.230003,76.730003,75.83000200000001,76.139999,76.139999,173300,-0.014113737636394896
2020-01-06,75.540001,76.839996,74.769997,76.139999,76.139999,213100,0.0
2020-01-07,76.029999,76.959999,76.010002,76.290001,76.290001,96100,0.0019700814548211376
2020-01-08,76.33000200000001,77.150002,76.010002,76.860001,76.860001,212200,0.007471490267774383
2020-01-09,77.410004,77.739998,76.889999,77.150002,77.150002,106900,0.0037731068986064376
2020-01-10,77.099998,77.349998,76.129997,76.690002,76.690002,105100,-0.005962410733313939
2020-01-13,76.83000200000001,78.440002,76.589996,78.410004,78.410004,145300,0.022427982202947394
2020-01-14,78.370003,78.949997,77.82,78.730003,78.730003,187900,0.004081099141379996
2020-01-15,78.620003,79.389999,78.220001,78.760002,78.760002,110300,0.0003810364391831911
2020-01-16,79.199997,79.91999799999999,78.760002,79.489998,79.489998,106200,0.009268613274032056
2020-01-17,80.059998,80.059998,77.959999,79.029999,79.029999,129100,-0.005786878998286005
2020-01-21,78.93,79.389999,78.010002,78.480003,78.480003,177200,-0.006959331987338224
2020-01-22,79.18,79.989998,78.650002,79.650002,79.650002,210100,0.014908243568747093
2020-01-23,84.190002,86.529999,80.300003,80.489998,80.489998,860400,0.010546088875176718
2020-01-24,77.099998,81.230003,77.0,80.43,80.43,298900,-0.0007454093861449795
2020-01-27,78.309998,78.610001,75.650002,75.949997,75.949997,290400,-0.055700646524928676
2020-01-28,76.550003,76.760002,74.83000200000001,75.860001,75.860001,166300,-0.0011849375056591782
2020-01-29,75.949997,76.290001,74.389999,74.449997,74.449997,134200,-0.018586923034709657
2020-01-30,73.849998,74.33000200000001,72.290001,73.110001,73.110001,110300,-0.017998603814584402
2020-01-31,73.0,73.25,70.709999,71.120003,71.120003,241800,-0.027219230923003268
2020-02-03,71.389999,72.5,70.510002,70.699997,70.699997,169700,-0.005905595926366858
2020-02-04,71.779999,72.120003,70.849998,70.970001,70.970001,124000,0.003819010063041528
2020-02-05,71.779999,72.269997,70.989998,71.800003,71.800003,129200,0.011695110445327561
2020-02-06,72.160004,72.360001,71.33000200000001,71.550003,71.550003,188000,-0.0034818940049348157
2020-02-07,71.300003,71.589996,70.099998,70.660004,70.660004,236300,-0.012438839450502948
2020-02-10,70.68,72.699997,70.440002,72.540001,72.540001,186500,0.02660623964867037
2020-02-11,73.160004,74.800003,72.970001,73.970001,73.970001,152700,0.019713261376988367
2020-02-12,74.540001,75.709999,74.389999,75.559998,75.559998,125000,0.021495159909488137
2020-02-13,74.970001,75.769997,74.300003,75.08000200000001,75.08000200000001,97100,-0.006352514726111869
2020-02-14,75.230003,75.230003,72.889999,73.269997,73.269997,74800,-0.024107684493668513
2020-02-18,72.989998,73.620003,72.099998,72.389999,72.389999,143300,-0.012010345789969179
2020-02-19,72.660004,74.199997,72.610001,73.699997,73.699997,169900,0.018096394779615776
2020-02-20,73.440002,75.050003,73.279999,74.440002,74.440002,119100,0.010040773814414372
2020-02-21,74.07,74.07,72.190002,72.5,72.5,88500,-0.026061283555580905
2020-02-24,69.779999,71.129997,68.93,69.720001,69.720001,82500,-0.038344813793103505
2020-02-25,70.220001,70.58000200000001,69.190002,69.239998,69.239998,189200,-0.006884724513988361
2020-02-26,69.730003,71.739998,69.730003,70.08000200000001,70.08000200000001,135000,0.012131773891732367
2020-02-27,68.529999,69.779999,66.089996,66.209999,66.209999,161600,-0.05522264397195664
2020-02-28,63.41,66.360001,63.360001000000004,66.349998,66.349998,238500,0.0021144691453627296
2020-03-02,66.510002,67.980003,65.389999,66.720001,66.720001,164900,0.005576533702382314
