Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,10.67,10.72,10.32,10.49,10.412439,2159700,
2020-01-03,10.76,10.95,10.43,10.57,10.491848,2399400,0.007626359203640964
2020-01-06,10.59,10.95,10.45,10.94,10.859113,3197000,0.03500479610455676
2020-01-07,10.92,10.92,10.4,10.61,10.531552,2812100,-0.030164618417729105
2020-01-08,10.61,10.63,10.15,10.3,10.223844999999999,2794200,-0.029217630981644538
2020-01-09,10.22,10.34,10.01,10.2,10.124584,2766900,-0.009708773949526628
2020-01-10,10.12,10.14,9.94,10.08,10.005471,2907900,-0.011764730284227087
2020-01-13,10.06,10.15,9.84,10.09,10.015397,2271700,0.000992057245480904
2020-01-14,9.97,10.18,9.77,10.14,10.065028,4113400,0.004955470062744327
2020-01-15,10.04,10.17,9.95,10.03,9.955841,3266800,-0.01084815660721461
2020-01-16,10.16,10.23,9.94,10.04,9.965767,3817800,0.0009970026640642171
2020-01-17,10.05,10.18,9.88,9.95,9.876432000000001,2916500,-0.008964187101705101
2020-01-21,9.91,9.98,9.62,9.64,9.568725,2318300,-0.031155684563008212
2020-01-22,9.51,9.53,9.24,9.26,9.191533999999999,3309100,-0.039419149364204875
2020-01-23,9.11,9.16,8.83,8.95,8.883826,2891100,-0.03347732815871651
2020-01-24,8.92,8.98,8.18,8.49,8.427227,6470400,-0.051396661753618234
2020-01-27,8.2,8.31,7.98,7.99,7.930924,3881800,-0.0588928006804611
2020-01-28,8.05,8.2,7.95,8.06,8.000407000000001,2986100,0.008761022044846412
2020-01-29,8.16,8.25,7.87,7.87,7.811811,2643400,-0.02357330070832664
2020-01-30,7.83,8.07,7.8,8.04,7.980555000000001,4004100,0.02160113704747868
2020-01-31,7.85,7.97,7.56,7.94,7.8812940000000005,6420300,-0.012437856765600941
2020-02-03,7.85,8.11,7.74,7.98,7.920998,4302500,0.0050377514149324565
2020-02-04,8.21,8.31,7.87,7.91,7.851516,3587600,-0.008771874453193829
2020-02-05,8.1,8.52,8.1,8.43,8.367671000000001,4895400,0.06573953361363594
2020-02-06,8.35,8.45,7.03,7.05,6.997874,12709100,-0.1637011063173971
2020-02-07,6.96,7.44,6.87,7.38,7.325435000000001,5290400,0.04680864502561777
2020-02-10,7.29,7.48,7.24,7.33,7.275803999999999,5006300,-0.00677516079249918
2020-02-11,7.48,7.59,7.35,7.47,7.414769000000001,3199400,0.019099607411084962
2020-02-12,7.64,7.79,7.42,7.66,7.603364,4254900,0.025435047268498767
2020-02-13,7.58,7.64,7.31,7.47,7.414769000000001,6025300,-0.02480415247777157
2020-02-14,7.5,7.6,7.36,7.49,7.434621000000001,3885400,0.0026773592002664603
2020-02-18,7.38,7.38,7.13,7.34,7.28573,3981300,-0.020026710171238138
2020-02-19,7.45,7.49,7.22,7.38,7.325435000000001,3274800,0.005449694128110805
2020-02-20,7.44,7.65,7.34,7.53,7.474326,2619500,0.020325209356167884
2020-02-21,7.39,7.39,7.1,7.32,7.265878,3128400,-0.02788853469864705
2020-02-24,6.92,6.94,6.61,6.63,6.58098,3972600,-0.09426224882939127
2020-02-25,6.64,6.72,6.27,6.29,6.243494,3732500,-0.051282027904658634
2020-02-26,6.33,6.41,6.03,6.03,5.985416000000001,4606400,-0.041335508611043625
2020-02-27,5.71,5.88,5.45,5.61,5.568521,7112600,-0.0696518003092853
2020-02-28,5.38,5.81,5.38,5.73,5.687634,8941000,0.021390419466856825
2020-03-02,5.83,5.96,5.36,5.74,5.69756,6223400,0.0017451896517954868
2020-03-03,5.73,5.8,5.29,5.41,5.37,4124400,-0.05749127696768441
2020-03-04,5.51,5.59,5.28,5.37,5.37,4004400,0.0
2020-03-05,5.19,5.35,5.06,5.2,5.2,4335500,-0.03165735567970207
2020-03-06,4.95,5.11,4.21,4.3,4.3,7673700,-0.17307692307692313
2020-03-09,2.92,2.96,2.06,2.38,2.38,14143000,-0.44651162790697674
2020-03-10,2.7,3.23,2.11,2.3,2.3,10658700,-0.03361344537815125
2020-03-11,2.27,2.28,1.8,2.11,2.11,14721300,-0.08260869565217388
2020-03-12,1.94,2.45,1.87,2.12,2.12,8457300,0.004739336492891155
2020-03-13,2.34,2.46,2.0,2.46,2.46,7892200,0.1603773584905659
2020-03-16,2.1,2.73,2.0,2.28,2.28,10892100,-0.07317073170731714
2020-03-17,2.3,2.53,2.16,2.49,2.49,7998700,0.09210526315789491
2020-03-18,2.31,2.67,2.06,2.07,2.07,5716300,-0.16867469879518082
2020-03-19,2.07,2.36,2.07,2.17,2.17,7063500,0.048309178743961345
2020-03-20,2.27,2.46,2.12,2.21,2.21,9619700,0.018433179723502224
2020-03-23,2.25,2.35,2.12,2.2,2.2,5462000,-0.004524886877827927
2020-03-24,2.44,2.64,2.33,2.62,2.62,5188800,0.19090909090909092
2020-03-25,2.63,2.83,2.25,2.71,2.71,6890800,0.03435114503816794
2020-03-26,2.69,2.81,2.41,2.55,2.55,6935500,-0.05904059040590415
2020-03-27,2.41,2.53,2.21,2.3,2.3,6653100,-0.0980392156862745
2020-03-30,2.23,2.28,1.92,2.14,2.14,5117300,-0.06956521739130417
2020-03-31,2.19,2.4,2.15,2.35,2.35,3442600,0.0981308411214954
2020-04-01,2.29,2.33,1.86,1.89,1.89,5371500,-0.1957446808510639
2020-04-02,2.0,2.12,1.84,1.88,1.88,12122100,-0.005291005291005346
2020-04-03,1.92,1.98,1.61,1.7,1.7,7660700,-0.0957446808510638
