Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,20.309998999999998,20.379998999999998,19.26,19.48,19.48,608300,
2020-01-03,19.129998999999998,19.639999,18.809998999999998,19.24,19.24,477300,-0.012320328542094527
2020-01-06,19.059998999999998,19.77,18.415001,19.610001,19.610001,509400,0.019230821205821202
2020-01-07,19.58,19.77,18.99,19.27,19.27,407200,-0.01733814292003355
2020-01-08,19.17,19.950001,19.104,19.799999,19.799999,427000,0.027503840166061222
2020-01-09,20.1,20.51,19.91,20.49,20.49,487100,0.034848537113562505
2020-01-10,20.59,20.77,19.41,19.43,19.43,631500,-0.05173255246461683
2020-01-13,19.559998999999998,19.575001,18.23,18.360001,18.360001,600900,-0.05506942871847653
2020-01-14,18.459999,20.190001000000002,18.4,20.09,20.09,921200,0.09422651992230291
2020-01-15,20.059998999999998,21.219998999999998,19.82,21.01,21.01,575400,0.04579392732702847
2020-01-16,21.200001,21.209999,19.547001,19.754998999999998,19.754998999999998,612700,-0.059733507853403256
2020-01-17,19.889999,19.959999,19.450001,19.65,19.65,451500,-0.005315059747661777
2020-01-21,19.5,19.950001,19.360001,19.5,19.5,493000,-0.007633587786259444
2020-01-22,19.540001,19.77,19.059998999999998,19.1,19.1,275000,-0.02051282051282044
2020-01-23,19.01,19.110001,18.535,18.91,18.91,632500,-0.009947643979057674
2020-01-24,18.950001,19.07,18.299999,18.85,18.85,572300,-0.0031729243786355887
2020-01-27,18.43,18.870001000000002,18.43,18.559998999999998,18.559998999999998,295100,-0.015384668435013404
2020-01-28,18.690001000000002,19.870001000000002,18.459999,19.43,19.43,596700,0.04687505640490608
2020-01-29,19.35,19.5,18.809998999999998,18.83,18.83,434300,-0.03088008234688633
2020-01-30,18.610001,18.73,17.639999,17.879998999999998,17.879998999999998,468100,-0.050451460435475326
2020-01-31,17.799999,17.82,17.360001,17.559998999999998,17.559998999999998,478900,-0.01789709272355111
2020-02-03,17.620001000000002,20.870001000000002,17.51,19.84,19.84,1505400,0.12984061103875932
2020-02-04,20.17,20.719998999999998,19.15,19.42,19.42,696600,-0.02116935483870963
2020-02-05,19.309998999999998,20.780001000000002,19.309998999999998,20.15,20.15,781400,0.03759011328527273
2020-02-06,20.26,20.370001000000002,19.33,19.35,19.35,450100,-0.03970223325062017
2020-02-07,19.27,19.52,18.58,19.09,19.09,458800,-0.013436692506460068
2020-02-10,19.07,19.6,18.73,19.52,19.52,393000,0.022524882137244573
2020-02-11,19.639999,19.73,18.85,18.934998999999998,18.934998999999998,362700,-0.029969313524590313
2020-02-12,19.129998999999998,20.32,18.92,20.15,20.15,529700,0.0641669429187719
2020-02-13,20.120001000000002,20.120001000000002,19.535,19.76,19.76,441500,-0.019354838709677247
2020-02-14,19.77,20.26,19.51,19.969998999999998,19.969998999999998,282000,0.01062747975708489
2020-02-18,19.93,20.33,19.75,19.93,19.93,251600,-0.0020029545319455444
2020-02-19,20.0,20.07,19.559998999999998,19.879998999999998,19.879998999999998,319500,-0.002508830908178661
2020-02-20,19.75,20.15,19.08,19.959999,19.959999,371700,0.004024145071637175
2020-02-21,19.93,20.059998999999998,19.23,19.360001,19.360001,289800,-0.03006002154609322
2020-02-24,18.799999,19.33,17.52,19.07,19.07,634800,-0.01497938972213897
2020-02-25,18.889999,19.1,17.559998999999998,17.9,17.9,763900,-0.06135291033036194
2020-02-26,17.950001,18.219998999999998,17.275,17.870001000000002,17.870001000000002,652800,-0.0016759217877092558
2020-02-27,18.049999,21.15,16.75,19.73,19.73,1244100,0.10408499697341922
2020-02-28,19.879998999999998,21.07,18.77,21.059998999999998,21.059998999999998,921800,0.0674099847947287
2020-03-02,21.110001,21.268998999999997,19.24,20.25,20.25,863200,-0.038461492804439223
2020-03-03,20.24,20.379998999999998,19.5,19.610001,19.610001,558100,-0.031604888888888905
2020-03-04,19.889999,20.549999,19.76,20.530001000000002,20.530001000000002,423000,0.0469148369752761
2020-03-05,20.01,20.360001,18.879998999999998,19.139999,19.139999,560500,-0.06770589051603082
2020-03-06,18.540001,19.16,17.209999,17.48,17.48,514200,-0.08672931487613966
2020-03-09,16.24,16.6,15.3,15.45,15.45,691600,-0.11613272311212819
2020-03-10,15.81,16.780001000000002,14.88,16.77,16.77,718200,0.08543689320388359
2020-03-11,16.23,16.655001000000002,15.82,16.059998999999998,16.059998999999998,763400,-0.042337567084078875
2020-03-12,15.01,16.74,14.19,16.15,16.15,986800,0.005604047671484924
2020-03-13,16.780001000000002,17.542999,14.54,15.77,15.77,889700,-0.0235294117647058
2020-03-16,14.46,14.97,10.32,10.32,10.32,1203900,-0.3455928979074191
2020-03-17,10.9,12.48,10.44,11.91,11.91,1246100,0.15406976744186052
2020-03-18,11.08,12.91,10.6,11.89,11.89,786300,-0.0016792611251049694
2020-03-19,11.63,13.8,11.25,13.43,13.43,768500,0.12952060555088307
2020-03-20,13.62,14.01,11.76,12.38,12.38,826900,-0.07818317200297831
2020-03-23,12.6,12.74,11.27,11.68,11.68,533700,-0.056542810985460545
2020-03-24,12.27,13.28,12.01,13.22,13.22,594200,0.13184931506849318
2020-03-25,13.19,14.2,12.68,13.98,13.98,650200,0.05748865355521926
2020-03-26,14.03,15.67,13.5,14.42,14.42,549800,0.03147353361945626
2020-03-27,13.94,14.24,12.97,13.16,13.16,500800,-0.08737864077669899
2020-03-30,13.01,13.6,12.815,13.11,13.11,392500,-0.0037993920972645423
2020-03-31,13.22,13.68,12.65,13.0,13.0,482500,-0.008390541571319576
2020-04-01,12.51,12.81,11.82,11.85,11.85,469300,-0.08846153846153848
2020-04-02,11.56,12.83,11.56,12.53,12.53,601200,0.05738396624472575
2020-04-03,12.37,12.757,11.6,11.9,11.9,408900,-0.05027932960893844
