Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,5.7,5.75,5.63,5.74,5.673126,47000,
2020-01-03,5.75,6.08,5.7,5.95,5.880679,23200,0.036585297065497846
2020-01-06,5.85,5.95,5.77,5.92,5.8510290000000005,13600,-0.005041934783381219
2020-01-07,5.9,6.08,5.86,5.93,5.860912,88000,0.0016891046002334154
2020-01-08,6.08,6.32,6.0,6.18,6.108,60400,0.04215862650727398
2020-01-09,5.77,5.94,5.61,5.65,5.584175,184500,-0.08576047806155851
2020-01-10,5.7,5.8,5.53,5.67,5.603942,13900,0.0035398245936060224
2020-01-13,5.6,5.63,5.52,5.61,5.544641,20400,-0.01058201530279923
2020-01-14,5.65,5.69,5.55,5.63,5.564408,11000,0.0035650639960278507
2020-01-15,5.55,5.68,5.53,5.63,5.564408,12600,0.0
2020-01-16,5.7,5.7,5.6,5.63,5.564408,5500,0.0
2020-01-17,5.69,5.72,5.63,5.63,5.564408,28200,0.0
2020-01-21,5.56,5.64,5.5,5.64,5.5742910000000006,20100,0.0017761098754800475
2020-01-22,5.6,5.63,5.5,5.56,5.495223,3300,-0.014184404796950933
2020-01-23,5.65,5.65,5.5,5.5,5.435922,5200,-0.010791372797791965
2020-01-24,5.5,5.63,5.5,5.6,5.534757,7100,0.018181828216078166
2020-01-27,5.51,5.62,5.42,5.45,5.3865050000000005,15500,-0.026785638466151118
2020-01-28,5.45,5.45,5.32,5.41,5.346971,8100,-0.007339452947690672
2020-01-29,5.38,5.49,5.36,5.36,5.297554,10800,-0.009242054987767867
2020-01-30,5.32,5.43,5.31,5.36,5.297554,5400,0.0
2020-01-31,5.33,5.35,5.26,5.27,5.208602,13600,-0.016791145498469606
2020-02-03,5.3,5.39,5.26,5.35,5.287669999999999,23600,0.015180272940800599
2020-02-04,5.3,5.4,5.1,5.15,5.09,66100,-0.037383195244786394
2020-02-05,5.11,5.19,4.97,5.19,5.19,27600,0.01964636542239706
2020-02-06,5.14,5.17,5.0,5.01,5.01,19000,-0.034682080924855585
2020-02-07,4.99,5.07,4.99,5.01,5.01,25300,0.0
2020-02-10,4.97,4.99,4.81,4.85,4.85,33800,-0.031936127744511045
2020-02-11,4.85,4.95,4.85,4.9,4.9,7500,0.01030927835051565
2020-02-12,4.88,4.96,4.88,4.93,4.93,9000,0.006122448979591688
2020-02-13,4.94,4.94,4.81,4.84,4.84,5900,-0.018255578093306246
2020-02-14,4.77,5.17,4.77,5.08,5.08,27800,0.04958677685950419
2020-02-18,4.96,4.96,4.8,4.82,4.82,20800,-0.051181102362204633
2020-02-19,4.84,4.84,4.8,4.81,4.81,17500,-0.0020746887966806016
2020-02-20,4.81,4.85,4.8,4.8,4.8,33000,-0.0020790020790020236
2020-02-21,4.8,4.8,4.75,4.77,4.77,9000,-0.006250000000000089
2020-02-24,4.68,4.75,4.62,4.7,4.7,16300,-0.01467505241090139
2020-02-25,4.71,4.71,4.49,4.51,4.51,32800,-0.04042553191489373
2020-02-26,4.51,4.63,4.51,4.53,4.53,11900,0.004434589800443645
2020-02-27,4.53,4.63,4.51,4.51,4.51,33000,-0.004415011037527727
2020-02-28,4.54,4.72,4.47,4.47,4.47,23800,-0.008869179600886956
2020-03-02,4.6,4.76,4.51,4.58,4.58,38300,0.024608501118568382
2020-03-03,4.55,4.69,4.51,4.55,4.55,15500,-0.0065502183406114245
2020-03-04,4.54,4.58,4.51,4.52,4.52,9800,-0.006593406593406681
2020-03-05,4.51,4.55,4.5,4.51,4.51,32600,-0.0022123893805309214
2020-03-06,4.56,4.59,4.51,4.51,4.51,32500,0.0
2020-03-09,4.48,4.71,4.39,4.71,4.71,123100,0.04434589800443467
2020-03-10,4.71,4.71,4.51,4.52,4.52,17100,-0.04033970276008503
2020-03-11,4.51,4.61,4.28,4.46,4.46,74100,-0.01327433628318575
2020-03-12,4.46,4.82,4.28,4.55,4.55,181200,0.020179372197309364
2020-03-13,4.66,4.74,4.51,4.51,4.51,57500,-0.00879120879120876
2020-03-16,4.28,4.4,4.05,4.17,4.17,19700,-0.07538802660753874
2020-03-17,4.13,4.13,3.85,3.85,3.85,24000,-0.0767386091127098
2020-03-18,3.91,4.14,3.65,3.65,3.65,10200,-0.051948051948051965
2020-03-19,3.61,3.96,3.1,3.64,3.64,40300,-0.002739726027397249
2020-03-20,3.56,3.67,3.25,3.61,3.61,16800,-0.008241758241758323
2020-03-23,3.46,3.6,3.3,3.31,3.31,16200,-0.08310249307479223
2020-03-24,3.45,3.61,3.4,3.5,3.5,12000,0.05740181268882183
2020-03-25,3.59,3.86,3.5,3.65,3.65,5000,0.04285714285714293
2020-03-26,3.57,3.8,3.44,3.61,3.61,27700,-0.010958904109588996
2020-03-27,3.59,3.85,3.54,3.55,3.55,11500,-0.016620498614958512
2020-03-30,3.55,3.86,3.55,3.63,3.63,9400,0.022535211267605604
2020-03-31,3.63,3.86,3.52,3.83,3.83,19300,0.05509641873278248
2020-04-01,3.74,3.82,3.55,3.72,3.72,4800,-0.028720626631853707
2020-04-02,3.64,3.84,3.64,3.67,3.67,4700,-0.013440860215053863
2020-04-03,3.79,3.85,3.56,3.56,3.56,10200,-0.02997275204359673
