Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,1.39,1.4,1.38,1.383,1.383,15600,
2020-01-03,1.39,1.4,1.37,1.39,1.39,14900,0.005061460592913791
2020-01-06,1.6,1.6,1.35,1.4,1.4,86500,0.007194244604316502
2020-01-07,1.408,1.47,1.4,1.41,1.41,9300,0.0071428571428571175
2020-01-08,1.39,1.507,1.39,1.452,1.452,51400,0.029787234042553123
2020-01-09,1.498,1.68,1.39,1.53,1.53,325300,0.053719008264462964
2020-01-10,1.47,1.51,1.4,1.48,1.48,42000,-0.0326797385620915
2020-01-13,1.51,1.53,1.44,1.49,1.49,56400,0.006756756756756799
2020-01-14,1.46,1.56,1.46,1.525,1.525,43400,0.02348993288590595
2020-01-15,1.49,1.537,1.44,1.47,1.47,13600,-0.0360655737704918
2020-01-16,1.59,1.59,1.48,1.495,1.495,15800,0.017006802721088565
2020-01-17,1.53,1.54,1.48,1.5,1.5,30800,0.0033444816053511683
2020-01-21,1.55,1.55,1.47,1.48,1.48,25700,-0.013333333333333308
2020-01-22,1.46,1.542,1.44,1.51,1.51,20800,0.020270270270270396
2020-01-23,1.55,1.64,1.527,1.595,1.595,84800,0.056291390728476776
2020-01-24,1.57,1.62,1.53,1.53,1.53,37900,-0.040752351097178674
2020-01-27,1.57,1.61,1.493,1.59,1.59,48700,0.03921568627450989
2020-01-28,1.59,1.65,1.53,1.546,1.546,29400,-0.02767295597484276
2020-01-29,1.544,1.544,1.5,1.51,1.51,21400,-0.023285899094437235
2020-01-30,1.5,1.5,1.451,1.496,1.496,28100,-0.009271523178807972
2020-01-31,1.451,1.54,1.45,1.49,1.49,5400,-0.004010695187165791
2020-02-03,1.46,1.725,1.431,1.61,1.61,253300,0.08053691275167796
2020-02-04,1.7,1.7,1.51,1.53,1.53,101800,-0.049689440993788914
2020-02-05,1.55,1.61,1.5,1.542,1.542,51200,0.007843137254901933
2020-02-06,1.55,1.593,1.51,1.55,1.55,25900,0.005188067444876765
2020-02-07,1.6,1.6,1.533,1.558,1.558,7900,0.005161290322580614
2020-02-10,1.56,1.592,1.5,1.55,1.55,28000,-0.005134788189987138
2020-02-11,1.53,1.572,1.523,1.53,1.53,23000,-0.012903225806451646
2020-02-12,1.5,1.54,1.5,1.529,1.529,3400,-0.0006535947712419388
2020-02-13,1.5,1.518,1.44,1.45,1.45,50000,-0.05166775670372792
2020-02-14,1.47,1.489,1.42,1.439,1.439,11300,-0.0075862068965516505
2020-02-18,1.44,1.47,1.44,1.448,1.448,4300,0.006254343293954134
2020-02-19,1.424,1.449,1.424,1.437,1.437,14300,-0.007596685082872812
2020-02-20,1.44,1.476,1.427,1.458,1.458,10400,0.014613778705636626
2020-02-21,1.44,1.489,1.42,1.424,1.424,36700,-0.023319615912208547
2020-02-24,1.4,1.49,1.4,1.45,1.45,21300,0.018258426966292207
2020-02-25,1.42,1.421,1.38,1.397,1.397,24600,-0.03655172413793095
2020-02-26,1.38,1.418,1.32,1.32,1.32,19000,-0.055118110236220486
2020-02-27,1.315,1.4,1.3,1.366,1.366,40600,0.034848484848484906
2020-02-28,1.34,1.49,1.34,1.37,1.37,42400,0.002928257686676483
2020-03-02,1.39,1.39,1.195,1.28,1.28,50600,-0.06569343065693434
2020-03-03,1.327,1.327,1.31,1.31,1.31,11500,0.0234375
2020-03-04,1.337,1.65,1.337,1.4,1.4,283100,0.06870229007633566
2020-03-05,1.44,1.463,1.4,1.41,1.41,35900,0.0071428571428571175
2020-03-06,1.41,1.41,1.2,1.27,1.27,30000,-0.09929078014184389
2020-03-09,1.21,1.31,1.195,1.23,1.23,36700,-0.03149606299212604
2020-03-10,1.3,1.3,1.085,1.26,1.26,20500,0.024390243902439046
2020-03-11,1.193,1.193,1.09,1.09,1.09,5600,-0.13492063492063489
2020-03-12,1.02,1.039,0.75,1.01,1.01,25300,-0.07339449541284415
2020-03-13,1.05,1.05,0.811,0.92,0.92,15700,-0.08910891089108908
2020-03-16,0.9,0.92,0.75,0.75,0.75,19300,-0.18478260869565222
2020-03-17,0.75,0.85,0.75,0.832,0.832,41300,0.10933333333333328
2020-03-18,0.76,0.775,0.75,0.772,0.772,16500,-0.07211538461538458
2020-03-19,0.81,0.85,0.75,0.776,0.776,18000,0.005181347150259086
2020-03-20,0.768,0.84,0.752,0.76,0.76,16400,-0.020618556701030966
2020-03-23,0.78,0.85,0.75,0.825,0.825,13500,0.08552631578947367
2020-03-24,0.87,1.25,0.87,1.009,1.009,178000,0.2230303030303029
2020-03-25,0.953,1.1,0.821,0.93,0.93,80100,-0.0782953419226956
2020-03-26,0.977,1.15,0.93,1.1,1.1,51100,0.18279569892473124
2020-03-27,1.18,1.18,1.02,1.1,1.1,19400,0.0
2020-03-30,1.05,1.12,1.05,1.06,1.06,29300,-0.036363636363636376
2020-03-31,1.04,1.6,1.04,1.38,1.38,315600,0.3018867924528301
2020-04-01,1.35,1.36,1.12,1.34,1.34,125000,-0.02898550724637672
2020-04-02,1.35,1.35,1.15,1.19,1.19,32800,-0.11194029850746279
2020-04-03,1.35,1.351,1.19,1.24,1.24,31600,0.04201680672268915
