Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,25.0,25.0,24.780001000000002,24.9,24.813292999999998,14700,
2020-01-03,24.879998999999998,24.889999,24.629998999999998,24.629998999999998,24.544233,13700,-0.010843381408505492
2020-01-06,24.27,24.67,24.27,24.389999,24.305069,10000,-0.009744203455043787
2020-01-07,24.450001,24.450001,24.24,24.25,24.165557999999997,6000,-0.005739996047738116
2020-01-08,23.99,24.639999,23.99,24.57,24.484444,10800,0.01319588813136452
2020-01-09,24.66,24.66,24.42,24.58,24.494408,5200,0.0004069522673253445
2020-01-10,24.629998999999998,24.629998999999998,24.299999,24.5,24.414686,10800,-0.00325470205281142
2020-01-13,24.48,24.65,24.35,24.59,24.504374,16500,0.0036735266634189134
2020-01-14,24.360001,24.68,24.360001,24.4,24.315035,21900,-0.007726742988823032
2020-01-15,24.42,24.48,24.299999,24.459999,24.374825,11200,0.0024589724012324954
2020-01-16,24.49,24.6,24.4,24.5,24.414686,26500,0.0016353348177884364
2020-01-17,24.59,24.59,24.139999,24.450001,24.364862,17900,-0.0020407389224665895
2020-01-21,24.23,24.360001,24.120001000000002,24.200001,24.115732,13400,-0.010224970697556124
2020-01-22,24.24,24.379998999999998,24.08,24.299999,24.215384,13600,0.0041322403151602405
2020-01-23,24.280001000000002,24.6,24.040001,24.49,24.404722,21900,0.007818913794635618
2020-01-24,24.67,24.67,24.1,24.290001,24.20542,8600,-0.008166534328889252
2020-01-27,24.0,24.559998999999998,23.959999,24.25,24.165557999999997,20200,-0.0016468212491252965
2020-01-28,24.370001000000002,24.610001,24.35,24.459999,24.374825,10500,0.008659721410116061
2020-01-29,24.4,24.41,24.120001000000002,24.129998999999998,24.045975,27800,-0.013491378912464103
2020-01-30,24.540001,24.540001,23.620001000000002,24.33,24.245279,28200,0.008288455760267599
2020-01-31,23.99,24.299999,23.9,23.9,23.816776,7400,-0.017673667521004743
2020-02-03,24.1,24.290001,23.83,23.83,23.747021,14900,-0.0029288179054965946
2020-02-04,24.0,24.290001,23.959999,24.200001,24.115732,31600,0.015526621212825109
2020-02-05,24.450001,24.66,24.4,24.66,24.574129,12200,0.019008214222981046
2020-02-06,24.700001,24.700001,24.6,24.65,24.564165,15300,-0.0004054670666049365
2020-02-07,24.709999,24.799999,24.360001,24.41,24.325001,20100,-0.009736296755863627
2020-02-10,24.26,24.77,24.24,24.58,24.58,17500,0.010483000596793302
2020-02-11,24.5,24.690001000000002,24.450001,24.65,24.65,23700,0.002847843775427128
2020-02-12,24.700001,24.700001,24.5,24.639999,24.639999,20200,-0.0004057200811358186
2020-02-13,24.450001,24.780001000000002,24.450001,24.77,24.77,17700,0.005276014824513675
2020-02-14,24.77,24.790001,24.530001000000002,24.65,24.65,14600,-0.004844570044408636
2020-02-18,24.74,24.780001000000002,23.67,24.549999,24.549999,27000,-0.00405683569979709
