Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,11.78,11.78,11.04,11.45,11.379667999999999,805500,
2020-01-03,11.28,11.62,10.99,11.06,10.992064,633100,-0.034061099146301954
2020-01-06,10.84,11.21,10.49,11.2,11.131203999999999,1373200,0.012658223241786004
2020-01-07,11.16,11.81,11.11,11.76,11.687764,1407700,0.049999982032491896
2020-01-08,11.65,11.74,11.51,11.55,11.479054,1070100,-0.017857136745745406
2020-01-09,11.61,11.61,11.27,11.48,11.409483999999999,628900,-0.006060603948722654
2020-01-10,11.55,11.57,10.99,11.02,10.952311,551800,-0.04006955967509129
2020-01-13,11.02,11.02,10.69,10.71,10.644214,638300,-0.028130775322212864
2020-01-14,10.7,11.05,10.58,10.89,10.823109,425500,0.016806783478799048
2020-01-15,10.93,10.93,10.65,10.76,10.693907000000001,408100,-0.01193760498947205
2020-01-16,10.8,10.85,10.66,10.72,10.654152999999999,325900,-0.0037174439613139043
2020-01-17,10.72,10.9,10.6,10.62,10.554767,318700,-0.00932838114864687
2020-01-21,10.52,10.59,10.28,10.37,10.306302,789700,-0.02354054807652306
2020-01-22,10.35,10.35,9.64,9.76,9.700049,1295900,-0.058823523704234604
2020-01-23,9.61,9.61,8.95,9.43,9.372077,664000,-0.033811375592020076
2020-01-24,9.4,9.58,9.07,9.23,9.173305000000001,507500,-0.021208959337401967
2020-01-27,8.64,8.98,8.35,8.5,8.447789,971900,-0.07908992451466512
2020-01-28,8.63,8.69,8.32,8.43,8.378219,745400,-0.008235290914581417
2020-01-29,8.54,8.86,8.42,8.84,8.785701,1292100,0.04863587356692389
2020-01-30,8.67,8.82,8.15,8.3,8.249018,782800,-0.06108596229259344
2020-01-31,8.29,8.39,8.01,8.1,8.050246000000001,781600,-0.024096443964602643
2020-02-03,8.11,8.12,7.86,8.11,8.060184,1081700,0.0012344964365060829
2020-02-04,8.2,8.46,8.01,8.29,8.239078999999998,809300,0.022194902746636824
2020-02-05,8.6,8.63,8.42,8.53,8.477604,747700,0.02895044458245888
2020-02-06,8.58,8.62,8.09,8.17,8.119816,600600,-0.04220390572619337
2020-02-07,8.1,8.1,7.82,8.03,7.980676,461700,-0.017135856280487194
2020-02-10,8.04,8.19,7.86,8.11,8.060184,399100,0.009962564574730326
2020-02-11,8.15,8.81,8.15,8.68,8.626683,562400,0.0702836312421653
2020-02-12,8.73,9.0,8.53,8.64,8.586929,588400,-0.004608260208471826
2020-02-13,8.55,8.56,8.23,8.37,8.318586999999999,573800,-0.031250054588782605
2020-02-14,8.4,8.61,8.37,8.51,8.457727,237900,0.016726398365491724
2020-02-18,8.51,8.54,8.3,8.32,8.268894,498200,-0.022326684226152138
2020-02-19,8.4,8.62,8.38,8.56,8.507421,557900,0.02884630036374891
2020-02-20,9.26,9.87,8.68,9.15,9.093796000000001,1025800,0.06892511843483473
2020-02-21,9.06,9.24,8.91,9.03,8.974533000000001,705200,-0.013114765275139217
2020-02-24,8.54,8.64,8.1,8.24,8.189385000000001,793400,-0.08748622351714563
2020-02-25,8.28,8.44,8.13,8.2,8.149632,593500,-0.00485421066417091
2020-02-26,8.22,8.22,7.84,8.01,7.960799000000001,676100,-0.023170739488605152
2020-02-27,7.78,8.48,7.6,8.14,8.09,673000,0.01622965232509954
2020-02-28,8.0,8.69,7.88,8.67,8.67,811000,0.07169344870210126
2020-03-02,8.73,8.77,8.1,8.32,8.32,525400,-0.0403690888119953
2020-03-03,8.35,8.67,8.28,8.51,8.51,608200,0.022836538461538325
2020-03-04,8.54,8.61,8.28,8.43,8.43,558100,-0.009400705052878933
2020-03-05,8.25,8.39,7.94,8.04,8.04,514500,-0.04626334519572961
2020-03-06,7.8,8.32,7.72,8.13,8.13,804500,0.011194029850746468
2020-03-09,7.22,7.72,6.84,7.01,7.01,1224400,-0.13776137761377627
2020-03-10,7.3,7.89,7.26,7.79,7.79,402500,0.11126961483594866
2020-03-11,7.53,7.92,7.27,7.37,7.37,414900,-0.05391527599486523
2020-03-12,6.95,7.32,6.59,6.99,6.99,851200,-0.05156037991858886
2020-03-13,7.28,7.72,6.49,6.92,6.92,713100,-0.010014306151645225
2020-03-16,6.21,6.72,5.36,6.51,6.51,798700,-0.05924855491329484
2020-03-17,6.61,6.78,6.01,6.29,6.29,964100,-0.03379416282642089
2020-03-18,5.98,6.12,5.38,5.77,5.77,1498300,-0.08267090620031803
2020-03-19,5.77,6.25,5.6,5.85,5.85,437200,0.013864818024263537
2020-03-20,5.95,6.3,5.51,5.61,5.61,725600,-0.04102564102564088
2020-03-23,5.68,5.86,4.99,5.05,5.05,552600,-0.09982174688057044
2020-03-24,5.21,5.45,4.76,5.22,5.22,729000,0.03366336633663369
2020-03-25,5.24,5.43,4.82,5.15,5.15,742000,-0.013409961685823646
2020-03-26,5.16,5.86,5.16,5.64,5.64,829500,0.09514563106796103
2020-03-27,5.47,5.68,5.14,5.52,5.52,338000,-0.021276595744680882
2020-03-30,5.52,5.83,5.34,5.46,5.46,382400,-0.010869565217391242
2020-03-31,5.75,6.12,5.5,5.64,5.64,532400,0.03296703296703285
2020-04-01,5.6,5.75,5.33,5.72,5.72,715800,0.014184397163120588
2020-04-02,5.69,5.84,5.19,5.27,5.27,468500,-0.07867132867132876
2020-04-03,5.3,5.42,4.88,4.98,4.98,546600,-0.05502846299810227
