Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,0.2,0.22,0.19,0.19,0.19,2166900,
2020-01-03,0.21,0.24,0.19,0.24,0.24,4257500,0.26315789473684204
2020-01-06,0.24,0.26,0.22,0.26,0.26,3677900,0.08333333333333348
2020-01-07,0.25,0.25,0.22,0.23,0.23,1568600,-0.11538461538461542
2020-01-08,0.22,0.25,0.22,0.24,0.24,715200,0.04347826086956519
2020-01-09,0.24,0.26,0.23,0.24,0.24,1336600,0.0
2020-01-10,0.26,0.26,0.23,0.23,0.23,870400,-0.04166666666666663
2020-01-13,0.23,0.24,0.21,0.22,0.22,1270600,-0.0434782608695653
2020-01-14,0.23,0.23,0.21,0.22,0.22,513700,0.0
2020-01-15,0.22,0.24,0.22,0.22,0.22,960000,0.0
2020-01-16,0.22,0.23,0.2,0.22,0.22,1094800,0.0
2020-01-17,0.21,0.23,0.21,0.21,0.21,567900,-0.045454545454545525
2020-01-21,0.22,0.22,0.21,0.21,0.21,543400,0.0
2020-01-22,0.21,0.23,0.2,0.23,0.23,1135000,0.09523809523809534
2020-01-23,0.22,0.24,0.21,0.24,0.24,928700,0.04347826086956519
2020-01-24,0.21,0.26,0.21,0.23,0.23,1427400,-0.04166666666666663
2020-01-27,0.2,0.24,0.2,0.22,0.22,468200,-0.0434782608695653
2020-01-28,0.21,0.23,0.21,0.22,0.22,499200,0.0
2020-01-29,0.23,0.23,0.21,0.22,0.22,911300,0.0
2020-01-30,0.22,0.25,0.21,0.25,0.25,1347500,0.13636363636363646
2020-01-31,0.25,0.28,0.24,0.24,0.24,3437600,-0.040000000000000036
2020-02-03,0.24,0.25,0.23,0.24,0.24,539000,0.0
2020-02-04,0.24,0.24,0.22,0.23,0.23,921800,-0.04166666666666663
2020-02-05,0.23,0.23,0.22,0.22,0.22,479100,-0.0434782608695653
2020-02-06,0.21,0.22,0.21,0.22,0.22,315200,0.0
2020-02-07,0.21,0.22,0.21,0.21,0.21,514700,-0.045454545454545525
2020-02-10,0.21,0.22,0.21,0.21,0.21,408500,0.0
2020-02-11,0.21,0.22,0.21,0.21,0.21,247700,0.0
2020-02-12,0.21,0.22,0.21,0.22,0.22,462700,0.04761904761904767
2020-02-13,0.21,0.22,0.21,0.21,0.21,405800,-0.045454545454545525
2020-02-14,0.21,0.21,0.18,0.19,0.19,519300,-0.09523809523809523
2020-02-18,0.2,0.2,0.18,0.19,0.19,751100,0.0
2020-02-19,0.19,0.21,0.19,0.2,0.2,1310900,0.05263157894736836
2020-02-20,0.21,0.22,0.2,0.21,0.21,1262300,0.04999999999999982
2020-02-21,0.21,0.24,0.2,0.24,0.24,3572200,0.1428571428571428
2020-02-24,0.23,0.24,0.21,0.22,0.22,1199300,-0.08333333333333326
2020-02-25,0.24,0.24,0.2,0.21,0.21,517100,-0.045454545454545525
2020-02-26,0.2,0.23,0.2,0.2,0.2,926600,-0.04761904761904756
2020-02-27,0.2,0.21,0.18,0.19,0.19,1163900,-0.050000000000000044
2020-02-28,0.17,0.2,0.17,0.19,0.19,817100,0.0
2020-03-02,0.21,0.21,0.19,0.2,0.2,703600,0.05263157894736836
2020-03-03,0.36,0.57,0.3,0.31,0.31,70433100,0.5499999999999998
2020-03-04,0.29,0.31,0.24,0.28,0.28,8842000,-0.09677419354838701
2020-03-05,0.25,0.3,0.25,0.26,0.26,4284500,-0.07142857142857151
2020-03-06,0.25,0.26,0.22,0.23,0.23,3406200,-0.11538461538461542
2020-03-09,0.22,0.22,0.19,0.19,0.19,1861200,-0.17391304347826086
2020-03-10,0.22,0.23,0.2,0.21,0.21,1678400,0.10526315789473673
2020-03-11,0.22,0.22,0.19,0.19,0.19,1170500,-0.09523809523809523
2020-03-12,0.17,0.19,0.16,0.17,0.17,965200,-0.10526315789473684
2020-03-13,0.2,0.2,0.17,0.18,0.18,650900,0.0588235294117645
2020-03-16,0.17,0.17,0.13,0.15,0.15,1042300,-0.16666666666666663
2020-03-17,0.16,0.16,0.14,0.15,0.15,688900,0.0
2020-03-18,0.15,0.16,0.13,0.14,0.14,856000,-0.06666666666666654
2020-03-19,0.14,0.15,0.12,0.15,0.15,997800,0.0714285714285714
2020-03-20,0.15,0.17,0.14,0.15,0.15,913700,0.0
2020-03-23,0.18,0.18,0.14,0.15,0.15,522400,0.0
2020-03-24,0.15,0.17,0.13,0.16,0.16,737200,0.06666666666666665
2020-03-25,0.16,0.19,0.16,0.17,0.17,2210700,0.0625
2020-03-26,0.18,0.18,0.16,0.16,0.16,1151900,-0.05882352941176472
2020-03-27,0.17,0.19,0.15,0.17,0.17,1641400,0.0625
2020-03-30,0.19,0.23,0.19,0.2,0.2,3589800,0.17647058823529416
2020-03-31,0.3,0.32,0.21,0.22,0.22,11231800,0.09999999999999987
2020-04-01,0.21,0.21,0.17,0.19,0.19,1840300,-0.13636363636363635
2020-04-02,0.19,0.2,0.18,0.19,0.19,773500,0.0
2020-04-03,0.19,0.19,0.18,0.18,0.18,571500,-0.052631578947368474
