Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,2.41,2.44,2.23,2.3,2.3,114900,
2020-01-03,2.27,2.387,2.2,2.35,2.35,248000,0.021739130434782705
2020-01-06,2.35,2.44,2.28,2.35,2.35,230000,0.0
2020-01-07,2.38,3.05,2.38,2.82,2.82,2191000,0.19999999999999996
2020-01-08,2.75,2.91,2.69,2.78,2.78,508600,-0.014184397163120588
2020-01-09,2.81,3.12,2.77,2.77,2.77,512000,-0.003597122302158251
2020-01-10,2.76,3.0,2.75,2.94,2.94,296300,0.06137184115523464
2020-01-13,2.98,2.98,2.77,2.91,2.91,205300,-0.010204081632652962
2020-01-14,2.92,2.95,2.82,2.9,2.9,163600,-0.003436426116838587
2020-01-15,2.94,3.5,2.91,2.94,2.94,623100,0.01379310344827589
2020-01-16,2.95,3.21,2.89,3.14,3.14,550600,0.06802721088435382
2020-01-17,3.16,3.34,3.1,3.32,3.32,721700,0.0573248407643312
2020-01-21,3.48,3.64,3.4,3.48,3.48,570900,0.048192771084337505
2020-01-22,3.56,3.66,3.46,3.5,3.5,418300,0.005747126436781658
2020-01-23,3.5,3.52,2.94,3.19,3.19,683100,-0.08857142857142863
2020-01-24,3.19,3.35,2.8,3.08,3.08,547000,-0.03448275862068961
2020-01-27,3.0,3.06,2.74,2.91,2.91,255600,-0.05519480519480513
2020-01-28,2.91,2.98,2.81,2.86,2.86,204300,-0.01718213058419249
2020-01-29,3.11,3.14,2.95,2.96,2.96,236300,0.034965034965035
2020-01-30,2.8,3.02,2.7,3.01,3.01,607100,0.016891891891891886
2020-01-31,3.03,3.94,3.025,3.6,3.6,1564300,0.1960132890365449
2020-02-03,3.55,3.92,3.454,3.59,3.59,996700,-0.002777777777777879
2020-02-04,3.58,3.81,3.55,3.65,3.65,620700,0.01671309192200554
2020-02-05,3.66,4.8,3.65,4.41,4.41,1525700,0.2082191780821918
2020-02-06,4.5,4.77,4.2,4.39,4.39,1537100,-0.0045351473922903285
2020-02-07,4.4,4.663,4.183,4.52,4.52,717400,0.029612756264236983
2020-02-10,4.59,4.83,4.45,4.5,4.5,779200,-0.004424778761061843
2020-02-11,4.48,4.56,4.2,4.46,4.46,609800,-0.008888888888888946
2020-02-12,4.51,4.51,3.92,4.05,4.05,519200,-0.09192825112107628
2020-02-13,4.01,4.18,3.93,4.05,4.05,478400,0.0
2020-02-14,4.04,4.43,3.94,4.16,4.16,589300,0.02716049382716057
2020-02-18,4.29,4.38,4.04,4.32,4.32,510200,0.03846153846153855
2020-02-19,4.4,4.55,4.25,4.5,4.5,1608500,0.04166666666666652
2020-02-20,4.32,4.39,4.16,4.27,4.27,799000,-0.05111111111111122
2020-02-21,4.33,4.36,4.16,4.22,4.22,351100,-0.011709601873536313
2020-02-24,4.13,4.26,4.0,4.22,4.22,496500,0.0
2020-02-25,4.26,4.3,3.81,4.005,4.005,529400,-0.05094786729857814
2020-02-26,4.0,4.24,3.99,4.22,4.22,640700,0.0536828963795255
2020-02-27,4.16,4.762,3.96,4.07,4.07,962600,-0.03554502369668233
2020-02-28,4.0,4.12,3.82,4.0,4.0,716800,-0.017199017199017286
2020-03-02,4.03,4.04,3.84,3.89,3.89,443300,-0.02749999999999997
2020-03-03,3.92,3.99,3.46,3.7,3.7,678500,-0.04884318766066842
2020-03-04,4.05,4.116,3.87,3.9,3.9,808000,0.054054054054053946
2020-03-05,4.0,4.071,3.86,3.94,3.94,476700,0.01025641025641022
2020-03-06,3.89,4.013,3.85,3.86,3.86,460400,-0.020304568527918843
2020-03-09,3.69,3.8,3.28,3.5,3.5,549400,-0.09326424870466321
2020-03-10,3.56,3.68,2.94,3.19,3.19,736000,-0.08857142857142863
2020-03-11,3.15,3.44,3.03,3.09,3.09,683100,-0.031347962382445194
2020-03-12,2.75,2.85,1.96,2.08,2.08,2600100,-0.3268608414239481
2020-03-13,2.17,2.72,2.14,2.71,2.71,1580900,0.3028846153846154
2020-03-16,2.19,2.2,1.9,1.96,1.96,1327300,-0.2767527675276753
2020-03-17,2.03,2.09,1.93,1.99,1.99,1371000,0.015306122448979664
2020-03-18,1.92,2.08,1.44,1.5,1.5,872300,-0.24623115577889443
2020-03-19,1.51,1.73,1.42,1.69,1.69,1332200,0.1266666666666667
2020-03-20,1.76,2.139,1.72,1.73,1.73,1723600,0.02366863905325456
2020-03-23,1.78,2.02,1.67,1.95,1.95,514000,0.12716763005780352
2020-03-24,2.03,2.18,1.83,1.95,1.95,1155500,0.0
2020-03-25,2.0,2.17,1.85,2.14,2.14,653500,0.09743589743589753
2020-03-26,2.19,2.203,2.06,2.14,2.14,413400,0.0
2020-03-27,2.14,2.2,1.98,2.12,2.12,863900,-0.009345794392523366
2020-03-30,2.11,2.59,2.08,2.37,2.37,933500,0.11792452830188682
2020-03-31,2.31,2.97,2.21,2.41,2.41,1076000,0.016877637130801704
2020-04-01,2.29,2.29,1.935,2.01,2.01,478000,-0.16597510373444002
2020-04-02,2.02,2.085,1.85,1.9,1.9,283700,-0.05472636815920395
2020-04-03,1.93,1.97,1.7,1.83,1.83,456600,-0.03684210526315779
