Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,8.43,8.44,8.12,8.21,8.21,1398400,
2020-01-03,8.05,8.3,7.98,8.21,8.21,1282600,0.0
2020-01-06,8.12,8.29,7.97,8.29,8.29,1501700,0.009744214372715998
2020-01-07,8.3,8.38,8.16,8.19,8.19,1358500,-0.012062726176115812
2020-01-08,8.19,8.4,8.14,8.34,8.34,1001000,0.01831501831501825
2020-01-09,8.45,8.66,8.36,8.49,8.49,1201000,0.017985611510791477
2020-01-10,8.55,8.68,8.33,8.35,8.35,1561100,-0.016489988221437102
2020-01-13,8.35,8.36,8.07,8.28,8.28,1441600,-0.008383233532934131
2020-01-14,8.24,8.65,8.11,8.64,8.64,1868600,0.04347826086956541
2020-01-15,8.65,9.06,8.63,8.79,8.79,1749300,0.01736111111111094
2020-01-16,8.9,9.04,8.76,8.85,8.85,1233600,0.006825938566553003
2020-01-17,8.97,8.98,8.32,8.37,8.37,1687300,-0.05423728813559325
2020-01-21,8.37,8.47,8.22,8.26,8.26,1067200,-0.01314217443249699
2020-01-22,8.29,8.39,8.14,8.19,8.19,882800,-0.008474576271186529
2020-01-23,8.15,8.22,7.92,8.01,8.01,1686900,-0.0219780219780219
2020-01-24,8.06,8.1,7.39,7.5,7.5,2675000,-0.06367041198501866
2020-01-27,7.33,7.47,7.09,7.18,7.18,2156900,-0.04266666666666674
2020-01-28,7.25,7.47,7.17,7.26,7.26,1843500,0.011142061281337101
2020-01-29,7.3,7.58,7.3,7.38,7.38,1135600,0.016528925619834656
2020-01-30,7.33,7.39,7.09,7.22,7.22,1212000,-0.02168021680216803
2020-01-31,7.16,7.35,6.95,7.33,7.33,2174700,0.015235457063711877
2020-02-03,7.37,7.46,7.22,7.3,7.3,1489500,-0.004092769440654842
2020-02-04,7.44,7.56,7.25,7.39,7.39,1616700,0.012328767123287676
2020-02-05,7.45,7.76,7.39,7.65,7.65,1488600,0.03518267929634655
2020-02-06,7.7,7.85,7.57,7.72,7.72,1088300,0.009150326797385588
2020-02-07,7.69,7.71,7.46,7.54,7.54,1383000,-0.023316062176165775
2020-02-10,7.52,7.77,7.49,7.72,7.72,885600,0.023872679045092715
2020-02-11,7.77,7.78,7.53,7.6,7.6,753300,-0.015544041450777257
2020-02-12,7.65,7.76,7.6,7.75,7.75,770600,0.019736842105263275
2020-02-13,7.69,7.75,7.45,7.57,7.57,1119900,-0.023225806451612874
2020-02-14,7.56,7.64,7.34,7.57,7.57,944200,0.0
2020-02-18,7.54,7.58,7.38,7.48,7.48,784800,-0.011889035667106973
2020-02-19,7.52,7.56,7.36,7.47,7.47,1039700,-0.0013368983957220415
2020-02-20,7.51,7.61,7.39,7.54,7.54,967900,0.009370816599732379
2020-02-21,7.54,7.55,7.35,7.44,7.44,747800,-0.013262599469495928
2020-02-24,7.24,7.3,6.95,7.07,7.07,1848800,-0.04973118279569899
2020-02-25,7.09,7.16,6.71,6.8,6.8,2182000,-0.03818953323903829
2020-02-26,6.77,7.24,6.68,6.89,6.89,1670100,0.013235294117647012
2020-02-27,6.67,7.11,6.43,6.67,6.67,2712400,-0.03193033381712629
2020-02-28,8.93,9.19,8.02,8.53,8.53,10057100,0.2788605697151423
2020-03-02,9.09,9.1,8.25,8.5,8.5,5547100,-0.003516998827666984
2020-03-03,8.43,8.73,8.03,8.25,8.25,4044200,-0.02941176470588236
2020-03-04,8.34,8.53,7.97,8.13,8.13,3817700,-0.014545454545454417
2020-03-05,8.0,8.59,8.0,8.53,8.53,5837300,0.04920049200491983
2020-03-06,8.54,8.88,8.09,8.25,8.25,5336700,-0.03282532239155911
2020-03-09,7.7,7.96,7.26,7.33,7.33,3945700,-0.11151515151515146
2020-03-10,7.58,7.73,6.85,7.59,7.59,4567800,0.03547066848567537
2020-03-11,7.35,7.49,6.97,7.02,7.02,3097800,-0.07509881422924902
2020-03-12,6.49,7.2,6.05,6.28,6.28,3348600,-0.10541310541310533
2020-03-13,6.55,6.69,5.5,6.67,6.67,4461200,0.06210191082802541
2020-03-16,6.04,6.27,5.03,5.05,5.05,5522100,-0.2428785607196402
2020-03-17,5.22,5.86,4.81,5.5,5.5,5134300,0.08910891089108919
2020-03-18,5.1,5.8,5.01,5.56,5.56,3759700,0.010909090909090757
2020-03-19,5.5,6.32,4.99,6.13,6.13,4883100,0.10251798561151082
2020-03-20,6.2,6.62,5.92,6.01,6.01,2744000,-0.019575856443719397
2020-03-23,6.06,6.23,5.71,5.86,5.86,2625300,-0.024958402662229484
2020-03-24,6.16,6.4,5.9,6.21,6.21,2852600,0.05972696245733777
2020-03-25,6.25,6.53,5.98,6.26,6.26,3083000,0.008051529790660261
2020-03-26,6.26,6.8,6.26,6.66,6.66,1845000,0.06389776357827492
2020-03-27,6.5,6.58,6.28,6.34,6.34,1686700,-0.048048048048048075
2020-03-30,6.39,6.54,6.2,6.49,6.49,1695000,0.023659305993690927
2020-03-31,6.51,6.6,6.16,6.37,6.37,2403900,-0.018489984591679498
2020-04-01,6.19,6.43,6.04,6.21,6.21,2019400,-0.025117739403453743
2020-04-02,6.08,6.77,6.08,6.77,6.77,1976200,0.09017713365539448
2020-04-03,6.74,6.74,6.37,6.47,6.47,1216400,-0.04431314623338256
