Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,1.48,1.49,1.43,1.46,1.46,60300,
2020-01-03,1.46,1.64,1.44,1.51,1.51,108600,0.03424657534246589
2020-01-06,1.48,1.55,1.45,1.52,1.52,51900,0.0066225165562914245
2020-01-07,1.51,1.71,1.51,1.68,1.68,136400,0.10526315789473673
2020-01-08,1.67,1.9,1.62,1.81,1.81,374600,0.07738095238095255
2020-01-09,1.85,1.85,1.71,1.73,1.73,83800,-0.04419889502762431
2020-01-10,1.67,1.77,1.64,1.65,1.65,63300,-0.046242774566474076
2020-01-13,1.68,1.69,1.62,1.64,1.64,46300,-0.0060606060606061
2020-01-14,1.642,1.73,1.6,1.73,1.73,104000,0.054878048780487854
2020-01-15,1.73,1.73,1.62,1.7,1.7,72000,-0.017341040462427793
2020-01-16,1.62,1.694,1.62,1.65,1.65,53600,-0.02941176470588236
2020-01-17,1.63,1.7,1.57,1.57,1.57,61700,-0.04848484848484835
2020-01-21,1.69,1.69,1.59,1.659,1.659,23100,0.05668789808917185
2020-01-22,1.66,1.8,1.63,1.75,1.75,329700,0.05485232067510548
2020-01-23,1.8,1.82,1.683,1.78,1.78,243700,0.017142857142857126
2020-01-24,1.79,1.84,1.65,1.685,1.685,175200,-0.053370786516853896
2020-01-27,1.59,1.68,1.42,1.51,1.51,200400,-0.10385756676557867
2020-01-28,1.51,2.08,1.5,1.8,1.8,2269300,0.19205298013245042
2020-01-29,1.33,1.7,1.315,1.46,1.46,956900,-0.18888888888888888
2020-01-30,2.45,3.24,2.02,2.06,2.06,16263700,0.41095890410958913
2020-01-31,2.1,2.1,1.67,1.84,1.84,1566100,-0.10679611650485432
2020-02-03,1.8,1.9,1.74,1.86,1.86,471500,0.010869565217391353
2020-02-04,1.81,1.93,1.63,1.67,1.67,636000,-0.10215053763440873
2020-02-05,1.6,1.64,1.56,1.576,1.576,306000,-0.05628742514970053
2020-02-06,1.57,1.665,1.26,1.29,1.29,1775000,-0.18147208121827407
2020-02-07,0.95,1.06,0.88,0.917,0.917,3994300,-0.28914728682170543
2020-02-10,0.924,0.924,0.815,0.84,0.84,821500,-0.08396946564885499
2020-02-11,0.86,0.87,0.801,0.83,0.83,739700,-0.011904761904761862
2020-02-12,0.9,0.99,0.828,0.842,0.842,1372500,0.014457831325301207
2020-02-13,0.87,0.87,0.761,0.775,0.775,833500,-0.07957244655581941
2020-02-14,0.82,0.82,0.72,0.73,0.73,1498200,-0.058064516129032295
2020-02-18,0.72,0.75,0.68,0.743,0.743,847600,0.017808219178082174
2020-02-19,0.758,0.758,0.701,0.735,0.735,478900,-0.010767160161507361
2020-02-20,0.75,0.763,0.7,0.711,0.711,439400,-0.032653061224489854
2020-02-21,0.71,0.72,0.66,0.68,0.68,439500,-0.043600562587904235
2020-02-24,0.66,0.67,0.621,0.65,0.65,478200,-0.044117647058823595
2020-02-25,0.68,0.68,0.6,0.616,0.616,488600,-0.05230769230769239
2020-02-26,0.638,0.648,0.6,0.6,0.6,413800,-0.025974025974025983
2020-02-27,0.59,0.6,0.53,0.57,0.57,849800,-0.050000000000000044
2020-02-28,0.54,0.68,0.54,0.606,0.606,1061400,0.06315789473684208
2020-03-02,0.63,0.63,0.57,0.59,0.59,330000,-0.02640264026402639
2020-03-03,0.599,0.708,0.586,0.65,0.65,1265400,0.10169491525423746
2020-03-04,0.81,0.82,0.633,0.648,0.648,6573500,-0.003076923076923088
2020-03-05,0.613,0.615,0.55,0.578,0.578,1335500,-0.10802469135802484
2020-03-06,0.56,0.6,0.501,0.501,0.501,938400,-0.1332179930795847
2020-03-09,0.485,0.485,0.417,0.425,0.425,668700,-0.15169660678642716
2020-03-10,0.5,0.5,0.39,0.43,0.43,515800,0.0117647058823529
2020-03-11,0.469,0.469,0.4,0.414,0.414,363700,-0.037209302325581395
2020-03-12,0.39,0.48,0.361,0.47,0.47,5215700,0.13526570048309172
2020-03-13,0.58,0.59,0.38,0.38,0.38,3308900,-0.1914893617021276
2020-03-16,0.368,0.368,0.32,0.35,0.35,607600,-0.07894736842105265
2020-03-17,0.36,0.36,0.313,0.323,0.323,819300,-0.07714285714285707
2020-03-18,0.33,0.33,0.284,0.292,0.292,543500,-0.09597523219814252
2020-03-19,0.28,0.35,0.28,0.332,0.332,1560600,0.13698630136986312
2020-03-20,0.4,0.44,0.33,0.351,0.351,2814700,0.057228915662650426
2020-03-23,0.37,0.41,0.325,0.34,0.34,2122200,-0.031339031339031265
2020-03-24,0.35,0.35,0.31,0.324,0.324,954000,-0.04705882352941182
2020-03-25,0.33,0.36,0.324,0.325,0.325,1456900,0.0030864197530864335
2020-03-26,0.332,0.36,0.32,0.346,0.346,607800,0.06461538461538452
2020-03-27,0.352,0.64,0.325,0.427,0.427,6517300,0.2341040462427746
2020-03-30,0.431,0.5,0.383,0.449,0.449,1677600,0.051522248243559776
2020-03-31,0.426,0.44,0.36,0.401,0.401,1010500,-0.10690423162583518
2020-04-01,0.39,0.48,0.383,0.449,0.449,1047600,0.11970074812967568
2020-04-02,0.45,0.51,0.35,0.364,0.364,2429500,-0.18930957683741656
2020-04-03,0.384,0.384,0.34,0.359,0.359,621600,-0.013736263736263798
