Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,4.44,4.78,4.39,4.45,3.973554,148000,
2020-01-03,4.59,4.82,4.52,4.67,4.17,97800,0.0494383617285683
2020-01-06,4.34,4.62,4.14,4.26,4.26,244600,0.021582733812949506
2020-01-07,4.3,4.3,3.68,4.16,4.16,42300,-0.023474178403755763
2020-01-08,4.14,4.14,3.47,3.67,3.67,77300,-0.11778846153846156
2020-01-09,3.44,3.63,3.35,3.36,3.36,28800,-0.08446866485013627
2020-01-10,3.36,3.45,3.3,3.45,3.45,20100,0.026785714285714413
2020-01-13,3.28,3.52,3.14,3.14,3.14,29800,-0.08985507246376812
2020-01-14,3.14,3.31,3.14,3.28,3.28,13800,0.04458598726114649
2020-01-15,3.29,3.38,3.25,3.29,3.29,21800,0.0030487804878049918
2020-01-16,3.26,3.31,3.18,3.28,3.28,15600,-0.003039513677811634
2020-01-17,3.29,3.33,3.12,3.26,3.26,19300,-0.0060975609756097615
2020-01-21,3.2,3.21,3.01,3.06,3.06,50800,-0.06134969325153361
2020-01-22,3.19,3.29,3.13,3.29,3.29,22000,0.07516339869281041
2020-01-23,3.3,3.3,3.25,3.28,3.28,4000,-0.003039513677811634
2020-01-24,3.22,3.25,3.1,3.1,3.1,20400,-0.05487804878048774
2020-01-27,3.05,3.18,3.05,3.1,3.1,12500,0.0
2020-01-28,3.2,3.2,3.11,3.15,3.15,5400,0.016129032258064502
2020-01-29,3.12,3.12,3.06,3.1,3.1,13900,-0.015873015873015817
2020-01-30,3.09,3.1,3.08,3.1,3.1,6200,0.0
2020-01-31,3.06,3.18,3.06,3.12,3.12,10800,0.006451612903225712
2020-02-03,3.13,3.14,3.11,3.11,3.11,1500,-0.0032051282051283048
2020-02-04,3.1,3.1,2.86,3.07,3.07,38300,-0.012861736334405127
2020-02-05,2.69,3.05,2.69,3.04,3.04,35000,-0.009771986970683932
2020-02-06,2.76,3.06,2.76,3.02,3.02,51600,-0.006578947368421018
2020-02-07,3.03,3.05,3.0,3.05,3.05,3500,0.009933774834437026
2020-02-10,3.04,3.1,3.01,3.04,3.04,8900,-0.003278688524590123
2020-02-11,3.01,3.06,3.01,3.05,3.05,800,0.0032894736842103978
2020-02-12,3.06,3.06,3.0,3.0,3.0,7400,-0.016393442622950727
2020-02-13,3.03,3.06,2.99,3.04,3.04,5500,0.01333333333333342
2020-02-14,3.0,3.04,3.0,3.03,3.03,7500,-0.00328947368421062
2020-02-18,3.04,3.12,3.04,3.08,3.08,9600,0.01650165016501659
2020-02-19,3.03,3.07,3.03,3.06,3.06,4300,-0.006493506493506551
2020-02-20,3.04,3.08,3.04,3.08,3.08,1100,0.006535947712418277
2020-02-21,3.1,3.1,3.1,3.1,3.1,500,0.006493506493506551
2020-02-24,3.01,3.15,2.97,3.15,3.15,4900,0.016129032258064502
2020-02-25,3.03,3.03,2.99,2.99,2.99,13300,-0.050793650793650724
2020-02-26,3.07,3.07,2.99,3.0,3.0,1600,0.0033444816053511683
2020-02-27,3.0,3.0,2.86,2.9,2.9,23600,-0.033333333333333326
2020-02-28,3.0,3.0,2.9,2.99,2.99,7800,0.031034482758620863
2020-03-02,2.96,3.05,2.95,2.97,2.97,3600,-0.006688963210702337
2020-03-03,2.95,3.0,2.95,2.95,2.95,14200,-0.006734006734006703
2020-03-04,2.97,2.97,2.92,2.92,2.92,7900,-0.01016949152542379
2020-03-05,2.92,3.01,2.92,2.97,2.97,1200,0.017123287671233056
2020-03-06,2.95,3.0,2.91,2.91,2.91,10500,-0.02020202020202022
2020-03-09,2.79,2.96,2.79,2.85,2.85,12200,-0.020618556701030966
2020-03-10,2.89,2.93,2.77,2.83,2.83,20900,-0.007017543859649145
2020-03-11,2.86,2.86,2.68,2.68,2.68,7300,-0.053003533568904526
2020-03-12,2.5,2.57,2.4,2.55,2.55,11100,-0.04850746268656725
2020-03-13,2.46,2.57,2.28,2.3,2.3,5900,-0.0980392156862745
2020-03-16,2.25,2.25,1.95,2.01,2.01,14700,-0.12608695652173918
2020-03-17,2.56,2.56,2.05,2.11,2.11,6500,0.04975124378109452
2020-03-18,2.25,2.25,2.05,2.15,2.15,1500,0.018957345971563955
2020-03-19,2.23,2.23,2.02,2.02,2.02,1500,-0.0604651162790697
2020-03-20,2.24,2.24,1.87,1.97,1.97,5100,-0.024752475247524774
2020-03-23,2.07,2.07,1.62,1.86,1.86,10600,-0.055837563451776595
2020-03-24,2.05,2.05,1.94,2.01,2.01,3100,0.08064516129032251
2020-03-25,2.08,2.1,2.08,2.1,2.1,900,0.044776119402985204
2020-03-26,2.15,2.21,2.0,2.0,2.0,15000,-0.04761904761904767
2020-03-27,1.88,1.94,1.62,1.94,1.94,19100,-0.030000000000000027
2020-03-30,1.74,1.95,1.65,1.95,1.95,1100,0.005154639175257714
2020-03-31,1.88,1.91,1.82,1.9,1.9,2300,-0.02564102564102566
2020-04-01,1.88,1.88,1.62,1.69,1.69,14500,-0.1105263157894737
2020-04-02,1.87,1.87,1.7,1.86,1.86,5900,0.10059171597633143
2020-04-03,1.78,1.87,1.66,1.68,1.68,3400,-0.09677419354838723
