Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,9.6,9.85,9.46,9.8,9.8,242700,
2020-01-03,9.7,9.74,9.59,9.63,9.63,160600,-0.01734693877551019
2020-01-06,9.5,9.64,9.4,9.57,9.57,111100,-0.006230529595015577
2020-01-07,9.56,9.61,9.37,9.38,9.38,134300,-0.019853709508881878
2020-01-08,9.38,9.6,9.3,9.56,9.56,193600,0.019189765458422103
2020-01-09,9.57,9.67,9.48,9.53,9.53,152900,-0.003138075313807609
2020-01-10,9.5,9.63,9.45,9.62,9.62,137600,0.009443861490031402
2020-01-13,9.64,9.96,9.57,9.89,9.89,178900,0.028066528066528207
2020-01-14,9.87,10.05,9.82,9.96,9.96,269300,0.00707785642062686
2020-01-15,9.9,10.09,9.82,9.97,9.97,186100,0.0010040160642570406
2020-01-16,10.04,10.24,10.02,10.2,10.2,146900,0.02306920762286846
2020-01-17,10.24,10.31,10.16,10.3,10.3,140300,0.009803921568627638
2020-01-21,10.28,10.28,10.08,10.16,10.16,202200,-0.013592233009708798
2020-01-22,10.17,10.24,10.01,10.05,10.05,196800,-0.010826771653543288
2020-01-23,10.0,10.22,9.88,10.1,10.1,145700,0.004975124378109319
2020-01-24,10.1,10.25,10.08,10.18,10.18,173900,0.007920792079207928
2020-01-27,9.95,9.97,9.73,9.73,9.73,234700,-0.04420432220039283
2020-01-28,9.77,9.95,9.63,9.92,9.92,185100,0.019527235354573458
2020-01-29,9.92,10.05,9.82,9.84,9.84,155400,-0.008064516129032251
2020-01-30,9.7,9.83,9.59,9.77,9.77,249400,-0.0071138211382114624
2020-01-31,9.71,9.85,9.61,9.63,9.63,289200,-0.014329580348004023
2020-02-03,9.61,9.7,9.5,9.5,9.5,126600,-0.013499480789200491
2020-02-04,9.6,9.72,9.52,9.59,9.59,119700,0.0094736842105263
2020-02-05,9.68,10.04,9.65,10.01,10.01,223700,0.04379562043795615
2020-02-06,10.01,10.09,9.89,9.89,9.89,145000,-0.011988011988011915
2020-02-07,9.9,9.9,9.7,9.7,9.7,142600,-0.01921132457027308
2020-02-10,9.66,9.82,9.55,9.74,9.74,96700,0.004123711340206171
2020-02-11,9.86,10.19,9.85,9.93,9.93,223000,0.019507186858316095
2020-02-12,9.99,10.11,9.99,10.01,10.01,103200,0.00805639476334341
2020-02-13,9.9,9.97,9.51,9.54,9.54,480600,-0.04695304695304703
2020-02-14,8.95,9.17,8.59,9.09,9.09,1497000,-0.047169811320754595
2020-02-18,8.91,9.02,8.64,8.88,8.88,639300,-0.02310231023102305
2020-02-19,8.81,8.98,8.71,8.9,8.9,450200,0.0022522522522521182
2020-02-20,8.9,9.06,8.81,8.91,8.91,553700,0.0011235955056179137
2020-02-21,9.06,9.1,8.79,8.88,8.88,377000,-0.0033670033670032407
2020-02-24,8.56,8.8,8.43,8.69,8.69,338100,-0.021396396396396566
2020-02-25,8.71,8.79,8.28,8.32,8.32,461400,-0.04257767548906777
2020-02-26,8.38,8.4,8.13,8.17,8.17,493600,-0.018028846153846145
2020-02-27,8.02,8.17,7.72,7.89,7.89,671000,-0.03427172582619342
2020-02-28,7.64,7.89,7.64,7.74,7.74,393700,-0.019011406844106404
2020-03-02,7.75,7.78,7.58,7.73,7.73,305100,-0.0012919896640826156
2020-03-03,7.69,7.78,7.47,7.53,7.53,406300,-0.02587322121604141
2020-03-04,7.61,7.8,7.5,7.79,7.79,265500,0.03452855245683928
2020-03-05,7.58,7.65,7.45,7.51,7.51,292300,-0.03594351732991019
2020-03-06,7.25,7.46,7.21,7.32,7.32,457200,-0.025299600532623145
2020-03-09,6.9,7.06,6.64,6.76,6.76,658200,-0.07650273224043724
2020-03-10,6.97,7.17,6.45,6.57,6.57,432700,-0.028106508875739622
2020-03-11,6.41,6.63,6.41,6.58,6.58,585300,0.0015220700152207556
2020-03-12,6.18,6.44,5.68,5.83,5.83,544000,-0.11398176291793316
2020-03-13,6.03,6.4,5.78,6.4,6.4,303600,0.097770154373928
2020-03-16,5.67,6.0,5.59,5.6,5.6,335400,-0.1250000000000001
2020-03-17,5.74,5.74,4.91,4.93,4.93,464200,-0.11964285714285716
2020-03-18,4.76,4.94,4.31,4.67,4.67,370300,-0.05273833671399586
2020-03-19,4.51,5.61,4.51,5.39,5.39,364300,0.1541755888650964
2020-03-20,5.47,5.86,5.13,5.2,5.2,431700,-0.03525046382189234
2020-03-23,5.22,5.38,4.83,4.98,4.98,329500,-0.04230769230769227
2020-03-24,5.2,5.54,5.12,5.52,5.52,268500,0.10843373493975883
2020-03-25,5.55,5.94,5.17,5.54,5.54,453400,0.0036231884057971175
2020-03-26,5.58,5.95,5.56,5.84,5.84,300700,0.05415162454873634
2020-03-27,5.65,5.72,5.4,5.57,5.57,653800,-0.046232876712328674
2020-03-30,5.57,5.66,5.4,5.52,5.52,233500,-0.008976660682226356
2020-03-31,5.54,5.75,5.48,5.68,5.68,225700,0.02898550724637694
2020-04-01,5.6,5.84,5.45,5.49,5.49,328700,-0.03345070422535201
2020-04-02,5.42,5.93,5.42,5.7,5.7,295600,0.03825136612021862
2020-04-03,5.71,5.89,5.52,5.66,5.66,183100,-0.007017543859649145
