Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,0.82,0.83,0.79,0.8,0.8,158800,
2020-01-03,0.783,0.8,0.771,0.78,0.78,73600,-0.025000000000000022
2020-01-06,0.78,0.83,0.75,0.76,0.76,76000,-0.02564102564102566
2020-01-07,0.78,0.78,0.74,0.775,0.775,82200,0.019736842105263275
2020-01-08,0.76,0.775,0.741,0.77,0.77,39200,-0.006451612903225823
2020-01-09,0.77,0.77,0.742,0.751,0.751,48200,-0.02467532467532474
2020-01-10,0.75,1.2,0.75,1.07,1.07,3063300,0.42476697736351543
2020-01-13,0.98,1.054,0.88,1.01,1.01,1124300,-0.05607476635514019
2020-01-14,0.98,1.01,0.88,0.931,0.931,439700,-0.07821782178217818
2020-01-15,0.92,0.96,0.82,0.888,0.888,508600,-0.04618689581095603
2020-01-16,1.34,1.38,0.9,0.95,0.95,8790600,0.06981981981981966
2020-01-17,0.94,0.95,0.86,0.88,0.88,1755000,-0.0736842105263158
2020-01-21,0.88,0.946,0.82,0.865,0.865,2031000,-0.017045454545454586
2020-01-22,0.899,0.94,0.812,0.896,0.896,1666900,0.03583815028901727
2020-01-23,0.868,0.93,0.85,0.86,0.86,1396500,-0.04017857142857151
2020-01-24,0.863,1.06,0.77,0.889,0.889,5532300,0.033720930232558066
2020-01-27,1.1,1.29,1.02,1.11,1.11,9133100,0.2485939257592802
2020-01-28,1.08,1.15,0.95,0.96,0.96,3069100,-0.1351351351351352
2020-01-29,0.96,0.96,0.85,0.926,0.926,2098900,-0.03541666666666654
2020-01-30,0.99,1.09,0.92,0.951,0.951,3824600,0.02699784017278617
2020-01-31,0.981,1.03,0.9,0.981,0.981,1736900,0.03154574132492116
2020-02-03,1.11,1.48,1.06,1.44,1.44,10154000,0.4678899082568808
2020-02-04,1.24,1.26,1.08,1.15,1.15,3132100,-0.20138888888888895
2020-02-05,1.08,1.135,1.05,1.07,1.07,1291500,-0.06956521739130417
2020-02-06,1.0,1.07,0.921,0.939,0.939,2382500,-0.12242990654205621
2020-02-07,0.922,1.09,0.9,1.03,1.03,2050800,0.0969116080937169
2020-02-10,1.0,1.1,1.0,1.025,1.025,797100,-0.004854368932038944
2020-02-11,0.97,1.03,0.922,0.958,0.958,983400,-0.06536585365853653
2020-02-12,0.96,0.97,0.862,0.913,0.913,1248500,-0.04697286012526092
2020-02-13,0.94,0.95,0.89,0.897,0.897,763900,-0.017524644030668113
2020-02-14,0.9,0.91,0.85,0.875,0.875,1078500,-0.024526198439241975
2020-02-18,0.895,0.9,0.858,0.882,0.882,533800,0.008000000000000007
2020-02-19,0.871,0.92,0.87,0.89,0.89,623900,0.009070294784580435
2020-02-20,0.92,0.92,0.813,0.86,0.86,1290100,-0.03370786516853941
2020-02-21,0.884,0.989,0.87,0.938,0.938,1556300,0.09069767441860455
2020-02-24,0.98,1.03,0.9,0.938,0.938,1931500,0.0
2020-02-25,0.94,0.94,0.85,0.899,0.899,762700,-0.041577825159914594
2020-02-26,0.88,0.94,0.83,0.9,0.9,1285900,0.0011123470522802492
2020-02-27,0.924,1.08,0.87,1.02,1.02,5388200,0.1333333333333333
2020-02-28,1.2,1.24,0.95,1.06,1.06,4422400,0.03921568627450989
2020-03-02,1.06,1.06,0.952,0.974,0.974,1443200,-0.0811320754716982
2020-03-03,0.901,1.04,0.901,1.02,1.02,1333600,0.04722792607802884
2020-03-04,0.99,1.02,0.88,0.907,0.907,2227900,-0.11078431372549014
2020-03-05,0.89,0.94,0.84,0.85,0.85,1440900,-0.0628445424476296
2020-03-06,0.9,1.03,0.845,0.873,0.873,5843100,0.027058823529411802
2020-03-09,1.07,1.08,0.89,1.03,1.03,5645100,0.1798396334478809
2020-03-10,1.0,1.0,0.86,0.877,0.877,1861800,-0.14854368932038842
2020-03-11,0.85,0.85,0.76,0.78,0.78,2263300,-0.11060433295324967
2020-03-12,0.73,0.76,0.65,0.666,0.666,1171600,-0.1461538461538462
2020-03-13,0.86,0.86,0.552,0.591,0.591,1267800,-0.11261261261261268
2020-03-16,0.62,0.63,0.5,0.523,0.523,694400,-0.11505922165820637
2020-03-17,0.53,0.59,0.51,0.58,0.58,675200,0.10898661567877621
2020-03-18,0.552,0.58,0.525,0.56,0.56,476300,-0.0344827586206895
2020-03-19,0.545,0.64,0.535,0.601,0.601,626900,0.07321428571428568
2020-03-20,0.639,0.639,0.564,0.58,0.58,362600,-0.034941763727121544
2020-03-23,0.58,0.619,0.53,0.615,0.615,1142700,0.06034482758620685
2020-03-24,0.62,0.658,0.584,0.615,0.615,610500,0.0
2020-03-25,0.61,0.64,0.591,0.596,0.596,377000,-0.03089430894308942
2020-03-26,0.59,0.62,0.58,0.604,0.604,220300,0.01342281879194629
2020-03-27,0.6,0.64,0.572,0.64,0.64,291800,0.0596026490066226
2020-03-30,0.65,0.659,0.601,0.63,0.63,341800,-0.015625
2020-03-31,0.629,0.84,0.531,0.56,0.56,4729400,-0.11111111111111105
2020-04-01,0.531,0.541,0.431,0.459,0.459,3699500,-0.18035714285714288
2020-04-02,0.446,0.45,0.35,0.403,0.403,1129400,-0.12200435729847492
2020-04-03,0.37,0.405,0.37,0.384,0.384,475700,-0.04714640198511166
