Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,1.45,1.8,1.44,1.72,1.72,77300,
2020-01-03,1.72,1.72,1.49,1.52,1.52,81000,-0.11627906976744184
2020-01-06,1.5,1.55,1.49,1.51,1.51,28900,-0.006578947368421018
2020-01-07,1.58,1.58,1.43,1.52,1.52,10300,0.0066225165562914245
2020-01-08,1.58,1.58,1.5,1.5,1.5,5400,-0.013157894736842146
2020-01-09,1.51,1.54,1.44,1.5,1.5,12000,0.0
2020-01-10,1.46,1.53,1.45,1.49,1.49,11700,-0.00666666666666671
2020-01-13,1.47,1.49,1.42,1.49,1.49,16100,0.0
2020-01-14,1.65,1.65,1.41,1.57,1.57,60800,0.05369127516778538
2020-01-15,1.5,1.64,1.48,1.6,1.6,14300,0.019108280254777066
2020-01-16,1.64,1.64,1.52,1.61,1.61,31700,0.006250000000000089
2020-01-17,1.65,1.65,1.54,1.55,1.55,12100,-0.037267080745341685
2020-01-21,1.57,1.58,1.55,1.57,1.57,2000,0.012903225806451646
2020-01-22,1.56,1.56,1.55,1.55,1.55,800,-0.01273885350318471
2020-01-23,1.53,1.76,1.52,1.75,1.75,9400,0.12903225806451601
2020-01-24,1.71,1.74,1.49,1.61,1.61,22400,-0.07999999999999996
2020-01-27,1.55,1.55,1.51,1.51,1.51,2800,-0.06211180124223603
2020-01-28,1.42,1.42,1.42,1.42,1.42,800,-0.0596026490066226
2020-01-29,1.44,1.44,1.41,1.41,1.41,10800,-0.007042253521126751
2020-01-30,1.42,1.58,1.42,1.45,1.45,5000,0.028368794326241176
2020-01-31,1.45,1.47,1.42,1.42,1.42,3200,-0.020689655172413834
2020-02-03,1.43,1.43,1.26,1.29,1.29,17500,-0.09154929577464777
2020-02-04,1.23,1.24,1.23,1.24,1.24,7400,-0.03875968992248069
2020-02-05,1.17,1.25,1.17,1.24,1.24,2400,0.0
2020-02-06,1.24,1.24,1.17,1.23,1.23,1200,-0.008064516129032251
2020-02-07,1.18,1.18,1.13,1.13,1.13,2700,-0.08130081300813019
2020-02-10,1.2,1.23,1.2,1.23,1.23,1200,0.08849557522123908
2020-02-11,1.25,1.25,1.22,1.22,1.22,5300,-0.008130081300813052
2020-02-12,1.25,1.46,1.23,1.39,1.39,10900,0.139344262295082
2020-02-13,1.46,1.6,1.35,1.56,1.56,9100,0.12230215827338142
2020-02-14,1.54,1.64,1.12,1.45,1.45,14600,-0.0705128205128206
2020-02-18,1.54,1.55,1.4,1.5,1.5,5000,0.034482758620689724
2020-02-19,1.55,1.55,1.51,1.55,1.55,13300,0.03333333333333344
2020-02-20,1.31,1.55,1.12,1.54,1.54,18600,-0.006451612903225823
2020-02-21,1.6,1.64,1.53,1.53,1.53,4700,-0.006493506493506551
2020-02-24,1.51,1.54,1.5,1.5,1.5,6900,-0.019607843137254943
2020-02-25,1.52,1.56,1.5,1.5,1.5,3000,0.0
2020-02-26,1.63,1.64,1.5,1.5,1.5,6300,0.0
2020-02-27,1.5,1.51,1.45,1.51,1.51,1300,0.006666666666666599
2020-02-28,1.51,1.51,1.5,1.5,1.5,500,-0.0066225165562914245
2020-03-02,1.51,1.54,1.51,1.54,1.54,2000,0.026666666666666616
2020-03-03,1.53,1.54,1.51,1.51,1.51,2700,-0.019480519480519543
2020-03-04,1.54,1.55,1.53,1.55,1.55,6600,0.026490066225165476
2020-03-05,1.54,1.59,1.48,1.51,1.51,8900,-0.02580645161290329
2020-03-06,1.5,1.51,1.48,1.48,1.48,3200,-0.019867549668874163
2020-03-09,1.5,1.5,1.5,1.5,1.5,400,0.013513513513513598
2020-03-10,1.5,1.5,1.31,1.48,1.48,23300,-0.013333333333333308
2020-03-11,1.34,1.59,1.3,1.59,1.59,4300,0.07432432432432434
2020-03-12,1.65,1.65,1.23,1.5,1.5,5800,-0.05660377358490576
2020-03-13,1.63,1.63,1.27,1.5,1.5,7700,0.0
2020-03-16,1.13,1.43,1.13,1.36,1.36,1500,-0.09333333333333327
2020-03-17,1.4,1.59,1.29,1.45,1.45,7000,0.06617647058823528
2020-03-18,1.62,1.62,1.39,1.4,1.4,4800,-0.034482758620689724
2020-03-19,1.5,1.51,1.4,1.42,1.42,5500,0.014285714285714235
2020-03-20,1.4,1.4,1.4,1.4,1.4,500,-0.014084507042253502
2020-03-23,1.6,1.6,1.16,1.33,1.33,5500,-0.04999999999999993
2020-03-24,1.46,1.46,1.4,1.41,1.41,13500,0.0601503759398494
2020-03-25,1.62,1.64,1.5,1.63,1.63,7900,0.15602836879432624
2020-03-26,1.64,1.67,1.42,1.51,1.51,18000,-0.0736196319018404
2020-03-27,1.45,1.51,1.4,1.4,1.4,6000,-0.07284768211920534
2020-03-30,1.52,1.7,1.35,1.6,1.6,12300,0.14285714285714302
2020-03-31,1.36,1.63,1.36,1.63,1.63,10100,0.018749999999999822
2020-04-01,1.7,1.77,1.39,1.51,1.51,7400,-0.0736196319018404
2020-04-02,1.48,1.7,1.45,1.48,1.48,6900,-0.019867549668874163
2020-04-03,1.44,1.5,1.43,1.5,1.5,4000,0.013513513513513598
