Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,1.42,1.43,1.38,1.415,1.415,53300,
2020-01-03,1.37,1.46,1.37,1.41,1.41,19700,-0.0035335689045937757
2020-01-06,1.42,1.42,1.38,1.419,1.419,38800,0.006382978723404431
2020-01-07,1.39,1.5,1.28,1.36,1.36,88100,-0.041578576462297345
2020-01-08,1.39,1.39,1.32,1.36,1.36,37600,0.0
2020-01-09,1.35,1.4,1.28,1.358,1.358,34300,-0.0014705882352941124
2020-01-10,1.34,1.45,1.34,1.39,1.39,21000,0.02356406480117812
2020-01-13,1.45,1.45,1.25,1.28,1.28,180900,-0.07913669064748197
2020-01-14,1.3,1.329,1.24,1.26,1.26,60900,-0.015625
2020-01-15,1.256,1.3,1.256,1.3,1.3,17200,0.031746031746031855
2020-01-16,1.32,1.32,1.287,1.3,1.3,14900,0.0
2020-01-17,1.28,1.31,1.26,1.28,1.28,10100,-0.015384615384615441
2020-01-21,1.3,1.39,1.282,1.39,1.39,76700,0.0859375
2020-01-22,1.41,1.56,1.41,1.45,1.45,154500,0.043165467625899234
2020-01-23,1.47,1.47,1.38,1.407,1.407,19000,-0.029655172413793007
2020-01-24,1.4,1.425,1.347,1.369,1.369,26500,-0.027007818052594224
2020-01-27,1.35,1.4,1.3,1.34,1.34,29300,-0.02118334550766976
2020-01-28,1.365,1.456,1.326,1.35,1.35,48500,0.00746268656716409
2020-01-29,1.359,1.39,1.34,1.362,1.362,14900,0.008888888888888946
2020-01-30,1.354,1.37,1.33,1.36,1.36,27300,-0.001468428781204123
2020-01-31,1.37,1.37,1.33,1.34,1.34,55500,-0.014705882352941235
2020-02-03,1.37,1.37,1.3,1.34,1.34,68200,0.0
2020-02-04,1.36,1.387,1.318,1.35,1.35,13100,0.00746268656716409
2020-02-05,1.33,1.346,1.28,1.28,1.28,30000,-0.05185185185185193
2020-02-06,1.29,1.29,1.18,1.26,1.26,68200,-0.015625
2020-02-07,1.26,1.27,1.16,1.189,1.189,59100,-0.05634920634920626
2020-02-10,1.17,1.21,1.17,1.196,1.196,14900,0.005887300252312766
2020-02-11,1.18,1.196,1.16,1.19,1.19,27700,-0.0050167224080267525
2020-02-12,1.2,1.21,1.17,1.19,1.19,29000,0.0
2020-02-13,1.183,1.19,1.17,1.18,1.18,25000,-0.008403361344537785
2020-02-14,1.175,1.25,1.175,1.2,1.2,25400,0.016949152542372836
2020-02-18,1.19,1.3,1.19,1.27,1.27,70000,0.05833333333333335
2020-02-19,1.27,1.29,1.26,1.278,1.278,10700,0.006299212598425141
2020-02-20,1.27,1.376,1.27,1.285,1.285,42800,0.005477308294209671
2020-02-21,1.33,1.336,1.2,1.21,1.21,75700,-0.05836575875486383
2020-02-24,1.22,1.23,1.18,1.22,1.22,28400,0.008264462809917328
2020-02-25,1.18,1.38,1.18,1.22,1.22,57200,0.0
2020-02-26,1.21,1.22,1.13,1.15,1.15,50000,-0.05737704918032793
2020-02-27,1.15,1.17,1.1,1.12,1.12,59900,-0.02608695652173898
2020-02-28,1.17,1.18,1.1,1.18,1.18,76100,0.05357142857142838
2020-03-02,1.2,1.22,1.11,1.151,1.151,66300,-0.024576271186440568
2020-03-03,1.13,1.18,1.113,1.116,1.116,27200,-0.03040834057341435
2020-03-04,1.15,1.15,1.111,1.144,1.144,8200,0.02508960573476693
2020-03-05,1.14,1.147,1.1,1.11,1.11,41200,-0.029720279720279574
2020-03-06,1.11,1.129,1.11,1.11,1.11,42300,0.0
2020-03-09,1.14,1.14,1.03,1.039,1.039,105000,-0.06396396396396409
2020-03-10,1.05,1.1,1.04,1.04,1.04,46800,0.0009624639076035724
2020-03-11,1.03,1.1,1.03,1.04,1.04,83700,0.0
2020-03-12,1.01,1.01,0.25,0.66,0.66,311000,-0.3653846153846154
2020-03-13,0.75,0.75,0.62,0.629,0.629,129600,-0.046969696969696995
2020-03-16,0.629,0.629,0.45,0.45,0.45,146200,-0.28457869634340216
2020-03-17,0.57,0.6,0.47,0.5,0.5,243000,0.11111111111111116
2020-03-18,0.492,0.6,0.451,0.5,0.5,63600,0.0
2020-03-19,0.549,0.549,0.45,0.5,0.5,65400,0.0
2020-03-20,0.52,0.598,0.465,0.499,0.499,140500,-0.0020000000000000018
2020-03-23,0.524,0.535,0.45,0.465,0.465,54300,-0.06813627254509014
2020-03-24,0.54,0.54,0.47,0.49,0.49,125400,0.053763440860215006
2020-03-25,0.52,0.58,0.5,0.539,0.539,456200,0.10000000000000009
2020-03-26,0.575,0.68,0.55,0.569,0.569,367600,0.055658627087198376
2020-03-27,0.59,0.64,0.567,0.567,0.567,179500,-0.0035149384885764245
2020-03-30,0.64,0.64,0.55,0.56,0.56,153900,-0.012345679012345512
2020-03-31,0.56,0.6,0.532,0.572,0.572,94500,0.021428571428571352
2020-04-01,0.58,0.598,0.55,0.564,0.564,43100,-0.013986013986013957
2020-04-02,0.564,0.61,0.54,0.545,0.545,76900,-0.0336879432624112
2020-04-03,0.535,0.59,0.52,0.57,0.57,28200,0.04587155963302725
