Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,0.93,0.93,0.91,0.93,0.93,392400,
2020-01-03,0.93,0.93,0.91,0.91,0.91,509900,-0.021505376344086002
2020-01-06,0.91,0.93,0.89,0.9,0.9,813700,-0.01098901098901095
2020-01-07,0.91,0.92,0.89,0.89,0.89,286900,-0.011111111111111072
2020-01-08,0.89,0.91,0.87,0.91,0.91,781900,0.022471910112359605
2020-01-09,0.9,0.91,0.89,0.9,0.9,383500,-0.01098901098901095
2020-01-10,0.91,0.92,0.88,0.9,0.9,416800,0.0
2020-01-13,0.9,0.92,0.89,0.9,0.9,392500,0.0
2020-01-14,0.9,0.91,0.89,0.89,0.89,321200,-0.011111111111111072
2020-01-15,0.89,0.9,0.88,0.88,0.88,448300,-0.011235955056179803
2020-01-16,0.9,0.91,0.88,0.89,0.89,362500,0.011363636363636465
2020-01-17,0.9,0.9,0.87,0.87,0.87,636900,-0.022471910112359605
2020-01-21,0.87,0.88,0.85,0.85,0.85,1011900,-0.02298850574712641
2020-01-22,0.86,0.88,0.84,0.84,0.84,571100,-0.0117647058823529
2020-01-23,0.85,0.85,0.83,0.83,0.83,585800,-0.011904761904761862
2020-01-24,0.84,0.85,0.83,0.83,0.83,381000,0.0
2020-01-27,0.84,0.85,0.82,0.82,0.82,803600,-0.012048192771084376
2020-01-28,0.82,0.83,0.77,0.78,0.78,1104000,-0.04878048780487798
2020-01-29,0.78,0.81,0.75,0.8,0.8,1293200,0.025641025641025772
2020-01-30,0.8,0.84,0.76,0.81,0.81,1131000,0.012499999999999956
2020-01-31,0.82,0.85,0.79,0.83,0.83,1437100,0.024691358024691246
2020-02-03,0.85,0.92,0.84,0.89,0.89,2080400,0.07228915662650603
2020-02-04,0.9,0.91,0.83,0.87,0.87,1185000,-0.022471910112359605
2020-02-05,0.88,0.89,0.85,0.86,0.86,674100,-0.011494252873563204
2020-02-06,0.85,0.87,0.84,0.85,0.85,439400,-0.011627906976744207
2020-02-07,0.86,0.88,0.85,0.87,0.87,572000,0.0235294117647058
2020-02-10,0.87,0.91,0.85,0.85,0.85,1849500,-0.02298850574712641
2020-02-11,0.85,0.89,0.85,0.87,0.87,611500,0.0235294117647058
2020-02-12,0.9,0.93,0.89,0.92,0.92,1643100,0.05747126436781613
2020-02-13,0.93,0.94,0.91,0.94,0.94,1249400,0.021739130434782483
2020-02-14,0.94,0.94,0.88,0.89,0.89,1025900,-0.05319148936170204
2020-02-18,0.91,0.91,0.87,0.87,0.87,942000,-0.022471910112359605
2020-02-19,0.88,0.89,0.85,0.87,0.87,1641000,0.0
2020-02-20,0.85,0.9,0.85,0.87,0.87,1157900,0.0
2020-02-21,0.87,0.89,0.83,0.84,0.84,1128000,-0.034482758620689724
2020-02-24,0.82,0.83,0.76,0.78,0.78,2092200,-0.0714285714285714
2020-02-25,0.79,0.82,0.7,0.73,0.73,1506600,-0.06410256410256421
2020-02-26,0.73,0.75,0.72,0.72,0.72,938400,-0.013698630136986356
2020-02-27,0.71,0.72,0.66,0.68,0.68,2151600,-0.05555555555555547
2020-02-28,0.66,0.66,0.58,0.6,0.6,2977600,-0.11764705882352955
2020-03-02,0.63,0.65,0.59,0.62,0.62,1827100,0.03333333333333344
2020-03-03,0.62,0.73,0.61,0.64,0.64,6587100,0.032258064516129004
2020-03-04,0.7,0.73,0.65,0.72,0.72,3705000,0.125
2020-03-05,0.71,0.71,0.62,0.67,0.67,2017400,-0.06944444444444431
2020-03-06,0.61,0.65,0.6,0.6,0.6,1933700,-0.10447761194029859
2020-03-09,0.58,0.58,0.51,0.54,0.54,2102100,-0.09999999999999987
2020-03-10,0.55,0.58,0.51,0.58,0.58,2181200,0.07407407407407396
2020-03-11,0.55,0.57,0.51,0.51,0.51,1112600,-0.1206896551724137
2020-03-12,0.5,0.51,0.35,0.38,0.38,2569900,-0.2549019607843137
2020-03-13,0.43,0.52,0.41,0.52,0.52,2056500,0.368421052631579
2020-03-16,0.42,0.49,0.35,0.46,0.46,2131300,-0.11538461538461542
2020-03-17,0.46,0.6,0.45,0.6,0.6,1418500,0.3043478260869563
2020-03-18,0.49,0.56,0.48,0.48,0.48,1243400,-0.19999999999999996
2020-03-19,0.47,0.58,0.4,0.57,0.57,2015400,0.1875
2020-03-20,0.57,0.58,0.54,0.57,0.57,1727200,0.0
2020-03-23,0.55,0.56,0.48,0.49,0.49,1164200,-0.14035087719298245
2020-03-24,0.56,0.58,0.52,0.57,0.57,1139700,0.16326530612244894
2020-03-25,0.55,0.59,0.52,0.58,0.58,1375200,0.01754385964912286
2020-03-26,0.59,0.6,0.54,0.57,0.57,1036000,-0.017241379310344862
2020-03-27,0.55,0.55,0.5,0.51,0.51,1200100,-0.10526315789473673
2020-03-30,0.51,0.54,0.5,0.53,0.53,1100300,0.03921568627450989
2020-03-31,0.51,0.57,0.51,0.56,0.56,1296900,0.05660377358490565
2020-04-01,0.55,0.6,0.51,0.57,0.57,1094600,0.01785714285714257
2020-04-02,0.57,0.61,0.52,0.56,0.56,1043500,-0.01754385964912264
2020-04-03,0.56,0.57,0.52,0.55,0.55,710400,-0.017857142857142905
