Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,4.0,4.0,3.793,3.824,3.824,19700,
2020-01-03,3.769,3.79,3.65,3.72,3.72,14200,-0.027196652719665204
2020-01-06,3.65,3.91,3.65,3.9,3.9,15800,0.048387096774193505
2020-01-07,3.94,3.946,3.86,3.94,3.94,20900,0.01025641025641022
2020-01-08,3.89,3.989,3.89,3.93,3.93,10000,-0.0025380710659898
2020-01-09,3.91,4.004,3.91,4.0,4.0,11500,0.01781170483460559
2020-01-10,4.0,4.135,3.92,4.04,4.04,18400,0.010000000000000009
2020-01-13,4.1,4.1,4.02,4.02,4.02,5600,-0.004950495049505066
2020-01-14,4.026,4.08,3.95,4.02,4.02,10700,0.0
2020-01-15,4.06,4.22,4.02,4.18,4.18,6100,0.03980099502487566
2020-01-16,4.23,4.28,4.13,4.23,4.23,11800,0.011961722488038395
2020-01-17,4.274,4.274,4.24,4.25,4.25,2900,0.004728132387706863
2020-01-21,4.27,4.4,4.26,4.39,4.39,11900,0.03294117647058825
2020-01-22,4.39,4.41,4.36,4.37,4.37,4600,-0.004555808656036331
2020-01-23,4.35,4.4,4.35,4.36,4.36,5500,-0.0022883295194507935
2020-01-24,4.3,4.38,3.91,4.2,4.2,30500,-0.03669724770642202
2020-01-27,4.15,4.25,4.15,4.2,4.2,12400,0.0
2020-01-28,4.24,4.24,4.02,4.18,4.18,2300,-0.004761904761904856
2020-01-29,4.15,4.155,4.02,4.029,4.029,5600,-0.03612440191387556
2020-01-30,4.01,4.08,4.01,4.08,4.08,1500,0.012658227848101333
2020-01-31,4.046,4.06,4.03,4.051,4.051,2600,-0.007107843137254877
2020-02-03,4.06,4.1,4.025,4.06,4.06,7900,0.0022216736608242638
2020-02-04,4.076,4.15,4.071,4.131,4.131,3600,0.017487684729064146
2020-02-05,4.12,4.17,4.12,4.144,4.144,4400,0.0031469377874606685
2020-02-06,4.1,4.1,4.028,4.028,4.028,1400,-0.027992277992278103
2020-02-07,4.02,4.1,4.01,4.06,4.06,7700,0.00794438927507457
2020-02-10,4.118,4.118,3.95,4.09,4.09,5100,0.007389162561576512
2020-02-11,3.91,3.98,3.858,3.98,3.98,6400,-0.02689486552567233
2020-02-12,3.93,4.0,3.842,3.844,3.844,14400,-0.0341708542713568
2020-02-13,3.84,3.84,3.6,3.67,3.67,14600,-0.04526534859521325
2020-02-14,3.634,3.67,3.57,3.67,3.67,12400,0.0
2020-02-18,3.7,3.88,3.68,3.88,3.88,9200,0.05722070844686655
2020-02-19,3.723,3.896,3.723,3.82,3.82,7200,-0.015463917525773252
2020-02-20,3.82,3.83,3.694,3.694,3.694,9100,-0.03298429319371721
2020-02-21,3.65,3.7,3.5,3.65,3.65,32100,-0.011911207363291876
2020-02-24,3.51,3.53,3.48,3.51,3.51,5400,-0.03835616438356171
2020-02-25,3.602,3.602,3.3,3.32,3.32,7600,-0.054131054131054124
2020-02-26,3.278,3.37,3.278,3.29,3.29,9500,-0.009036144578313143
2020-02-27,3.084,3.144,3.065,3.14,3.14,14000,-0.045592705167173175
2020-02-28,3.05,3.05,3.0,3.045,3.045,15500,-0.030254777070063743
2020-03-02,3.0,3.04,2.97,2.97,2.97,8300,-0.02463054187192104
2020-03-03,3.04,3.05,3.0,3.0,3.0,18500,0.010101010101009944
2020-03-04,3.05,3.58,3.05,3.23,3.23,9600,0.07666666666666666
2020-03-05,3.09,3.15,3.09,3.15,3.15,3600,-0.024767801857585203
2020-03-06,3.118,3.118,3.0,3.0,3.0,3000,-0.04761904761904756
2020-03-09,2.82,2.9,2.8,2.86,2.86,23900,-0.046666666666666745
2020-03-10,3.03,3.15,3.03,3.15,3.15,25000,0.10139860139860146
2020-03-11,2.96,3.125,2.8,2.95,2.95,11900,-0.06349206349206338
2020-03-12,2.75,2.75,2.465,2.54,2.54,5800,-0.13898305084745766
2020-03-13,2.561,2.639,2.561,2.61,2.61,2300,0.027559055118110187
2020-03-16,2.59,2.6,2.55,2.55,2.55,5300,-0.02298850574712641
2020-03-17,2.56,2.573,2.32,2.32,2.32,10400,-0.09019607843137256
2020-03-18,2.39,2.39,1.443,1.66,1.66,22700,-0.2844827586206896
2020-03-19,1.58,1.66,1.58,1.64,1.64,20300,-0.012048192771084376
2020-03-20,1.6,1.77,1.6,1.75,1.75,6900,0.06707317073170738
2020-03-23,1.72,1.849,1.72,1.8,1.8,9800,0.028571428571428692
2020-03-24,1.75,2.2,1.75,2.093,2.093,9800,0.1627777777777777
2020-03-25,2.15,2.26,2.1,2.18,2.18,17500,0.0415671285236503
2020-03-26,2.1,2.21,2.1,2.21,2.21,6200,0.013761467889908063
2020-03-27,2.27,2.389,2.27,2.389,2.389,5100,0.0809954751131221
2020-03-30,2.32,2.395,2.27,2.29,2.29,4400,-0.04143993302637072
2020-03-31,2.351,2.374,2.25,2.34,2.34,1800,0.02183406113537112
2020-04-01,2.18,2.23,2.18,2.23,2.23,1100,-0.04700854700854695
2020-04-02,2.23,2.34,2.23,2.3,2.3,2800,0.03139013452914785
2020-04-03,2.26,2.33,2.18,2.33,2.33,4000,0.013043478260869712
