Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,0.59,0.59,0.56,0.57,0.57,321800,
2020-01-03,0.57,0.59,0.57,0.57,0.57,231800,0.0
2020-01-06,0.56,0.59,0.56,0.58,0.58,368400,0.01754385964912286
2020-01-07,0.6,0.6,0.56,0.58,0.58,184200,0.0
2020-01-08,0.58,0.58,0.56,0.56,0.56,374600,-0.0344827586206895
2020-01-09,0.56,0.57,0.55,0.55,0.55,330200,-0.017857142857142905
2020-01-10,0.57,0.57,0.56,0.57,0.57,71900,0.036363636363636154
2020-01-13,0.58,0.58,0.55,0.56,0.56,205200,-0.01754385964912264
2020-01-14,0.55,0.57,0.54,0.56,0.56,379600,0.0
2020-01-15,0.56,0.57,0.56,0.57,0.57,119900,0.01785714285714257
2020-01-16,0.57,0.57,0.55,0.56,0.56,289900,-0.01754385964912264
2020-01-17,0.55,0.57,0.55,0.57,0.57,173600,0.01785714285714257
2020-01-21,0.56,0.57,0.54,0.55,0.55,579200,-0.0350877192982455
2020-01-22,0.55,0.56,0.54,0.55,0.55,162000,0.0
2020-01-23,0.54,0.56,0.54,0.55,0.55,183200,0.0
2020-01-24,0.55,0.56,0.54,0.56,0.56,228500,0.0181818181818183
2020-01-27,0.54,0.55,0.5,0.51,0.51,1015300,-0.0892857142857143
2020-01-28,0.51,0.52,0.48,0.49,0.49,634700,-0.03921568627450989
2020-01-29,0.49,0.5,0.46,0.48,0.48,706400,-0.020408163265306145
2020-01-30,0.47,0.49,0.46,0.48,0.48,502700,0.0
2020-01-31,0.48,0.51,0.47,0.49,0.49,1367600,0.02083333333333326
2020-02-03,0.52,0.56,0.52,0.54,0.54,606500,0.10204081632653073
2020-02-04,0.54,0.58,0.54,0.58,0.58,675400,0.07407407407407396
2020-02-05,0.59,0.59,0.54,0.55,0.55,722400,-0.051724137931034364
2020-02-06,0.58,0.58,0.53,0.54,0.54,170300,-0.018181818181818188
2020-02-07,0.53,0.58,0.52,0.53,0.53,349000,-0.01851851851851849
2020-02-10,0.53,0.58,0.52,0.52,0.52,597000,-0.018867924528301883
2020-02-11,0.55,0.56,0.53,0.54,0.54,339500,0.03846153846153855
2020-02-12,0.55,0.58,0.54,0.54,0.54,714800,0.0
2020-02-13,0.54,0.57,0.53,0.54,0.54,158800,0.0
2020-02-14,0.54,0.55,0.53,0.54,0.54,264700,0.0
2020-02-18,0.54,0.55,0.51,0.51,0.51,362800,-0.05555555555555558
2020-02-19,0.51,0.53,0.51,0.52,0.52,213500,0.019607843137254832
2020-02-20,0.52,0.53,0.52,0.52,0.52,60300,0.0
2020-02-21,0.5,0.53,0.5,0.51,0.51,190300,-0.019230769230769273
2020-02-24,0.5,0.5,0.48,0.49,0.49,309700,-0.03921568627450989
2020-02-25,0.48,0.5,0.47,0.47,0.47,588300,-0.04081632653061229
2020-02-26,0.5,0.5,0.47,0.47,0.47,306600,0.0
2020-02-27,0.45,0.47,0.41,0.45,0.45,967700,-0.04255319148936165
2020-02-28,0.45,0.45,0.42,0.44,0.44,841200,-0.022222222222222254
2020-03-02,0.45,0.48,0.44,0.46,0.46,254200,0.045454545454545414
2020-03-03,0.47,0.54,0.46,0.51,0.51,801300,0.10869565217391308
2020-03-04,0.51,0.53,0.51,0.53,0.53,323700,0.03921568627450989
2020-03-05,0.52,0.53,0.5,0.52,0.52,190600,-0.018867924528301883
2020-03-06,0.51,0.53,0.48,0.5,0.5,205000,-0.03846153846153855
2020-03-09,0.47,0.47,0.4,0.44,0.44,502100,-0.12
2020-03-10,0.48,0.48,0.4,0.45,0.45,551900,0.022727272727272707
2020-03-11,0.46,0.46,0.4,0.4,0.4,387800,-0.11111111111111105
2020-03-12,0.39,0.4,0.35,0.37,0.37,809100,-0.07500000000000007
2020-03-13,0.38,0.41,0.34,0.39,0.39,477100,0.05405405405405417
2020-03-16,0.33,0.37,0.3,0.33,0.33,761300,-0.15384615384615385
2020-03-17,0.32,0.36,0.32,0.34,0.34,507000,0.030303030303030276
2020-03-18,0.32,0.33,0.29,0.3,0.3,640200,-0.11764705882352955
2020-03-19,0.3,0.35,0.28,0.33,0.33,455700,0.10000000000000009
2020-03-20,0.33,0.34,0.28,0.29,0.29,646100,-0.12121212121212133
2020-03-23,0.3,0.31,0.27,0.29,0.29,688700,0.0
2020-03-24,0.3,0.34,0.3,0.32,0.32,677200,0.10344827586206917
2020-03-25,0.34,0.35,0.31,0.34,0.34,483900,0.0625
2020-03-26,0.33,0.36,0.33,0.35,0.35,424300,0.02941176470588225
2020-03-27,0.32,0.35,0.32,0.35,0.35,329700,0.0
2020-03-30,0.35,0.38,0.34,0.37,0.37,475700,0.05714285714285716
2020-03-31,0.39,0.4,0.37,0.39,0.39,385000,0.05405405405405417
2020-04-01,0.39,0.39,0.37,0.38,0.38,446200,-0.02564102564102566
2020-04-02,0.37,0.42,0.36,0.37,0.37,386100,-0.02631578947368418
2020-04-03,0.38,0.39,0.37,0.38,0.38,251800,0.027027027027026973
