Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,2.33,2.54,2.29,2.34,2.34,249000,
2020-01-03,2.31,2.44,2.25,2.27,2.27,120900,-0.029914529914529808
2020-01-06,2.3,2.34,2.2,2.22,2.22,182100,-0.022026431718061623
2020-01-07,2.2,2.24,1.81,1.84,1.84,321100,-0.1711711711711712
2020-01-08,1.9,1.91,1.58,1.59,1.59,434900,-0.13586956521739135
2020-01-09,1.5,1.89,1.4,1.51,1.51,1499900,-0.05031446540880502
2020-01-10,1.02,1.18,1.0,1.12,1.12,6229000,-0.2582781456953642
2020-01-13,1.15,1.15,0.99,1.02,1.02,1482300,-0.0892857142857143
2020-01-14,1.1,1.1,0.99,1.05,1.05,1924000,0.02941176470588247
2020-01-15,1.1,1.14,1.06,1.09,1.09,1982500,0.03809523809523818
2020-01-16,1.19,1.19,1.08,1.11,1.11,2194800,0.01834862385321112
2020-01-17,1.16,1.169,1.1,1.16,1.16,1385500,0.04504504504504481
2020-01-21,1.21,1.3,1.16,1.23,1.23,3041600,0.06034482758620685
2020-01-22,1.27,1.27,1.11,1.13,1.13,1895200,-0.08130081300813019
2020-01-23,1.18,1.19,1.11,1.14,1.14,831500,0.008849557522123908
2020-01-24,1.15,1.15,1.03,1.07,1.07,1796800,-0.06140350877192968
2020-01-27,1.03,1.11,1.0,1.11,1.11,1090400,0.03738317757009346
2020-01-28,1.13,1.14,1.06,1.1,1.1,603500,-0.009009009009009028
2020-01-29,1.08,1.1,0.99,1.05,1.05,1012400,-0.045454545454545525
2020-01-30,1.03,1.065,1.01,1.06,1.06,584300,0.00952380952380949
2020-01-31,1.06,1.07,1.021,1.04,1.04,525900,-0.018867924528301883
2020-02-03,1.1,1.15,1.05,1.15,1.15,1301200,0.10576923076923062
2020-02-04,1.15,1.24,1.12,1.21,1.21,1114800,0.052173913043478404
2020-02-05,1.22,1.26,1.08,1.14,1.14,1127800,-0.05785123966942152
2020-02-06,1.14,1.2,1.1,1.2,1.2,447600,0.05263157894736836
2020-02-07,1.17,1.188,1.12,1.13,1.13,503900,-0.05833333333333335
2020-02-10,1.2,1.2,1.1,1.13,1.13,967900,0.0
2020-02-11,1.18,1.18,1.06,1.1,1.1,776500,-0.0265486725663715
2020-02-12,1.12,1.176,1.055,1.16,1.16,1137800,0.05454545454545445
2020-02-13,1.15,1.16,1.07,1.15,1.15,1137000,-0.008620689655172376
2020-02-14,1.15,1.2,1.11,1.19,1.19,1047300,0.034782608695652195
2020-02-18,1.2,1.2,1.13,1.16,1.16,701400,-0.025210084033613467
2020-02-19,1.17,1.17,1.13,1.16,1.16,389500,0.0
2020-02-20,1.16,1.19,1.15,1.18,1.18,505000,0.01724137931034475
2020-02-21,1.19,1.19,1.09,1.11,1.11,715900,-0.05932203389830493
2020-02-24,1.1,1.13,1.05,1.09,1.09,911300,-0.018018018018018056
2020-02-25,1.11,1.11,1.063,1.09,1.09,624200,0.0
2020-02-26,1.1,1.11,1.05,1.06,1.06,550000,-0.02752293577981657
2020-02-27,1.04,1.07,1.01,1.05,1.05,657400,-0.009433962264150941
2020-02-28,1.01,1.03,1.0,1.02,1.02,624700,-0.02857142857142858
2020-03-02,1.03,1.06,1.0,1.03,1.03,414400,0.009803921568627416
2020-03-03,1.04,1.05,1.0,1.02,1.02,449900,-0.009708737864077666
2020-03-04,1.02,1.04,1.0,1.02,1.02,347900,0.0
2020-03-05,1.01,1.02,0.874,0.99,0.99,1027900,-0.02941176470588236
2020-03-06,0.965,0.965,0.899,0.9,0.9,899600,-0.09090909090909083
2020-03-09,0.78,0.82,0.63,0.798,0.798,926200,-0.11333333333333329
2020-03-10,0.838,0.86,0.77,0.822,0.822,238700,0.03007518796992459
2020-03-11,0.85,0.85,0.76,0.82,0.82,240400,-0.0024330900243308973
2020-03-12,0.71,0.785,0.7,0.718,0.718,303400,-0.12439024390243902
2020-03-13,0.735,0.8,0.65,0.686,0.686,645400,-0.04456824512534807
2020-03-16,0.64,0.64,0.502,0.584,0.584,633100,-0.14868804664723045
2020-03-17,0.59,0.666,0.53,0.666,0.666,441400,0.14041095890410982
2020-03-18,0.67,0.69,0.56,0.581,0.581,330300,-0.1276276276276277
2020-03-19,0.585,0.8,0.585,0.77,0.77,723700,0.32530120481927716
2020-03-20,0.793,0.84,0.69,0.777,0.777,1419300,0.009090909090909038
2020-03-23,0.777,0.8,0.611,0.727,0.727,668800,-0.0643500643500644
2020-03-24,0.75,0.79,0.71,0.78,0.78,366700,0.07290233837689142
2020-03-25,0.827,0.96,0.79,0.919,0.919,1016700,0.17820512820512824
2020-03-26,0.92,0.98,0.832,0.93,0.93,869700,0.01196953210010876
2020-03-27,0.95,0.95,0.855,0.888,0.888,321300,-0.04516129032258065
2020-03-30,0.92,0.95,0.831,0.851,0.851,481300,-0.04166666666666674
2020-03-31,0.87,0.93,0.84,0.93,0.93,624800,0.09283196239717983
2020-04-01,0.91,0.92,0.819,0.862,0.862,387900,-0.07311827956989259
2020-04-02,0.86,0.867,0.8,0.81,0.81,229400,-0.0603248259860788
2020-04-03,0.85,0.858,0.739,0.765,0.765,363700,-0.05555555555555558
