Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2019-01-02,3.74,4.03,3.71,4.0,4.0,479500,
2019-01-03,3.97,4.06,3.76,3.77,3.77,464100,-0.057499999999999996
2019-01-04,3.86,4.17,3.78,4.1,4.1,465800,0.08753315649867366
2019-01-07,4.14,4.35,4.13,4.2,4.2,326300,0.024390243902439046
2019-01-08,4.26,4.26,4.02,4.05,4.05,102100,-0.03571428571428581
2019-01-09,4.09,4.1,3.8,3.82,3.82,212600,-0.05679012345679013
2019-01-10,3.8,3.85,3.69,3.75,3.75,284800,-0.018324607329842868
2019-01-11,3.75,3.78,3.66,3.73,3.73,132900,-0.005333333333333301
2019-01-14,3.72,3.76,3.35,3.41,3.41,211900,-0.0857908847184986
2019-01-15,3.42,3.78,3.42,3.72,3.72,155800,0.09090909090909083
2019-01-16,3.73,4.02,3.7,3.89,3.89,177000,0.045698924731182755
2019-01-17,3.86,4.19,3.86,3.93,3.93,125200,0.010282776349614497
2019-01-18,3.94,3.94,3.68,3.69,3.69,161400,-0.06106870229007644
2019-01-22,3.65,3.79,3.5,3.54,3.54,134900,-0.04065040650406504
2019-01-23,3.58,3.64,3.42,3.46,3.46,68600,-0.02259887005649719
2019-01-24,3.46,3.57,3.4,3.51,3.51,72200,0.014450867052023142
2019-01-25,3.54,4.07,3.49,3.96,3.96,1195200,0.1282051282051282
2019-01-28,3.89,3.89,3.56,3.61,3.61,208200,-0.08838383838383845
2019-01-29,3.61,3.76,3.53,3.54,3.54,46800,-0.01939058171745145
2019-01-30,3.57,3.74,3.49,3.71,3.71,68900,0.04802259887005644
2019-01-31,3.7,3.8,3.64,3.69,3.69,105200,-0.005390835579514808
2019-02-01,3.69,3.89,3.65,3.87,3.87,94700,0.04878048780487809
2019-02-04,3.86,3.99,3.78,3.98,3.98,100200,0.028423772609819098
2019-02-05,4.0,4.13,3.8,3.84,3.84,84000,-0.035175879396984966
2019-02-06,3.84,3.88,3.68,3.74,3.74,41200,-0.02604166666666663
