Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2019-01-02,5.63,5.7,5.31,5.54,5.54,414400,
2019-01-03,5.45,5.66,5.19,5.34,5.34,399800,-0.036101083032491044
2019-01-04,5.43,6.02,5.42,5.72,5.72,943900,0.07116104868913853
2019-01-07,5.79,6.17,5.69,6.06,6.06,288700,0.05944055944055937
2019-01-08,6.22,6.31,5.69,5.8,5.8,371100,-0.04290429042904287
2019-01-09,5.8,5.88,5.71,5.83,5.83,197500,0.005172413793103514
2019-01-10,5.81,5.95,5.6,5.84,5.84,186600,0.0017152658662091813
2019-01-11,5.85,5.96,5.66,5.74,5.74,157200,-0.017123287671232834
2019-01-14,5.7,5.7,5.21,5.39,5.39,335100,-0.060975609756097615
2019-01-15,5.4,5.52,5.26,5.3,5.3,233100,-0.016697588126159513
2019-01-16,5.32,5.97,5.16,5.31,5.31,168000,0.0018867924528300772
2019-01-17,5.3,5.3,5.01,5.04,5.04,168300,-0.05084745762711862
2019-01-18,5.04,5.085,4.73,4.86,4.86,434200,-0.0357142857142857
2019-01-22,4.86,4.87,4.49,4.53,4.53,466100,-0.0679012345679012
2019-01-23,4.48,4.739,4.41,4.47,4.47,260300,-0.013245033112582849
2019-01-24,4.5,4.73,4.36,4.49,4.49,217800,0.004474272930648837
2019-01-25,4.49,4.77,4.489,4.69,4.69,100300,0.04454342984409809
2019-01-28,4.67,4.69,4.4,4.5,4.5,260000,-0.04051172707889139
2019-01-29,4.52,4.793,4.5,4.6,4.6,172400,0.022222222222222143
2019-01-30,4.67,4.76,4.48,4.66,4.66,210800,0.013043478260869712
2019-01-31,4.68,5.0,4.68,4.87,4.87,253500,0.045064377682403345
2019-02-01,4.9,5.29,4.826,5.06,5.06,253200,0.03901437371663241
2019-02-04,5.11,5.24,4.85,4.86,4.86,202900,-0.039525691699604626
2019-02-05,4.89,4.95,4.65,4.68,4.68,210000,-0.0370370370370372
2019-02-06,4.71,4.946,4.6,4.87,4.87,193600,0.040598290598290676
2019-02-07,4.82,4.89,4.53,4.65,4.65,282600,-0.045174537987679675
2019-02-08,4.64,5.0,4.54,4.99,4.99,351500,0.07311827956989236
2019-02-11,5.05,5.18,4.92,5.15,5.15,165600,0.03206412825651306
2019-02-12,5.17,5.37,5.09,5.33,5.33,214800,0.03495145631067964
2019-02-13,5.37,5.43,4.8,4.82,4.82,330900,-0.0956848030018761
2019-02-14,4.82,4.98,4.75,4.84,4.84,251800,0.004149377593360981
2019-02-15,4.84,4.96,4.65,4.94,4.94,223900,0.02066115702479343
2019-02-19,4.92,4.97,4.68,4.71,4.71,176900,-0.046558704453441346
2019-02-20,4.72,4.79,4.625,4.71,4.71,194400,0.0
2019-02-21,4.71,4.71,4.55,4.66,4.66,187500,-0.010615711252653925
2019-02-22,4.64,4.82,4.48,4.57,4.57,311000,-0.01931330472102999
2019-02-25,4.65,4.94,4.482,4.81,4.81,380000,0.05251641137855567
2019-02-26,4.81,5.06,4.75,4.86,4.86,187700,0.010395010395010562
2019-02-27,4.9,5.15,4.54,4.64,4.64,284500,-0.04526748971193428
2019-02-28,4.7,4.745,4.33,4.39,4.39,472800,-0.053879310344827624
2019-03-01,4.42,4.68,4.35,4.57,4.57,230200,0.0410022779043282
2019-03-04,4.6,4.607,4.24,4.27,4.27,431400,-0.06564551422319487
2019-03-05,4.3,4.59,4.139,4.39,4.39,490300,0.02810304449648715
2019-03-06,4.38,4.392,4.0,4.01,4.01,319800,-0.08656036446469251
2019-03-07,4.07,4.2,3.91,4.13,4.13,393400,0.029925187032419087
2019-03-08,4.07,4.2,3.7,3.72,3.72,502800,-0.09927360774818395
2019-03-11,3.8,3.91,3.79,3.9,3.9,225000,0.048387096774193505
2019-03-12,3.91,4.1,3.88,4.03,4.03,165500,0.03333333333333344
2019-03-13,4.06,4.13,3.9,3.93,3.93,151100,-0.02481389578163773
2019-03-14,3.94,4.04,3.825,3.93,3.93,327300,0.0
2019-03-15,3.94,4.08,3.86,3.97,3.97,252100,0.010178117048346147
2019-03-18,3.96,4.137,3.87,3.88,3.88,206500,-0.02267002518891692
2019-03-19,3.91,3.94,3.82,3.84,3.84,149600,-0.010309278350515427
2019-03-20,3.83,3.91,3.76,3.89,3.89,288500,0.013020833333333481
2019-03-21,3.84,3.89,3.74,3.83,3.83,256300,-0.015424164524421635
2019-03-22,3.83,3.83,3.6,3.63,3.63,235800,-0.052219321148825104
2019-03-25,3.61,3.85,3.55,3.75,3.75,249800,0.03305785123966953
2019-03-26,3.77,3.99,3.7,3.88,3.88,178000,0.03466666666666662
2019-03-27,3.9,4.03,3.74,3.98,3.98,390200,0.02577319587628879
2019-03-28,3.92,4.15,3.87,4.08,4.08,195400,0.025125628140703515
