Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2019-01-02,4.9,5.705,4.9,5.6,5.6,189600,
2019-01-03,5.44,5.65,5.21,5.49,5.49,196400,-0.019642857142857073
2019-01-04,5.52,6.04,5.42,5.72,5.72,130900,0.041894353369763104
2019-01-07,5.75,6.04,5.7,5.76,5.76,247300,0.006993006993007089
2019-01-08,5.82,6.0,5.8,5.95,5.95,107300,0.03298611111111116
2019-01-09,6.13,6.13,5.9,5.97,5.97,134900,0.003361344537815114
2019-01-10,5.95,6.2,5.91,6.17,6.17,87400,0.03350083752093802
2019-01-11,6.19,6.21,6.011,6.2,6.2,132600,0.004862236628849326
2019-01-14,6.2,6.25,6.15,6.2,6.2,80600,0.0
2019-01-15,6.2,6.305,6.11,6.19,6.19,147800,-0.001612903225806428
2019-01-16,6.2,6.38,5.98,6.03,6.03,177600,-0.02584814216478193
2019-01-17,5.9,6.17,5.7,6.13,6.13,195400,0.016583747927031434
2019-01-18,6.1,6.45,6.033,6.4,6.4,224000,0.04404567699836881
2019-01-22,6.4,6.67,6.3,6.6,6.6,207300,0.031249999999999778
2019-01-23,6.62,6.74,6.469,6.6,6.6,122200,0.0
2019-01-24,7.0,7.1,6.87,7.0,7.0,688000,0.06060606060606055
2019-01-25,7.1,7.21,7.05,7.2,7.2,418600,0.028571428571428692
2019-01-28,7.2,7.45,7.01,7.3,7.3,348900,0.01388888888888884
2019-01-29,7.36,7.5,7.16,7.2,7.2,383100,-0.013698630136986245
2019-01-30,7.25,7.6,7.16,7.59,7.59,313300,0.054166666666666696
2019-01-31,7.72,7.864,7.52,7.55,7.55,258000,-0.005270092226614009
2019-02-01,7.5,7.62,6.95,7.29,7.29,304100,-0.03443708609271523
2019-02-04,7.26,7.485,7.12,7.22,7.22,212800,-0.009602194787380003
2019-02-05,7.17,7.265,6.6,7.07,7.07,453800,-0.020775623268697974
2019-02-06,7.04,7.36,6.99,7.17,7.17,189900,0.014144271570014189
2019-02-07,7.12,7.14,6.83,7.05,7.05,156900,-0.01673640167364021
2019-02-08,7.03,7.36,7.0,7.32,7.32,157200,0.0382978723404257
2019-02-11,7.36,7.54,7.23,7.29,7.29,182200,-0.004098360655737765
2019-02-12,7.31,7.387,7.12,7.16,7.16,109100,-0.017832647462277085
2019-02-13,7.12,7.195,6.8,6.94,6.94,191100,-0.030726256983240163
2019-02-14,6.94,7.03,6.76,6.8,6.8,122400,-0.02017291066282434
2019-02-15,6.8,7.02,6.77,6.81,6.81,159500,0.0014705882352941124
2019-02-19,7.1,7.155,6.53,6.95,6.95,254700,0.020558002936857722
2019-02-20,7.21,7.21,6.6,6.88,6.88,269500,-0.010071942446043258
2019-02-21,6.83,6.906,6.69,6.82,6.82,143200,-0.008720930232558044
2019-02-22,6.81,7.06,6.67,6.96,6.96,177900,0.02052785923753664
2019-02-25,7.05,7.19,6.96,7.03,7.03,144200,0.010057471264367956
2019-02-26,7.05,7.13,6.78,6.88,6.88,94600,-0.02133712660028453
2019-02-27,6.86,6.94,6.56,6.56,6.56,137300,-0.04651162790697683
2019-02-28,6.59,6.67,6.42,6.58,6.58,117700,0.0030487804878049918
2019-03-01,6.465,6.84,6.465,6.64,6.64,181000,0.00911854103343468
2019-03-04,6.7,6.75,6.45,6.59,6.59,100600,-0.0075301204819276935
2019-03-05,6.53,6.56,5.84,6.32,6.32,403400,-0.04097116843702575
2019-03-06,6.3,6.36,6.1,6.25,6.25,137700,-0.011075949367088667
2019-03-07,6.21,6.38,5.43,6.16,6.16,793300,-0.014399999999999968
2019-03-08,6.07,6.2,6.0,6.0,6.0,146200,-0.025974025974025983
2019-03-11,5.99,6.19,5.82,6.1,6.1,190200,0.016666666666666607
2019-03-12,6.12,6.4,6.02,6.22,6.22,343500,0.01967213114754096
2019-03-13,6.25,6.491,6.087,6.45,6.45,310800,0.036977491961414755
2019-03-14,6.49,6.575,6.2,6.23,6.23,195600,-0.03410852713178292
2019-03-15,6.26,6.65,6.26,6.52,6.52,322800,0.04654895666131598
2019-03-18,6.52,6.67,6.2,6.45,6.45,337900,-0.010736196319018343
2019-03-19,6.46,6.74,6.34,6.68,6.68,166400,0.0356589147286821
2019-03-20,6.69,6.79,6.53,6.73,6.73,247600,0.007485029940119903
2019-03-21,6.8,6.91,6.71,6.75,6.75,154700,0.002971768202080227
2019-03-22,6.76,6.81,6.43,6.53,6.53,185100,-0.032592592592592506
2019-03-25,6.54,6.62,6.13,6.19,6.19,185500,-0.052067381316998396
2019-03-26,6.25,6.3,5.89,6.03,6.03,347600,-0.02584814216478193
2019-03-27,6.04,6.23,5.77,5.95,5.95,255700,-0.013266998341625258
2019-03-28,5.97,6.08,5.85,5.96,5.96,173000,0.001680672268907557
2019-03-29,5.98,6.02,5.8,5.81,5.81,173800,-0.025167785234899376
2019-04-01,5.84,5.9,5.75,5.79,5.79,162500,-0.0034423407917383297
2019-04-02,6.04,6.75,5.9,6.4,6.4,780900,0.10535405872193437
2019-04-03,6.4,6.63,5.84,6.18,6.18,412000,-0.034375000000000044
2019-04-04,6.17,6.218,5.96,6.11,6.11,193100,-0.01132686084142387
2019-04-05,6.13,6.3,6.04,6.26,6.26,174300,0.0245499181669393
2019-04-08,6.26,6.365,6.12,6.31,6.31,134200,0.007987220447284393
2019-04-09,6.31,6.465,6.226,6.34,6.34,131000,0.004754358161648264
2019-04-10,6.35,6.62,6.27,6.5,6.5,322400,0.025236593059936974
2019-04-11,6.57,6.65,6.45,6.61,6.61,270300,0.01692307692307704
2019-04-12,6.67,6.8,6.55,6.8,6.8,239800,0.02874432677760952
2019-04-15,6.94,6.98,6.5,6.6,6.6,306900,-0.02941176470588236
2019-04-16,6.68,6.836,6.63,6.82,6.82,226800,0.03333333333333344
2019-04-17,6.87,6.9,6.61,6.78,6.78,248300,-0.0058651026392961825
2019-04-18,6.82,6.91,6.77,6.89,6.89,224400,0.016224188790560312
2019-04-22,6.89,6.9,6.46,6.62,6.62,226100,-0.03918722786647311
2019-04-23,6.61,6.66,6.27,6.33,6.33,290800,-0.04380664652567978
2019-04-24,6.31,6.66,6.2,6.57,6.57,209300,0.03791469194312791
2019-04-25,6.6,6.65,6.46,6.58,6.58,145600,0.0015220700152207556
2019-04-26,6.6,6.83,6.5,6.77,6.77,201300,0.028875379939209633
2019-04-29,6.77,6.83,6.5,6.51,6.51,234100,-0.03840472673559825
2019-04-30,6.5,6.69,6.42,6.6,6.6,177600,0.01382488479262678
2019-05-01,6.61,6.66,6.39,6.39,6.39,121600,-0.03181818181818186
2019-05-02,6.39,6.4,6.2,6.28,6.28,223900,-0.017214397496087552
2019-05-03,6.27,6.45,6.25,6.38,6.38,125000,0.015923566878980777
2019-05-06,6.38,6.55,6.22,6.4,6.4,163500,0.0031347962382446415
2019-05-07,7.5,7.8,7.21,7.71,7.71,1757700,0.2046874999999999
2019-05-08,7.62,8.32,7.592,8.16,8.16,1267000,0.05836575875486383
2019-05-09,8.05,8.3,7.813,8.04,8.04,884800,-0.014705882352941346
2019-05-10,8.3,8.37,7.78,8.21,8.21,875400,0.021144278606965328
2019-05-13,8.1,8.95,7.91,8.89,8.89,2139400,0.08282582216808776
2019-05-14,8.99,9.0,8.32,8.35,8.35,882300,-0.06074240719910018
2019-05-15,8.31,8.35,7.67,7.75,7.75,844500,-0.07185628742514971
2019-05-16,7.76,8.03,7.715,7.97,7.97,480500,0.028387096774193488
2019-05-17,7.95,7.988,7.34,7.39,7.39,342300,-0.07277289836888334
2019-05-20,7.23,7.33,6.847,7.04,7.04,511200,-0.047361299052773975
2019-05-21,7.1,7.3,6.54,6.66,6.66,570500,-0.05397727272727271
2019-05-22,6.62,7.035,6.46,6.77,6.77,443000,0.016516516516516422
2019-05-23,6.82,7.1,6.57,6.75,6.75,458900,-0.002954209748892156
2019-05-24,6.76,7.01,6.66,6.96,6.96,330700,0.03111111111111109
2019-05-28,7.01,7.33,6.91,6.98,6.98,369600,0.00287356321839094
2019-05-29,6.95,7.1,6.74,6.97,6.97,325300,-0.0014326647564470996
2019-05-30,7.15,7.29,6.96,7.22,7.22,498700,0.03586800573888094
2019-05-31,7.11,7.2,6.91,6.96,6.96,424800,-0.03601108033240996
2019-06-03,6.92,7.005,6.33,6.58,6.58,509400,-0.054597701149425304
2019-06-04,6.59,6.78,6.4,6.72,6.72,379900,0.02127659574468077
2019-06-05,6.75,6.82,6.52,6.67,6.67,154100,-0.007440476190476164
2019-06-06,6.65,6.89,6.48,6.77,6.77,251400,0.014992503748125774
2019-06-07,6.78,7.1,6.72,7.1,7.1,300400,0.048744460856720906
2019-06-10,7.06,7.45,7.06,7.43,7.43,403100,0.04647887323943656
2019-06-11,7.45,7.65,7.125,7.47,7.47,332600,0.0053835800807537915
2019-06-12,7.45,7.51,7.01,7.21,7.21,367100,-0.03480589022757696
2019-06-13,7.19,7.48,7.08,7.18,7.18,225100,-0.004160887656033285
2019-06-14,7.12,7.14,6.82,7.03,7.03,308800,-0.02089136490250687
2019-06-17,7.02,7.15,6.78,6.81,6.81,423700,-0.031294452347084056
2019-06-18,6.85,6.92,6.52,6.69,6.69,269100,-0.017621145374449254
2019-06-19,6.71,6.73,6.35,6.55,6.55,512800,-0.02092675635276542
2019-06-20,6.57,6.71,6.38,6.68,6.68,468900,0.01984732824427482
2019-06-21,6.65,6.66,6.38,6.54,6.54,384900,-0.020958083832335328
2019-06-24,6.55,6.619,6.2,6.24,6.24,389500,-0.04587155963302747
2019-06-25,6.23,6.3,5.96,6.01,6.01,333600,-0.03685897435897445
2019-06-26,6.14,6.15,5.77,6.0,6.0,595800,-0.0016638935108153063
2019-06-27,6.01,6.063,5.72,5.9,5.9,475700,-0.016666666666666607
2019-06-28,5.9,6.627,5.83,6.4,6.4,3358700,0.0847457627118644
2019-07-01,6.46,6.59,6.14,6.27,6.27,477900,-0.020312500000000067
2019-07-02,6.21,6.25,5.89,5.91,5.91,388000,-0.0574162679425837
2019-07-03,5.91,6.03,5.62,6.0,6.0,517100,0.015228426395939021
2019-07-05,5.98,5.98,5.66,5.82,5.82,476700,-0.029999999999999916
2019-07-08,5.8,5.84,5.5,5.67,5.67,762700,-0.02577319587628868
2019-07-09,5.62,5.74,5.17,5.32,5.32,672900,-0.061728395061728336
2019-07-10,6.01,6.6,5.9,6.28,6.28,1374400,0.18045112781954886
2019-07-11,6.2,6.59,5.97,6.02,6.02,789000,-0.04140127388535042
2019-07-12,5.99,6.015,5.41,5.75,5.75,1225100,-0.04485049833887034
2019-07-15,5.75,5.98,5.55,5.69,5.69,490000,-0.01043478260869557
2019-07-16,5.7,5.99,5.7,5.78,5.78,370700,0.01581722319859402
2019-07-17,5.75,5.82,5.44,5.51,5.51,625500,-0.04671280276816614
2019-07-18,5.5,5.66,5.37,5.45,5.45,520400,-0.010889292196007205
2019-07-19,5.44,5.68,5.36,5.52,5.52,499900,0.01284403669724754
2019-07-22,5.49,5.92,5.49,5.77,5.77,435500,0.04528985507246386
2019-07-23,5.75,5.87,5.59,5.65,5.65,408600,-0.020797227036394972
2019-07-24,5.67,5.84,5.32,5.79,5.79,696500,0.024778761061946764
2019-07-25,5.8,6.1,5.69,6.02,6.02,359800,0.03972366148531936
2019-07-26,6.03,6.1,5.545,5.6,5.6,377800,-0.06976744186046513
2019-07-29,5.62,5.76,5.33,5.61,5.61,370600,0.0017857142857145014
2019-07-30,5.63,6.02,5.61,5.86,5.86,401700,0.04456327985739761
2019-07-31,5.83,5.97,5.74,5.82,5.82,262200,-0.0068259385665528916
2019-08-01,5.83,5.95,5.59,5.62,5.62,328700,-0.03436426116838487
2019-08-02,5.59,5.742,5.48,5.66,5.66,171100,0.007117437722419906
2019-08-05,5.61,5.61,5.41,5.5,5.5,310500,-0.028268551236749095
2019-08-06,5.52,5.58,5.35,5.45,5.45,318600,-0.009090909090909038
2019-08-07,5.37,5.605,5.24,5.52,5.52,303200,0.01284403669724754
2019-08-08,5.56,5.7,5.477,5.6,5.6,209500,0.01449275362318847
2019-08-09,5.59,5.67,5.32,5.53,5.53,210800,-0.012499999999999845
2019-08-12,5.49,5.56,5.31,5.56,5.56,192000,0.005424954792043302
2019-08-13,6.0,6.0,5.71,5.85,5.85,370700,0.052158273381295084
