Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2019-01-02,6.01,6.12,5.96,6.09,6.09,14200,
2019-01-03,6.03,6.11,5.9,5.96,5.96,24800,-0.021346469622331665
2019-01-04,5.98,6.2,5.98,6.14,6.14,56000,0.030201342281879207
2019-01-07,6.29,6.4,6.09,6.18,6.18,161900,0.006514657980456029
2019-01-08,6.22,6.22,6.11,6.16,6.16,13700,-0.003236245954692518
2019-01-09,6.35,6.47,6.35,6.42,6.42,388100,0.04220779220779214
2019-01-10,6.43,6.78,6.21,6.25,6.25,572000,-0.026479750778816147
2019-01-11,6.19,6.38,6.18,6.27,6.27,122900,0.0031999999999998696
2019-01-14,6.19,6.32,6.19,6.23,6.23,61100,-0.006379585326953596
2019-01-15,6.25,6.35,6.21,6.35,6.35,53200,0.019261637239165186
2019-01-16,6.36,6.39,6.3,6.32,6.32,143800,-0.0047244094488188
2019-01-17,6.29,6.31,6.2,6.2,6.2,146900,-0.01898734177215189
2019-01-18,6.19,6.27,6.19,6.27,6.27,28800,0.011290322580645107
2019-01-22,6.4,6.43,6.26,6.31,6.31,173600,0.006379585326953707
2019-01-23,6.32,6.39,6.29,6.39,6.39,51200,0.01267828843106189
2019-01-24,6.42,6.49,6.37,6.4,6.4,153200,0.0015649452269170805
2019-01-25,6.45,6.55,6.4,6.5,6.5,64600,0.015625
2019-01-28,6.53,6.56,6.45,6.53,6.53,250900,0.004615384615384688
2019-01-29,6.51,6.67,6.51,6.66,6.66,118300,0.019908116385911168
2019-01-30,6.78,6.84,6.72,6.75,6.75,147900,0.013513513513513598
2019-01-31,6.76,7.01,6.76,6.99,6.99,242900,0.03555555555555556
2019-02-01,7.02,7.14,6.91,7.0,7.0,379100,0.0014306151645206988
2019-02-04,7.01,7.1,7.0,7.01,7.01,191100,0.0014285714285713347
2019-02-05,7.83,8.0,7.37,7.7,7.7,1493700,0.09843081312410851
2019-02-06,7.76,7.91,7.61,7.7,7.7,756400,0.0
2019-02-07,7.69,7.7,7.47,7.49,7.49,305300,-0.027272727272727226
2019-02-08,7.42,7.65,7.42,7.54,7.54,312300,0.006675567423231055
2019-02-11,7.47,7.52,7.35,7.37,7.37,180500,-0.022546419098143256
2019-02-12,7.35,7.41,7.28,7.29,7.29,219400,-0.01085481682496614
2019-02-13,7.28,7.47,7.28,7.35,7.35,609900,0.008230452674897082
2019-02-14,7.31,7.5,7.31,7.44,7.44,196800,0.01224489795918382
2019-02-15,7.54,7.6,7.44,7.52,7.52,551400,0.010752688172043001
2019-02-19,7.57,7.59,7.47,7.49,7.49,94200,-0.003989361702127603
2019-02-20,7.5,7.51,7.34,7.4,7.4,128100,-0.012016021361815787
2019-02-21,7.34,7.44,7.31,7.39,7.39,139300,-0.0013513513513514486
2019-02-22,7.37,7.45,7.35,7.45,7.45,103200,0.008119079837618504
2019-02-25,7.45,7.49,7.26,7.35,7.35,100400,-0.0134228187919464
2019-02-26,7.3,7.33,7.19,7.22,7.22,72900,-0.017687074829931926
2019-02-27,7.2,7.32,7.18,7.3,7.3,57400,0.011080332409972415
2019-02-28,7.36,7.44,7.29,7.38,7.38,464500,0.010958904109588996
2019-03-01,7.38,7.67,7.35,7.67,7.67,165700,0.039295392953929476
2019-03-04,7.7,7.75,7.55,7.65,7.65,171500,-0.0026075619295957697
2019-03-05,7.65,7.89,7.65,7.84,7.84,130000,0.024836601307189454
2019-03-06,7.84,7.89,7.77,7.85,7.85,101700,0.0012755102040815647
2019-03-07,7.88,8.0,7.73,7.75,7.75,274600,-0.01273885350318471
2019-03-08,7.68,8.0,7.55,7.94,7.94,231100,0.024516129032258194
2019-03-11,7.94,8.18,7.86,8.14,8.14,234500,0.02518891687657443
2019-03-12,8.17,8.34,8.14,8.2,8.2,162100,0.007371007371007154
2019-03-13,8.21,8.27,8.04,8.04,8.04,107300,-0.019512195121951237
2019-03-14,7.94,8.04,7.92,7.95,7.95,57700,-0.011194029850746134
2019-03-15,7.9,7.98,7.61,7.8,7.8,97200,-0.018867924528301883
2019-03-18,7.86,7.97,7.79,7.82,7.82,72700,0.002564102564102555
2019-03-19,7.88,7.91,7.77,7.81,7.81,44400,-0.0012787723785167016
2019-03-20,7.84,7.92,7.79,7.82,7.82,36300,0.001280409731114096
2019-03-21,7.82,8.05,7.8,7.99,7.99,64400,0.021739130434782705
2019-03-22,7.97,7.98,7.65,7.69,7.69,53800,-0.03754693366708384
2019-03-25,7.61,7.69,7.54,7.59,7.59,34300,-0.013003901170351218
2019-03-26,7.65,7.81,7.63,7.79,7.79,52700,0.026350461133069825
2019-03-27,7.67,7.76,7.59,7.72,7.72,62200,-0.00898587933247752
2019-03-28,7.73,7.86,7.72,7.8,7.8,81100,0.010362694300518172
2019-03-29,7.84,7.94,7.75,7.94,7.94,132500,0.017948717948718107
2019-04-01,8.16,8.24,8.06,8.11,8.11,117100,0.021410579345088054
2019-04-02,8.16,8.18,8.08,8.12,8.12,81400,0.0012330456226881115
2019-04-03,8.14,8.16,8.03,8.1,8.1,114500,-0.0024630541871920597
2019-04-04,7.98,8.02,7.59,7.79,7.79,242900,-0.03827160493827153
2019-04-05,7.82,7.94,7.81,7.83,7.83,16000,0.005134788189987249
2019-04-08,7.89,7.89,7.73,7.77,7.77,41100,-0.00766283524904221
2019-04-09,7.73,7.82,7.73,7.8,7.8,33300,0.0038610038610038533
2019-04-10,7.83,7.92,7.82,7.85,7.85,36900,0.0064102564102563875
2019-04-11,7.86,7.89,7.82,7.87,7.87,24600,0.002547770700636942
2019-04-12,7.87,7.98,7.84,7.96,7.96,31500,0.011435832274459878
2019-04-15,8.03,8.03,7.93,7.97,7.97,27700,0.0012562814070351536
2019-04-16,7.97,8.08,7.93,8.02,8.02,39800,0.006273525721455453
2019-04-17,7.93,7.99,7.81,7.81,7.81,24600,-0.026184538653366562
2019-04-18,7.85,8.08,7.81,8.01,8.01,50300,0.025608194622279257
2019-04-22,8.01,8.03,7.94,8.03,8.03,24800,0.0024968789013732895
2019-04-23,7.99,8.03,7.91,7.99,7.99,33000,-0.004981320049813109
2019-04-24,7.91,8.04,7.88,7.99,7.99,24200,0.0
2019-04-25,8.04,8.05,7.87,7.95,7.95,18300,-0.005006257822277815
2019-04-26,8.03,8.03,7.78,7.8,7.8,42600,-0.018867924528301883
2019-04-29,7.73,7.79,7.39,7.7,7.7,124400,-0.012820512820512775
2019-04-30,7.59,7.63,7.36,7.39,7.39,200300,-0.04025974025974033
2019-05-01,7.38,7.5,7.31,7.32,7.32,55100,-0.009472259810554773
2019-05-02,7.26,7.28,7.15,7.2,7.2,46400,-0.016393442622950838
2019-05-03,7.18,7.24,7.12,7.15,7.15,47100,-0.00694444444444442
2019-05-06,7.12,7.44,7.12,7.44,7.44,90600,0.040559440559440496
2019-05-07,7.45,7.46,7.19,7.28,7.28,30500,-0.021505376344086002
2019-05-08,7.4,7.4,7.25,7.27,7.27,49000,-0.0013736263736264798
2019-05-09,7.28,7.33,7.17,7.31,7.31,48500,0.005502063273727709
2019-05-10,7.31,7.39,7.21,7.31,7.31,69200,0.0
2019-05-13,7.03,7.29,7.0,7.25,7.25,572900,-0.008207934336525224
2019-05-14,7.34,7.73,7.24,7.52,7.52,211000,0.03724137931034477
2019-05-15,7.44,7.6,7.14,7.59,7.59,38900,0.009308510638297962
2019-05-16,7.54,7.59,7.3,7.4,7.4,63200,-0.025032938076416267
2019-05-17,7.1,7.45,7.03,7.31,7.31,61800,-0.01216216216216226
2019-05-20,7.2,7.31,7.1,7.25,7.25,21000,-0.008207934336525224
2019-05-21,7.28,7.45,7.22,7.24,7.24,39100,-0.0013793103448275223
2019-05-22,7.32,7.37,7.21,7.32,7.32,23500,0.011049723756906049
2019-05-23,7.28,7.3,7.11,7.16,7.16,118800,-0.021857923497267784
2019-05-24,7.16,7.29,7.14,7.17,7.17,26500,0.0013966480446927498
2019-05-28,7.16,7.17,7.03,7.07,7.07,71900,-0.013947001394700065
2019-05-29,7.07,7.07,6.93,6.99,6.99,60000,-0.011315417256011373
2019-05-30,6.97,7.05,6.86,6.96,6.96,64700,-0.0042918454935623185
2019-05-31,6.9,7.01,6.77,6.85,6.85,87500,-0.015804597701149503
2019-06-03,6.8,6.86,6.74,6.81,6.81,211800,-0.00583941605839422
2019-06-04,6.77,7.14,6.77,7.14,7.14,217300,0.048458149779735615
2019-06-05,7.16,7.26,7.09,7.22,7.22,58900,0.011204481792717047
2019-06-06,7.24,7.36,7.21,7.34,7.34,35600,0.016620498614958512
2019-06-07,7.36,7.38,7.21,7.23,7.23,13800,-0.014986376021798309
2019-06-10,7.29,7.29,7.07,7.2,7.2,44600,-0.004149377593360981
2019-06-11,7.14,7.14,6.93,7.0,7.0,43000,-0.02777777777777779
2019-06-12,7.01,7.03,6.93,7.0,7.0,19300,0.0
2019-06-13,7.0,7.03,6.97,6.99,6.99,22100,-0.0014285714285714457
2019-06-14,6.99,7.03,6.97,6.99,6.99,22400,0.0
2019-06-17,7.0,7.02,6.95,6.99,6.99,35200,0.0
2019-06-18,7.05,7.08,6.91,7.01,7.01,53600,0.0028612303290413976
2019-06-19,7.05,7.08,7.01,7.06,7.06,19500,0.007132667617689048
2019-06-20,7.11,7.13,7.07,7.07,7.07,18100,0.0014164305949009304
2019-06-21,7.06,7.3,7.06,7.28,7.28,53500,0.02970297029702973
2019-06-24,7.27,7.3,7.19,7.28,7.28,31100,0.0
2019-06-25,7.25,7.26,7.2,7.25,7.25,16900,-0.004120879120879106
2019-06-26,7.2,7.2,7.1,7.12,7.12,8100,-0.017931034482758568
2019-06-27,7.12,7.14,7.08,7.1,7.1,22300,-0.002808988764045006
2019-06-28,7.11,7.27,7.1,7.21,7.21,8600,0.015492957746478853
2019-07-01,7.23,7.23,7.09,7.22,7.22,84100,0.001386962552011095
2019-07-02,7.17,7.69,7.14,7.59,7.59,224500,0.05124653739612195
2019-07-03,7.65,7.79,7.58,7.68,7.68,101500,0.011857707509881354
2019-07-05,7.74,7.85,7.74,7.83,7.83,114600,0.01953125
2019-07-08,7.82,7.86,7.6,7.78,7.78,101400,-0.0063856960408684715
2019-07-09,7.74,7.77,7.67,7.73,7.73,31100,-0.006426735218509005
2019-07-10,7.92,7.94,7.81,7.9,7.9,56700,0.02199223803363526
2019-07-11,8.0,8.01,7.95,8.0,8.0,63500,0.012658227848101111
2019-07-12,8.03,8.05,7.89,7.93,7.93,35900,-0.008750000000000036
2019-07-15,7.95,7.96,7.89,7.95,7.95,23000,0.0025220680958386588
2019-07-16,7.99,8.03,7.92,7.93,7.93,20600,-0.002515723270440362
2019-07-17,7.9,7.9,7.66,7.68,7.68,26900,-0.031525851197982346
2019-07-18,7.66,7.75,7.6,7.63,7.63,30200,-0.00651041666666663
2019-07-19,7.7,7.7,7.65,7.67,7.67,11600,0.005242463958060384
2019-07-22,7.67,7.69,7.63,7.64,7.64,16900,-0.003911342894393766
2019-07-23,7.62,7.62,7.21,7.47,7.47,102200,-0.022251308900523514
2019-07-24,7.54,7.54,7.4,7.46,7.46,40300,-0.0013386880856760541
2019-07-25,7.44,7.5,7.43,7.49,7.49,10700,0.004021447721179738
2019-07-26,7.7,7.7,7.36,7.65,7.65,8000,0.021361815754339153
2019-07-29,7.68,7.68,7.45,7.55,7.55,24500,-0.013071895424836666
2019-07-30,7.47,7.48,7.35,7.36,7.36,84500,-0.025165562913907258
2019-07-31,7.29,7.31,7.22,7.24,7.24,51000,-0.016304347826086918
2019-08-01,7.22,7.23,7.06,7.13,7.13,107100,-0.015193370165745845
2019-08-02,7.13,7.17,7.09,7.13,7.13,111400,0.0
2019-08-05,7.08,7.11,7.05,7.08,7.08,112700,-0.007012622720897643
