Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2019-01-02,2.25,2.79,2.25,2.79,2.79,60000,
2019-01-03,2.61,2.9,2.6,2.81,2.81,3800,0.007168458781362075
2019-01-04,2.62,2.95,2.62,2.86,2.86,20200,0.017793594306049654
2019-01-07,2.82,2.92,2.77,2.92,2.92,94800,0.020979020979021046
2019-01-08,2.95,2.95,2.86,2.92,2.92,6400,0.0
2019-01-09,2.9,3.13,2.9,2.97,2.97,18800,0.017123287671233056
2019-01-10,2.87,2.99,2.87,2.97,2.97,20300,0.0
2019-01-11,2.89,2.99,2.89,2.99,2.99,3000,0.006734006734006703
2019-01-14,2.99,3.0,2.96,3.0,3.0,5000,0.0033444816053511683
2019-01-15,3.0,3.0,2.76,2.76,2.76,10400,-0.08000000000000007
2019-01-16,2.79,2.95,2.75,2.9,2.9,13600,0.050724637681159424
2019-01-17,2.86,2.96,2.86,2.91,2.91,5000,0.0034482758620690834
2019-01-18,2.82,2.98,2.82,2.83,2.83,13700,-0.027491408934707917
2019-01-22,2.91,2.95,2.84,2.95,2.95,14400,0.042402826855123754
2019-01-23,2.96,2.96,2.84,2.94,2.94,9300,-0.003389830508474634
2019-01-24,2.95,2.95,2.83,2.95,2.95,9000,0.003401360544217802
2019-01-25,2.87,3.16,2.87,2.89,2.89,41900,-0.02033898305084747
2019-01-28,2.83,3.16,2.83,2.86,2.86,10900,-0.01038062283737029
2019-01-29,2.82,2.9,2.62,2.62,2.62,52000,-0.08391608391608385
2019-01-30,2.84,2.86,2.75,2.85,2.85,19900,0.08778625954198471
2019-01-31,2.77,2.85,2.74,2.77,2.77,68000,-0.028070175438596467
2019-02-01,2.85,2.86,2.83,2.86,2.86,18000,0.032490974729241895
2019-02-04,2.86,3.1,2.78,3.04,3.04,27900,0.06293706293706292
2019-02-05,2.97,3.04,2.89,3.0,3.0,11300,-0.013157894736842146
2019-02-06,3.0,3.06,2.89,3.04,3.04,12600,0.01333333333333342
2019-02-07,3.04,3.04,2.81,2.81,2.81,6800,-0.07565789473684215
2019-02-08,2.86,2.95,2.86,2.94,2.94,5100,0.0462633451957295
2019-02-11,2.96,3.04,2.87,2.95,2.95,34300,0.003401360544217802
2019-02-12,2.92,2.96,2.83,2.83,2.83,11000,-0.04067796610169494
2019-02-13,2.88,2.95,2.86,2.95,2.95,1900,0.042402826855123754
2019-02-14,2.95,2.98,2.91,2.95,2.95,23700,0.0
2019-02-15,3.02,3.02,2.91,2.99,2.99,5900,0.013559322033898313
2019-02-19,2.95,2.95,2.87,2.9,2.9,23100,-0.030100334448160626
2019-02-20,2.89,2.95,2.86,2.86,2.86,14400,-0.01379310344827589
2019-02-21,2.84,2.96,2.75,2.76,2.76,22900,-0.034965034965035
2019-02-22,2.78,2.98,2.78,2.95,2.95,6100,0.06884057971014501
2019-02-25,2.87,2.87,2.79,2.87,2.87,6700,-0.027118644067796627
2019-02-26,2.88,2.88,2.79,2.79,2.79,17400,-0.027874564459930307
2019-02-27,2.79,2.79,2.7,2.72,2.72,27800,-0.02508960573476693
2019-02-28,2.66,2.81,2.66,2.7,2.7,31500,-0.007352941176470562
2019-03-01,2.72,2.79,2.57,2.7,2.7,56100,0.0
2019-03-04,2.79,2.95,2.79,2.9,2.9,38800,0.07407407407407396
2019-03-05,2.9,2.9,2.81,2.9,2.9,4000,0.0
2019-03-06,2.88,2.88,2.73,2.73,2.73,9500,-0.05862068965517242
2019-03-07,2.71,2.79,2.59,2.59,2.59,35200,-0.05128205128205132
2019-03-08,2.57,2.77,2.57,2.74,2.74,13300,0.05791505791505802
2019-03-11,2.69,2.75,2.69,2.75,2.75,20400,0.0036496350364962904
2019-03-12,2.75,2.75,2.73,2.73,2.73,9900,-0.0072727272727273196
2019-03-13,2.75,2.82,2.66,2.75,2.75,31000,0.0073260073260073
2019-03-14,2.75,2.94,2.73,2.83,2.83,72700,0.029090909090909056
2019-03-15,2.84,2.87,2.77,2.79,2.79,30700,-0.014134275618374548
2019-03-18,2.8,2.87,2.76,2.83,2.83,28600,0.014336917562723928
2019-03-19,2.85,2.89,2.74,2.75,2.75,31300,-0.028268551236749095
2019-03-20,2.8,2.91,2.79,2.82,2.82,106800,0.025454545454545396
2019-03-21,2.85,2.93,2.85,2.85,2.85,20600,0.010638297872340496
2019-03-22,2.88,2.9,2.83,2.88,2.88,18200,0.010526315789473717
2019-03-25,2.82,2.88,2.82,2.88,2.88,5000,0.0
2019-03-26,2.94,2.94,2.81,2.85,2.85,11500,-0.01041666666666663
2019-03-27,2.95,2.95,2.84,2.89,2.89,10200,0.01403508771929829
2019-03-28,2.95,3.09,2.95,2.98,2.98,9500,0.03114186851211076
2019-03-29,2.97,3.2,2.97,3.2,3.2,10500,0.0738255033557047
2019-04-01,3.19,3.25,3.0,3.1,3.1,64300,-0.03125
2019-04-02,3.14,3.89,3.14,3.29,3.29,49700,0.06129032258064515
2019-04-03,3.44,3.51,3.31,3.31,3.31,5100,0.006079027355623046
2019-04-04,3.32,3.38,3.24,3.36,3.36,14800,0.015105740181268867
2019-04-05,3.31,3.44,3.24,3.35,3.35,80300,-0.0029761904761904656
2019-04-08,3.36,3.41,3.32,3.32,3.32,51700,-0.008955223880597107
2019-04-09,3.35,3.39,3.28,3.32,3.32,24300,0.0
2019-04-10,3.29,3.45,3.28,3.31,3.31,29800,-0.0030120481927710108
2019-04-11,3.32,3.35,3.29,3.34,3.34,20600,0.009063444108761365
2019-04-12,3.32,3.35,3.19,3.23,3.23,8700,-0.03293413173652693
2019-04-15,3.28,3.29,3.14,3.18,3.18,5700,-0.015479876160990669
2019-04-16,3.2,3.31,3.18,3.25,3.25,4500,0.022012578616352085
2019-04-17,3.29,3.31,3.22,3.22,3.22,6600,-0.009230769230769154
2019-04-18,3.28,3.3,3.13,3.16,3.16,9900,-0.018633540372670843
2019-04-22,3.13,3.32,3.13,3.24,3.24,5900,0.025316455696202445
2019-04-23,3.18,3.25,3.15,3.25,3.25,7400,0.0030864197530864335
2019-04-24,3.24,3.27,3.17,3.26,3.26,4900,0.003076923076922977
2019-04-25,3.26,3.35,3.23,3.3,3.3,21900,0.012269938650306678
2019-04-26,3.3,3.35,3.25,3.35,3.35,39900,0.015151515151515138
2019-04-29,3.3,3.35,3.2,3.2,3.2,4400,-0.04477611940298509
2019-04-30,3.2,3.28,3.18,3.2,3.2,23400,0.0
2019-05-01,3.2,3.2,3.2,3.2,3.2,0,0.0
2019-05-02,3.08,3.23,3.08,3.11,3.11,30700,-0.028125000000000067
2019-05-03,3.22,3.23,3.1,3.15,3.15,7800,0.012861736334405238
2019-05-06,3.13,3.15,3.11,3.15,3.15,7000,0.0
2019-05-07,3.15,3.22,3.07,3.15,3.15,124400,0.0
2019-05-08,3.2,3.2,3.09,3.17,3.17,48800,0.006349206349206327
2019-05-09,3.12,3.2,3.08,3.11,3.11,29000,-0.018927444794952675
2019-05-10,3.16,3.18,3.07,3.13,3.13,19000,0.006430868167202508
2019-05-13,3.11,3.16,3.06,3.13,3.13,12100,0.0
2019-05-14,3.13,3.13,3.02,3.02,3.02,5600,-0.03514376996805113
2019-05-15,3.13,3.14,3.02,3.05,3.05,11300,0.009933774834437026
2019-05-16,3.17,3.19,3.0,3.1,3.1,9100,0.016393442622950838
2019-05-17,3.07,3.17,3.02,3.02,3.02,12000,-0.02580645161290329
2019-05-20,3.07,3.19,3.01,3.03,3.03,4900,0.0033112582781456013
2019-05-21,3.03,3.12,3.0,3.0,3.0,26700,-0.009900990099009799
2019-05-22,3.05,3.1,2.96,3.01,3.01,28000,0.0033333333333331883
2019-05-23,3.0,3.05,2.94,3.0,3.0,7100,-0.0033222591362125353
2019-05-24,3.03,3.05,2.95,2.98,2.98,26700,-0.00666666666666671
2019-05-28,3.02,3.05,3.02,3.02,3.02,5700,0.01342281879194629
2019-05-29,3.03,3.03,2.99,2.99,2.99,13100,-0.009933774834437026
2019-05-30,2.98,3.03,2.95,2.99,2.99,12800,0.0
2019-05-31,2.98,3.05,2.96,3.05,3.05,8200,0.020066889632106788
2019-06-03,2.96,3.03,2.93,2.93,2.93,15300,-0.03934426229508181
2019-06-04,2.81,2.92,2.8,2.8,2.8,19900,-0.04436860068259396
2019-06-05,2.83,2.84,2.7,2.7,2.7,6900,-0.03571428571428559
2019-06-06,2.74,2.77,2.7,2.75,2.75,6200,0.01851851851851838
2019-06-07,2.79,2.89,2.68,2.68,2.68,7000,-0.025454545454545396
2019-06-10,2.76,2.8,2.6,2.64,2.64,49400,-0.014925373134328401
2019-06-11,2.64,2.77,2.6,2.6,2.6,4300,-0.015151515151515138
2019-06-12,2.65,2.72,2.62,2.63,2.63,13300,0.011538461538461497
2019-06-13,2.77,2.81,2.7,2.7,2.7,25500,0.026615969581749166
2019-06-14,2.74,2.88,2.61,2.61,2.61,1700,-0.03333333333333344
2019-06-17,2.62,2.7,2.57,2.64,2.64,9600,0.011494252873563315
2019-06-18,2.69,2.85,2.62,2.62,2.62,25300,-0.007575757575757569
2019-06-19,2.82,2.82,2.67,2.67,2.67,5500,0.01908396946564883
2019-06-20,2.79,2.84,2.67,2.67,2.67,12400,0.0
2019-06-21,2.91,3.03,2.87,2.99,2.99,29700,0.11985018726591767
2019-06-24,2.76,3.0,2.76,2.98,2.98,7700,-0.0033444816053512794
2019-06-25,2.98,3.03,2.89,2.99,2.99,16300,0.003355704697986628
2019-06-26,2.99,3.01,2.94,2.96,2.96,8100,-0.010033444816053616
2019-06-27,2.89,2.97,2.76,2.76,2.76,3800,-0.06756756756756765
2019-06-28,2.79,2.89,2.58,2.62,2.62,62800,-0.05072463768115931
2019-07-01,2.64,2.7,2.41,2.47,2.47,15200,-0.057251908396946494
2019-07-02,2.59,2.91,2.59,2.75,2.75,107600,0.11336032388663964
2019-07-03,2.72,2.93,2.65,2.65,2.65,63100,-0.036363636363636376
2019-07-05,2.71,2.85,2.71,2.75,2.75,125700,0.037735849056603765
2019-07-08,2.69,2.75,2.69,2.72,2.72,31600,-0.010909090909090868
2019-07-09,2.69,2.85,2.69,2.79,2.79,103900,0.025735294117646967
2019-07-10,2.75,2.85,2.75,2.84,2.84,20900,0.017921146953404854
2019-07-11,2.85,2.95,2.8,2.95,2.95,12000,0.03873239436619724
2019-07-12,2.89,2.98,2.8,2.91,2.91,20100,-0.013559322033898313
2019-07-15,2.95,3.0,2.94,2.98,2.98,8000,0.02405498281786933
2019-07-16,2.93,3.01,2.93,2.93,2.93,13500,-0.016778523489932806
2019-07-17,2.9,2.98,2.83,2.87,2.87,4800,-0.020477815699658675
2019-07-18,2.87,2.95,2.87,2.95,2.95,3000,0.027874564459930307
2019-07-19,2.86,2.86,2.83,2.83,2.83,700,-0.04067796610169494
2019-07-22,2.84,2.84,2.84,2.84,2.84,500,0.0035335689045936647
2019-07-23,2.87,2.99,2.85,2.88,2.88,5300,0.014084507042253502
2019-07-24,2.88,2.93,2.88,2.93,2.93,2300,0.01736111111111116
2019-07-25,2.93,2.97,2.91,2.97,2.97,15500,0.013651877133105783
2019-07-26,2.86,2.92,2.85,2.92,2.92,1700,-0.01683501683501687
2019-07-29,2.95,2.95,2.9,2.95,2.95,5900,0.010273972602739878
2019-07-30,2.91,3.03,2.91,3.03,3.03,12500,0.027118644067796405
2019-07-31,2.97,3.06,2.97,3.0,3.0,17600,-0.009900990099009799
2019-08-01,3.0,3.06,2.96,2.98,2.98,10100,-0.00666666666666671
2019-08-02,2.97,3.0,2.95,2.95,2.95,25700,-0.010067114093959662
2019-08-05,2.95,2.95,2.75,2.76,2.76,4500,-0.06440677966101704
2019-08-06,2.82,2.92,2.82,2.89,2.89,6000,0.04710144927536253
2019-08-07,2.88,2.9,2.76,2.76,2.76,1000,-0.04498269896193785
2019-08-08,2.88,2.94,2.88,2.88,2.88,16300,0.04347826086956519
2019-08-09,2.91,2.91,2.88,2.89,2.89,10600,0.003472222222222321
2019-08-12,2.84,2.9,2.84,2.89,2.89,5600,0.0
2019-08-13,2.88,2.92,2.75,2.75,2.75,19000,-0.04844290657439454
2019-08-14,2.88,3.0,2.78,2.9,2.9,5500,0.05454545454545445
2019-08-15,2.76,2.79,2.71,2.71,2.71,8900,-0.06551724137931036
2019-08-16,2.67,2.88,2.67,2.83,2.83,27600,0.04428044280442811
2019-08-19,2.81,2.86,2.68,2.84,2.84,13700,0.0035335689045936647
2019-08-20,2.89,3.0,2.89,2.98,2.98,166600,0.04929577464788748
2019-08-21,3.0,3.0,2.95,2.97,2.97,62600,-0.003355704697986517
2019-08-22,3.0,3.0,2.92,3.0,3.0,28000,0.010101010101009944
2019-08-23,2.97,2.97,2.87,2.87,2.87,15900,-0.043333333333333335
2019-08-26,2.92,2.92,2.82,2.82,2.82,8200,-0.017421602787456525
2019-08-27,2.9,2.9,2.82,2.82,2.82,37200,0.0
2019-08-28,2.81,2.83,2.77,2.79,2.79,15700,-0.010638297872340385
2019-08-29,2.83,2.84,2.76,2.77,2.77,5100,-0.007168458781361964
2019-08-30,2.75,2.78,2.73,2.78,2.78,14300,0.0036101083032489267
2019-09-03,2.87,2.87,2.76,2.76,2.76,24300,-0.007194244604316502
2019-09-04,2.77,2.8,2.77,2.8,2.8,3600,0.01449275362318847
2019-09-05,2.79,2.81,2.74,2.8,2.8,6500,0.0
2019-09-06,2.77,2.85,2.77,2.81,2.81,48500,0.0035714285714285587
2019-09-09,2.82,2.84,2.77,2.81,2.81,6000,0.0
2019-09-10,2.84,2.85,2.8,2.82,2.82,6600,0.003558718861209842
2019-09-11,2.85,2.85,2.76,2.84,2.84,35000,0.007092198581560183
2019-09-12,2.86,2.93,2.82,2.93,2.93,17300,0.03169014084507049
