Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2019-01-02,5.8,5.82,5.8,5.81,5.81,900,
2019-01-03,5.81,5.81,5.81,5.81,5.81,900,0.0
2019-01-04,5.81,5.818,5.25,5.754,5.754,4100,-0.009638554216867434
2019-01-07,5.81,5.9,5.81,5.9,5.9,1300,0.02537365311087947
2019-01-08,5.75,5.9,5.705,5.705,5.705,2600,-0.03305084745762721
2019-01-09,5.88,5.9,5.694,5.9,5.9,25400,0.034180543382997364
2019-01-10,5.48,5.78,5.48,5.78,5.78,31000,-0.02033898305084747
2019-01-11,5.7,5.817,5.7,5.817,5.817,1500,0.006401384083045025
2019-01-14,5.9,5.9,5.9,5.9,5.9,100,0.014268523293794022
2019-01-15,5.85,5.9,5.71,5.71,5.71,16100,-0.03220338983050852
2019-01-16,5.55,5.78,5.53,5.78,5.78,4600,0.012259194395796813
2019-01-17,5.75,5.85,5.72,5.72,5.72,3800,-0.01038062283737029
2019-01-18,5.77,6.0,5.54,5.99,5.99,12500,0.0472027972027973
2019-01-22,5.99,6.1,5.78,6.05,6.05,3800,0.01001669449081799
2019-01-23,5.9,6.05,5.9,6.05,6.05,2400,0.0
2019-01-24,5.94,6.21,5.7,6.21,6.21,12900,0.026446280991735627
2019-01-25,6.17,6.174,5.36,6.05,6.05,9900,-0.025764895330112725
2019-01-28,6.19,6.2,5.95,6.0,6.0,1200,-0.008264462809917328
2019-01-29,6.03,6.2,6.0,6.2,6.2,2400,0.03333333333333344
2019-01-30,6.154,6.154,6.0,6.0,6.0,2200,-0.032258064516129115
2019-01-31,6.15,6.2,6.1,6.2,6.2,4000,0.03333333333333344
2019-02-01,6.16,6.16,6.16,6.16,6.16,400,-0.006451612903225823
2019-02-04,6.17,6.17,6.1,6.1,6.1,15600,-0.009740259740259827
2019-02-05,5.94,6.16,5.76,6.16,6.16,2500,0.009836065573770592
2019-02-06,6.17,6.2,6.16,6.2,6.2,10800,0.006493506493506551
2019-02-07,6.22,6.5,6.209,6.35,6.35,8200,0.024193548387096753
2019-02-08,6.5,6.5,6.0,6.2,6.2,2900,-0.023622047244094446
2019-02-11,6.18,6.38,6.008,6.19,6.19,3400,-0.001612903225806428
2019-02-12,6.22,6.3,6.18,6.3,6.3,800,0.017770597738287375
2019-02-13,6.24,6.3,6.2,6.3,6.3,7700,0.0
2019-02-14,6.167,6.32,6.11,6.32,6.32,5700,0.0031746031746031633
2019-02-15,6.35,6.35,6.0,6.35,6.35,2300,0.004746835443037778
2019-02-19,6.38,6.38,6.325,6.34,6.34,3100,-0.0015748031496062298
2019-02-20,6.37,6.38,6.094,6.38,6.38,3500,0.006309148264984188
2019-02-21,6.3,6.3,6.06,6.3,6.3,5500,-0.012539184952978122
