Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2019-01-02,1.15,1.39,1.15,1.39,1.39,11000,
2019-01-03,1.37,1.53,1.25,1.25,1.25,2200,-0.10071942446043158
2019-01-04,1.34,1.37,1.26,1.33,1.33,3800,0.06400000000000006
2019-01-07,1.5,1.5,1.45,1.45,1.45,3400,0.09022556390977443
2019-01-08,1.46,1.65,1.45,1.56,1.56,16900,0.07586206896551739
2019-01-09,1.65,1.73,1.65,1.73,1.73,18700,0.10897435897435903
2019-01-10,1.75,2.07,1.75,1.98,1.98,4900,0.1445086705202312
2019-01-11,1.92,1.92,1.76,1.84,1.84,3000,-0.07070707070707061
2019-01-14,1.84,1.84,1.71,1.71,1.71,6900,-0.07065217391304357
2019-01-15,1.71,1.71,1.53,1.53,1.53,1100,-0.10526315789473684
2019-01-16,1.68,1.68,1.61,1.65,1.65,30000,0.07843137254901955
2019-01-17,1.69,1.72,1.62,1.62,1.62,3000,-0.018181818181818077
2019-01-18,1.68,1.77,1.68,1.72,1.72,13400,0.061728395061728225
2019-01-22,1.74,1.78,1.73,1.73,1.73,6600,0.005813953488372103
2019-01-23,1.75,1.88,1.75,1.85,1.85,45100,0.06936416184971095
2019-01-24,1.8,1.88,1.71,1.81,1.81,10800,-0.021621621621621623
2019-01-25,1.76,1.76,1.55,1.63,1.63,3100,-0.09944751381215478
2019-01-28,1.71,1.71,1.61,1.61,1.61,1200,-0.012269938650306678
2019-01-29,1.58,1.58,1.53,1.54,1.54,6100,-0.0434782608695653
2019-01-30,1.56,1.58,1.46,1.47,1.47,5800,-0.045454545454545525
2019-01-31,1.47,1.56,1.4,1.4,1.4,5100,-0.04761904761904767
2019-02-01,1.4,1.41,1.39,1.4,1.4,4400,0.0
2019-02-04,1.41,1.57,1.37,1.52,1.52,7600,0.08571428571428585
2019-02-05,1.61,1.65,1.54,1.55,1.55,3500,0.019736842105263275
2019-02-06,1.6,1.6,1.55,1.55,1.55,3000,0.0
2019-02-07,1.64,1.65,1.57,1.65,1.65,5200,0.06451612903225801
2019-02-08,1.65,1.7,1.63,1.63,1.63,2600,-0.012121212121212088
2019-02-11,1.7,1.73,1.65,1.68,1.68,6700,0.030674846625766916
2019-02-12,1.84,1.84,1.7,1.7,1.7,6800,0.011904761904761862
2019-02-13,1.75,1.75,1.61,1.62,1.62,139000,-0.04705882352941171
2019-02-14,1.74,1.74,1.46,1.61,1.61,31400,-0.006172839506172867
2019-02-15,1.6,1.65,1.6,1.6,1.6,20600,-0.006211180124223614
2019-02-19,1.61,1.66,1.6,1.65,1.65,21200,0.031249999999999778
2019-02-20,1.83,1.83,1.47,1.47,1.47,7000,-0.10909090909090902
2019-02-21,1.5,1.7,1.5,1.66,1.66,48900,0.12925170068027203
2019-02-22,1.65,1.71,1.63,1.64,1.64,18600,-0.012048192771084376
2019-02-25,1.64,1.75,1.53,1.67,1.67,18200,0.018292682926829285
2019-02-26,1.67,1.85,1.67,1.7,1.7,11300,0.017964071856287456
2019-02-27,1.7,1.7,1.7,1.7,1.7,200,0.0
2019-02-28,1.95,1.95,1.65,1.65,1.65,19700,-0.02941176470588236
2019-03-01,1.66,1.71,1.59,1.62,1.62,51900,-0.018181818181818077
2019-03-04,1.66,1.8,1.61,1.64,1.64,4800,0.012345679012345512
2019-03-05,1.84,1.94,1.65,1.65,1.65,4500,0.0060975609756097615
2019-03-06,1.44,1.61,1.4,1.4,1.4,56800,-0.1515151515151515
2019-03-07,1.39,1.81,1.39,1.55,1.55,24400,0.1071428571428572
2019-03-08,1.55,1.66,1.51,1.6,1.6,11200,0.032258064516129004
2019-03-11,1.79,1.85,1.55,1.76,1.76,25100,0.09999999999999987
2019-03-12,1.79,1.85,1.76,1.78,1.78,37100,0.011363636363636465
2019-03-13,1.85,2.12,1.84,1.91,1.91,189600,0.07303370786516838
2019-03-14,1.92,2.06,1.81,1.91,1.91,24500,0.0
2019-03-15,1.91,2.03,1.85,1.93,1.93,19300,0.010471204188481575
2019-03-18,1.92,1.96,1.77,1.87,1.87,35100,-0.031088082901554293
2019-03-19,1.86,2.0,1.81,1.81,1.81,34700,-0.03208556149732622
2019-03-20,1.79,1.98,1.79,1.85,1.85,29800,0.022099447513812098
2019-03-21,1.86,1.99,1.84,1.94,1.94,47400,0.048648648648648596
2019-03-22,1.95,1.95,1.81,1.89,1.89,3300,-0.02577319587628868
2019-03-25,1.91,1.96,1.82,1.9,1.9,14800,0.005291005291005346
2019-03-26,1.99,1.99,1.89,1.9,1.9,700,0.0
2019-03-27,1.72,1.89,1.72,1.87,1.87,18900,-0.015789473684210464
2019-03-28,1.81,1.96,1.69,1.69,1.69,26400,-0.09625668449197866
2019-03-29,1.7,1.8,1.69,1.75,1.75,8500,0.035502958579881616
2019-04-01,1.81,1.98,1.79,1.97,1.97,31400,0.12571428571428567
2019-04-02,1.92,1.93,1.78,1.81,1.81,5500,-0.08121827411167504
2019-04-03,1.82,1.9,1.73,1.73,1.73,15000,-0.04419889502762431
2019-04-04,1.75,2.01,1.75,1.95,1.95,45100,0.12716763005780352
2019-04-05,1.97,2.05,1.89,1.96,1.96,35400,0.00512820512820511
2019-04-08,1.94,2.11,1.91,2.05,2.05,32400,0.04591836734693877
2019-04-09,2.06,2.15,1.82,2.0,2.0,34600,-0.024390243902438935
2019-04-10,1.99,2.11,1.99,2.0,2.0,21800,0.0
2019-04-11,2.02,2.22,2.02,2.06,2.06,40600,0.030000000000000027
2019-04-12,2.1,2.18,1.96,2.05,2.05,44600,-0.004854368932038944
