Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2019-01-02,4.68,4.74,4.68,4.73,4.73,6100,
2019-01-03,4.73,4.78,4.73,4.78,4.78,11500,0.010570824524312794
2019-01-04,4.78,4.78,4.76,4.78,4.78,7500,0.0
2019-01-07,4.78,4.79,4.76,4.79,4.79,54200,0.0020920502092049986
2019-01-08,4.79,4.79,4.75,4.75,4.75,12100,-0.008350730688935326
2019-01-09,4.75,4.79,4.75,4.79,4.79,24100,0.008421052631578885
2019-01-10,4.74,4.78,4.74,4.77,4.77,10200,-0.0041753653444677186
2019-01-11,4.77,4.77,4.73,4.77,4.77,3200,0.0
2019-01-14,4.71,4.77,4.7,4.77,4.77,13300,0.0
2019-01-15,4.76,4.77,4.74,4.75,4.75,3500,-0.004192872117400381
2019-01-16,4.72,4.76,4.71,4.76,4.76,5600,0.00210526315789461
2019-01-17,4.72,4.75,4.65,4.73,4.73,7100,-0.006302521008403228
2019-01-18,4.73,4.73,4.55,4.7,4.7,11200,-0.00634249471458781
2019-01-22,4.62,4.64,4.57,4.58,4.58,5300,-0.025531914893617058
2019-01-23,4.56,4.6,4.0,4.6,4.6,53400,0.004366812227074135
2019-01-24,4.55,4.72,4.29,4.72,4.72,29300,0.026086956521739202
2019-01-25,4.65,4.7,4.5,4.67,4.67,20300,-0.010593220338983023
2019-01-28,4.58,4.74,4.58,4.74,4.74,18000,0.014989293361884481
2019-01-29,4.76,4.76,4.67,4.73,4.73,7900,-0.002109704641350185
2019-01-30,4.65,4.71,4.64,4.69,4.69,7200,-0.008456659619450302
2019-01-31,4.62,4.7,4.62,4.7,4.7,3400,0.002132196162046851
2019-02-01,4.62,4.7,4.62,4.7,4.7,1400,0.0
2019-02-04,4.7,4.71,4.66,4.68,4.68,16400,-0.004255319148936287
2019-02-05,4.57,4.7,4.57,4.67,4.67,4400,-0.002136752136752129
2019-02-06,4.7,4.71,4.63,4.71,4.71,4000,0.008565310492505418
2019-02-07,4.71,4.71,4.69,4.7,4.7,1200,-0.002123142250530785
2019-02-08,4.64,4.7,4.64,4.65,4.65,3100,-0.010638297872340385
2019-02-11,4.51,4.65,4.49,4.51,4.51,14000,-0.03010752688172058
2019-02-12,4.55,4.71,4.43,4.71,4.71,33300,0.04434589800443467
2019-02-13,4.71,4.73,4.7,4.73,4.73,17700,0.00424628450106157
2019-02-14,4.71,4.73,4.69,4.7,4.7,6300,-0.00634249471458781
2019-02-15,4.7,4.75,4.69,4.7,4.7,20200,0.0
2019-02-19,4.7,4.7,4.65,4.7,4.7,1900,0.0
2019-02-20,4.69,4.7,4.67,4.7,4.7,3300,0.0
2019-02-21,4.67,4.7,4.58,4.7,4.7,6500,0.0
2019-02-22,4.62,4.71,4.62,4.71,4.71,16900,0.0021276595744681437
2019-02-25,4.67,4.68,4.57,4.68,4.68,4100,-0.006369426751592355
2019-02-26,4.6,4.66,4.6,4.66,4.66,2400,-0.004273504273504147
2019-02-27,4.58,4.7,4.55,4.7,4.7,8200,0.008583690987124415
2019-02-28,4.63,4.7,4.63,4.7,4.7,1600,0.0
2019-03-01,4.7,4.7,4.7,4.7,4.7,1100,0.0
2019-03-04,4.6,4.6,4.53,4.53,4.53,6900,-0.036170212765957444
2019-03-05,4.56,4.6,4.42,4.6,4.6,6600,0.015452538631346435
2019-03-06,4.49,4.6,4.45,4.55,4.55,5300,-0.010869565217391242
2019-03-07,4.5,4.59,4.46,4.5,4.5,6100,-0.01098901098901095
2019-03-08,4.48,4.5,4.47,4.5,4.5,1800,0.0
2019-03-11,4.46,4.49,4.41,4.47,4.47,9500,-0.00666666666666671
2019-03-12,4.45,4.47,4.45,4.45,4.45,111500,-0.004474272930648726
2019-03-13,4.45,4.49,4.44,4.46,4.46,6200,0.0022471910112358273
2019-03-14,4.46,4.46,4.45,4.45,4.45,1400,-0.0022421524663677195
2019-03-15,4.4,4.51,4.4,4.51,4.51,5000,0.01348314606741563
2019-03-18,4.55,4.6,4.43,4.6,4.6,23600,0.019955654101995624
2019-03-19,4.55,4.55,4.42,4.52,4.52,14500,-0.017391304347826098
2019-03-20,4.51,4.52,4.49,4.5,4.5,10400,-0.004424778761061843
2019-03-21,4.75,4.85,4.51,4.8,4.8,430600,0.06666666666666665
2019-03-22,4.74,4.85,4.74,4.85,4.85,75700,0.01041666666666674
2019-03-25,4.89,4.89,4.77,4.82,4.82,26800,-0.006185567010309145
2019-03-26,4.85,4.85,4.79,4.81,4.81,153100,-0.0020746887966806016
2019-03-27,4.76,4.87,4.75,4.86,4.86,51700,0.010395010395010562
2019-03-28,4.9,4.95,4.87,4.95,4.95,163800,0.01851851851851838
2019-03-29,4.99,4.99,4.42,4.97,4.97,160500,0.004040404040403844
2019-04-01,4.73,5.0,4.6,4.93,4.93,96700,-0.008048289738430636
2019-04-02,4.89,4.89,4.76,4.87,4.87,21600,-0.012170385395537497
2019-04-03,4.87,4.98,4.79,4.97,4.97,23400,0.02053388090349073
2019-04-04,4.96,4.96,4.87,4.93,4.93,20700,-0.008048289738430636
2019-04-05,4.93,4.96,4.93,4.96,4.96,14400,0.006085192697768749
2019-04-08,4.9,4.97,4.83,4.97,4.97,43600,0.002016129032258007
