Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2019-01-02,1.03,1.09,1.02,1.07,1.07,186200,
2019-01-03,1.06,1.08,0.88,0.92,0.92,320800,-0.14018691588785048
2019-01-04,0.93,0.95,0.87,0.91,0.91,128100,-0.010869565217391353
2019-01-07,0.88,0.98,0.88,0.95,0.95,104000,0.0439560439560438
2019-01-08,0.96,1.01,0.88,0.89,0.89,685400,-0.06315789473684208
2019-01-09,0.89,0.94,0.85,0.88,0.88,274800,-0.011235955056179803
2019-01-10,0.89,0.92,0.89,0.9,0.9,50200,0.022727272727272707
2019-01-11,0.92,0.93,0.91,0.92,0.92,32700,0.022222222222222143
2019-01-14,0.92,0.98,0.92,0.95,0.95,87800,0.032608695652173836
2019-01-15,0.99,1.0,0.88,0.92,0.92,174400,-0.03157894736842093
2019-01-16,0.92,0.97,0.92,0.92,0.92,71900,0.0
2019-01-17,0.94,0.95,0.89,0.89,0.89,138500,-0.03260869565217395
2019-01-18,0.91,0.94,0.88,0.89,0.89,40800,0.0
2019-01-22,0.92,0.92,0.87,0.88,0.88,33200,-0.011235955056179803
2019-01-23,0.92,0.92,0.84,0.87,0.87,112200,-0.011363636363636354
2019-01-24,0.86,0.91,0.85,0.9,0.9,70400,0.034482758620689724
2019-01-25,0.9,0.94,0.86,0.86,0.86,88800,-0.04444444444444451
2019-01-28,0.89,0.93,0.87,0.89,0.89,118000,0.03488372093023262
2019-01-29,0.92,0.92,0.89,0.91,0.91,19400,0.022471910112359605
2019-01-30,0.91,0.91,0.87,0.88,0.88,30500,-0.03296703296703296
2019-01-31,0.87,0.9,0.84,0.84,0.84,101100,-0.045454545454545525
2019-02-01,0.9,0.9,0.84,0.84,0.84,26500,0.0
2019-02-04,0.85,0.9,0.81,0.82,0.82,85300,-0.023809523809523836
2019-02-05,0.82,0.82,0.8,0.8,0.8,104800,-0.024390243902438935
2019-02-06,0.8,0.83,0.8,0.81,0.81,127100,0.012499999999999956
2019-02-07,0.8,0.82,0.8,0.81,0.81,38400,0.0
2019-02-08,0.82,0.82,0.8,0.8,0.8,33000,-0.012345679012345734
2019-02-11,0.8,0.83,0.8,0.8,0.8,24900,0.0
2019-02-12,0.81,0.82,0.8,0.81,0.81,37900,0.012499999999999956
2019-02-13,0.79,0.85,0.79,0.82,0.82,37300,0.012345679012345512
2019-02-14,0.82,0.83,0.79,0.81,0.81,29100,-0.012195121951219412
2019-02-15,0.79,0.83,0.79,0.82,0.82,48700,0.012345679012345512
2019-02-19,0.83,0.83,0.8,0.82,0.82,39300,0.0
2019-02-20,0.83,0.83,0.8,0.8,0.8,26800,-0.024390243902438935
2019-02-21,0.8,0.82,0.8,0.81,0.81,45400,0.012499999999999956
2019-02-22,0.82,0.82,0.8,0.82,0.82,75800,0.012345679012345512
2019-02-25,0.83,0.85,0.8,0.83,0.83,41800,0.012195121951219523
2019-02-26,0.82,0.85,0.81,0.82,0.82,73800,-0.012048192771084376
2019-02-27,0.82,0.87,0.82,0.85,0.85,53100,0.03658536585365857
2019-02-28,0.83,0.95,0.83,0.88,0.88,143500,0.03529411764705892
2019-03-01,0.86,0.88,0.86,0.86,0.86,110300,-0.022727272727272707
2019-03-04,0.9,0.95,0.9,0.91,0.91,23900,0.058139534883721034
2019-03-05,0.94,0.94,0.86,0.87,0.87,55500,-0.04395604395604402
2019-03-06,0.87,0.88,0.86,0.86,0.86,27600,-0.011494252873563204
2019-03-07,0.86,0.9,0.86,0.86,0.86,38200,0.0
2019-03-08,0.86,0.88,0.86,0.87,0.87,14400,0.011627906976744207
2019-03-11,0.87,0.89,0.87,0.88,0.88,35600,0.011494252873563315
2019-03-12,0.89,0.91,0.86,0.89,0.89,37700,0.011363636363636465
2019-03-13,0.9,0.94,0.89,0.92,0.92,28700,0.03370786516853941
2019-03-14,0.95,0.95,0.9,0.93,0.93,12300,0.010869565217391353
2019-03-15,0.92,0.92,0.89,0.89,0.89,32400,-0.043010752688172116
2019-03-18,0.9,0.95,0.89,0.89,0.89,44500,0.0
2019-03-19,0.9,0.93,0.88,0.88,0.88,63200,-0.011235955056179803
2019-03-20,0.9,0.92,0.88,0.9,0.9,64600,0.022727272727272707
2019-03-21,0.88,0.91,0.88,0.88,0.88,58400,-0.022222222222222254
2019-03-22,0.9,0.92,0.86,0.89,0.89,85300,0.011363636363636465
2019-03-25,0.89,0.92,0.86,0.87,0.87,81900,-0.022471910112359605
2019-03-26,0.86,0.9,0.86,0.86,0.86,12800,-0.011494252873563204
2019-03-27,0.86,0.9,0.83,0.9,0.9,40200,0.04651162790697683
2019-03-28,0.85,0.9,0.83,0.83,0.83,43100,-0.07777777777777783
2019-03-29,0.87,0.87,0.83,0.83,0.83,91200,0.0
2019-04-01,0.85,0.85,0.76,0.8,0.8,244700,-0.036144578313252906
2019-04-02,0.8,0.8,0.78,0.8,0.8,34100,0.0
2019-04-03,0.8,0.8,0.77,0.78,0.78,102200,-0.025000000000000022
2019-04-04,0.61,0.61,0.53,0.58,0.58,2688800,-0.2564102564102565
2019-04-05,0.58,0.6,0.54,0.55,0.55,476400,-0.051724137931034364
2019-04-08,0.55,0.57,0.51,0.55,0.55,463900,0.0
2019-04-09,0.55,0.7,0.55,0.61,0.61,334000,0.1090909090909089
2019-04-10,0.62,0.63,0.6,0.6,0.6,146700,-0.016393442622950838
2019-04-11,0.57,0.62,0.55,0.6,0.6,139300,0.0
