Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2019-01-02,14.06,14.82,13.53,14.82,14.82,36600,
2019-01-03,14.54,14.8,13.59,13.59,13.59,35900,-0.08299595141700411
2019-01-04,14.08,14.35,13.62,13.84,13.84,32200,0.01839587932303166
2019-01-07,14.0,14.45,13.62,14.41,14.41,42300,0.04118497109826591
2019-01-08,14.43,14.5,13.8,14.5,14.5,21000,0.006245662734212232
2019-01-09,14.05,14.35,13.77,13.92,13.92,66100,-0.040000000000000036
2019-01-10,13.71,14.05,13.5,13.9,13.9,14600,-0.001436781609195359
2019-01-11,13.85,14.5,13.63,14.49,14.49,36600,0.04244604316546763
2019-01-14,14.4,14.59,14.06,14.5,14.5,22300,0.0006901311249136732
2019-01-15,14.42,14.5,14.11,14.5,14.5,37000,0.0
2019-01-16,14.5,14.89,14.17,14.83,14.83,39600,0.022758620689655285
2019-01-17,14.881,14.892,14.07,14.54,14.54,64200,-0.019554956169925863
2019-01-18,14.61,14.61,14.14,14.2,14.2,30900,-0.023383768913342484
2019-01-22,14.25,14.395,13.67,13.8,13.8,36100,-0.028169014084506894
2019-01-23,13.72,13.78,13.427,13.73,13.73,12600,-0.005072463768115987
2019-01-24,13.77,13.77,13.385,13.5,13.5,8400,-0.016751638747268816
2019-01-25,13.6,13.73,13.22,13.59,13.59,13700,0.006666666666666599
2019-01-28,13.51,13.63,13.22,13.63,13.63,11400,0.0029433406916852256
2019-01-29,13.69,13.69,12.9,13.31,13.31,46300,-0.023477622890682337
2019-01-30,13.41,13.5,13.09,13.43,13.43,10500,0.009015777610818843
2019-01-31,13.289,13.68,13.253,13.68,13.68,5400,0.01861504095309008
2019-02-01,13.65,14.4,13.65,14.4,14.4,17900,0.05263157894736836
2019-02-04,14.21,14.285,13.99,14.1,14.1,16000,-0.02083333333333337
2019-02-05,14.04,14.33,13.84,13.84,13.84,28200,-0.018439716312056764
2019-02-06,13.67,14.015,13.67,13.93,13.93,22400,0.006502890173410325
2019-02-07,13.92,13.95,13.12,13.34,13.34,22500,-0.04235463029432873
2019-02-08,13.46,13.46,12.76,12.76,12.76,12100,-0.04347826086956519
2019-02-11,12.6,13.01,12.6,12.77,12.77,8000,0.0007836990595611049
2019-02-12,12.81,13.06,12.567,12.91,12.91,7300,0.010963194988253822
2019-02-13,12.71,13.03,12.71,13.03,13.03,8800,0.00929512006196731
2019-02-14,12.95,13.25,12.95,13.1,13.1,10200,0.005372217958557135
2019-02-15,13.31,13.47,13.01,13.27,13.27,12700,0.012977099236641143
2019-02-19,13.08,14.08,13.08,13.88,13.88,20900,0.04596834966088936
2019-02-20,14.0,14.23,13.06,13.06,13.06,10700,-0.05907780979827093
2019-02-21,13.29,13.66,13.08,13.66,13.66,6000,0.04594180704441042
2019-02-22,14.39,14.39,13.42,13.6,13.6,12800,-0.004392386530014725
2019-02-25,13.215,13.415,13.215,13.22,13.22,5900,-0.027941176470588136
2019-02-26,13.31,13.6,13.31,13.33,13.33,3900,0.00832072617246582
2019-02-27,13.42,13.6,13.32,13.6,13.6,3100,0.02025506376594155
2019-02-28,13.56,13.58,12.86,12.97,12.97,17100,-0.04632352941176465
2019-03-01,12.94,13.08,12.62,12.88,12.88,24400,-0.006939090208172738
2019-03-04,12.78,12.871,11.604,12.05,12.05,38300,-0.06444099378881984
2019-03-05,12.32,13.0,12.313,12.83,12.83,22100,0.06473029045643153
2019-03-06,12.82,12.82,12.29,12.71,12.71,10900,-0.009353078721745844
2019-03-07,12.7,12.7,12.248,12.54,12.54,10200,-0.013375295043273172
2019-03-08,12.31,12.65,12.25,12.36,12.36,9800,-0.014354066985645897
2019-03-11,12.51,12.61,12.22,12.35,12.35,10500,-0.0008090614886731018
2019-03-12,12.35,12.56,12.313,12.4,12.4,21200,0.004048582995951566
2019-03-13,12.653,12.96,12.49,12.7,12.7,10200,0.024193548387096753
2019-03-14,12.7,12.7,12.42,12.42,12.42,15400,-0.022047244094488105
2019-03-15,12.3,13.69,12.3,13.6,13.6,86300,0.09500805152979064
2019-03-18,13.26,13.27,12.8,12.98,12.98,22600,-0.045588235294117596
2019-03-19,13.04,13.2,12.8,12.91,12.91,11800,-0.005392912172573205
2019-03-20,12.91,13.2,12.54,13.1,13.1,25300,0.014717273431448463
2019-03-21,13.0,13.1,12.45,13.0,13.0,29400,-0.007633587786259555
2019-03-22,12.79,13.03,12.65,13.01,13.01,31000,0.0007692307692308553
2019-03-25,12.937,12.937,12.6,12.78,12.78,17700,-0.017678708685626487
2019-03-26,12.8,13.23,12.8,13.23,13.23,13100,0.03521126760563398
