Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2019-01-02,10.73,11.1,10.73,11.08,9.633705,50700,
2019-01-03,10.97,11.33,10.88,11.33,9.851074,88400,0.022563385530281366
2019-01-04,11.47,11.61,11.07,11.44,9.946713,42700,0.009708484577417575
2019-01-07,11.44,11.74,11.44,11.68,10.155386,35500,0.02097909128372355
2019-01-08,11.76,11.96,11.4,11.56,10.051052,82300,-0.010273760150525058
2019-01-09,11.65,11.83,11.62,11.75,10.216249000000001,47200,0.01643579199470868
2019-01-10,11.76,12.04,11.65,11.92,10.364058,33900,0.014468030291743927
2019-01-11,11.81,11.93,11.74,11.85,10.303197,23800,-0.005872313721131173
2019-01-14,11.9,11.95,11.87,11.91,10.355363,25700,0.005063088670438809
2019-01-15,11.99,11.99,11.78,11.84,10.294501,46300,-0.005877341045408047
2019-01-16,11.89,12.05,11.89,12.05,10.477089,78400,0.017736459494248402
2019-01-17,12.05,12.12,11.93,11.98,10.416226,66700,-0.005809151759615605
2019-01-18,11.96,12.1,11.92,11.98,10.507442,41900,0.008757106460631547
2019-01-22,11.93,11.95,11.78,11.81,10.358338999999999,44400,-0.014190228221102719
2019-01-23,11.88,11.93,11.74,11.83,10.375879,29600,0.0016933216802423878
2019-01-24,11.92,11.96,11.8,11.96,10.4899,26800,0.010989044879956777
2019-01-25,11.96,12.05,11.93,12.02,10.542525999999999,16500,0.005016825708538564
2019-01-28,12.04,12.04,11.93,11.96,10.4899,26800,-0.0049917828042348455
2019-01-29,12.03,12.09,11.96,12.08,10.59515,19200,0.010033460757490564
2019-01-30,12.19,12.19,11.98,12.15,10.656549,49600,0.005795009980981813
2019-01-31,12.16,12.39,12.16,12.3,10.788110000000001,27700,0.01234555389366676
2019-02-01,12.3,12.68,12.3,12.4,10.875816,43400,0.008129876317538365
2019-02-04,12.44,12.57,12.44,12.44,10.9109,30700,0.003225872890824766
2019-02-05,12.44,12.56,12.43,12.53,10.989839,34900,0.007234875216526548
2019-02-06,12.52,12.57,12.49,12.55,11.007379,33500,0.0015960197415085808
2019-02-07,12.58,12.6,12.42,12.51,10.972294999999999,29100,-0.00318731643563841
2019-02-08,12.44,12.5,12.2,12.21,10.709171000000001,62200,-0.023980762456714655
2019-02-11,12.17,12.28,12.17,12.26,10.753025,17200,0.0040949948413371295
2019-02-12,12.22,12.43,12.22,12.4,10.875816,27600,0.011419205293394352
2019-02-13,12.44,12.48,12.39,12.44,10.9109,29000,0.003225872890824766
2019-02-14,12.37,12.53,12.37,12.52,10.981066,28700,0.00643081688953262
2019-02-15,12.51,12.54,12.43,12.54,11.092523,32600,0.010149925335117604
2019-02-19,12.6,12.61,12.44,12.51,11.065985000000001,46300,-0.0023924223551304857
2019-02-20,12.59,12.67,12.55,12.62,11.163289,25900,0.0087930717419189
2019-02-21,12.68,12.69,12.57,12.62,11.163289,16800,0.0
2019-02-22,12.75,12.77,12.69,12.72,11.251747,26100,0.007924008775549884
2019-02-25,12.72,12.87,12.72,12.8,11.322513,57000,0.006289334447352912
2019-02-26,12.84,12.88,12.82,12.85,11.366739,26500,0.0039060233359855534
2019-02-27,12.84,12.87,12.77,12.87,11.384433999999999,17600,0.0015567349615397408
2019-02-28,12.82,12.85,12.71,12.71,11.242901,25200,-0.012432150777104911
2019-03-01,12.73,12.82,12.73,12.81,11.331357,29300,0.007867720261879096
2019-03-04,12.89,12.9,12.75,12.83,11.349049,31600,0.0015613310921189782
2019-03-05,12.83,12.92,12.82,12.9,11.410967999999999,32600,0.005455875642091046
2019-03-06,12.86,12.86,12.64,12.7,11.234053999999999,36400,-0.015503855588763327
2019-03-07,12.59,12.66,12.57,12.66,11.198672,21300,-0.003149530881727869
2019-03-08,12.66,12.66,12.51,12.65,11.189825,26900,-0.0007900043862343331
2019-03-11,12.78,13.0,12.66,12.84,11.357895,40800,0.01501989530667358
2019-03-12,12.87,12.97,12.85,12.92,11.428661,14700,0.006230555926076242
2019-03-13,13.01,13.13,12.89,12.98,11.481733,31100,0.004643763604502693
2019-03-14,12.94,12.99,12.88,12.95,11.455197,26600,-0.002311149370918142
2019-03-15,13.09,13.18,12.92,12.94,11.446351,46100,-0.0007722259163243095
2019-03-18,12.96,13.09,12.87,12.89,11.402124,55500,-0.0038638514579886207
2019-03-19,13.0,13.15,12.95,12.98,11.481733,60300,0.006981944767483705
2019-03-20,12.61,12.88,12.6,12.79,11.412403999999999,39200,-0.006038199982528858
2019-03-21,12.79,12.99,12.79,12.87,11.483788,24500,0.006254948562984808
2019-03-22,12.86,13.04,12.61,12.61,11.251791,41900,-0.020202131909784482
2019-03-25,12.6,12.6,12.51,12.56,11.207177,29000,-0.003965057651710846
2019-03-26,12.62,12.65,12.55,12.58,11.225022000000001,25000,0.0015922832306478618
2019-03-27,12.58,12.59,12.46,12.49,11.144716,42200,-0.007154195332534807
2019-03-28,12.44,12.58,12.44,12.58,11.225022000000001,33900,0.0072057466515971225
2019-03-29,12.64,12.76,12.64,12.69,11.323174,41300,0.008744036314583425
2019-04-01,12.84,12.88,12.7,12.88,11.492708,34200,0.014972303702124545
2019-04-02,12.85,12.87,12.79,12.79,11.412403999999999,50100,-0.006987387132780354
2019-04-03,12.8,12.9,12.79,12.89,11.501635,42000,0.007818773327688211
2019-04-04,12.81,12.93,12.81,12.9,11.510555,47000,0.0007755419120847318
2019-04-05,12.85,12.95,12.81,12.87,11.483788,49800,-0.002325430876269574
2019-04-08,12.88,12.99,12.81,12.97,11.573016,80600,0.007769910068001984
2019-04-09,12.95,12.95,12.8,12.8,11.421327999999999,57800,-0.013107041414269327
2019-04-10,12.79,12.91,12.79,12.88,11.492708,46300,0.0062497110668742195
2019-04-11,12.9,12.94,12.88,12.88,11.492708,29000,0.0
2019-04-12,13.0,13.02,12.92,12.96,11.564093,41700,0.006211329827574108
2019-04-15,13.04,13.09,12.91,13.02,11.61763,51800,0.0046295891947600865
2019-04-16,13.06,13.11,12.96,13.07,11.662246000000001,34600,0.0038403701959868197
2019-04-17,13.15,13.15,12.99,13.1,11.689013000000001,50000,0.0022951839637064264
2019-04-18,13.0,13.04,12.94,12.97,11.674344999999999,44100,-0.0012548535962789709
2019-04-22,12.98,12.98,12.82,12.94,11.647339,31100,-0.0023132775329149924
2019-04-23,12.95,13.1,12.92,13.05,11.746350999999999,47700,0.008500825810942692
2019-04-24,13.11,13.19,13.06,13.17,11.854364,33400,0.00919545142146716
2019-04-25,13.09,13.18,12.87,13.14,11.827361,62500,-0.0022778952966182597
2019-04-26,13.12,13.31,13.0,13.16,11.845362,18400,0.001521979417048236
2019-04-29,13.29,13.35,13.15,13.3,11.971375,26100,0.010638172138597302
2019-04-30,13.38,13.38,13.16,13.26,11.935373,20300,-0.003007340426642746
2019-05-01,13.35,13.55,13.31,13.42,12.079389,31300,0.012066317491711498
2019-05-02,13.15,13.49,13.15,13.35,12.016382,33900,-0.005216075084592542
2019-05-03,13.49,13.52,13.18,13.52,12.1694,24200,0.012734115809567292
2019-05-06,13.47,13.7,13.36,13.7,12.331417,23000,0.013313474781008194
2019-05-07,13.6,13.6,13.26,13.3,11.971375,31700,-0.029197131197493342
2019-05-08,13.43,13.48,13.35,13.43,12.088389999999999,19500,0.00977456641363239
2019-05-09,13.06,13.43,13.02,13.29,11.962375,31400,-0.010424465127283233
2019-05-10,13.38,13.51,13.25,13.51,12.160397999999999,20900,0.016553819789130397
2019-05-13,13.52,13.52,13.08,13.19,11.872365,38800,-0.023686149088212316
2019-05-14,13.18,13.3,13.17,13.3,11.971375,21200,0.008339534709385976
2019-05-15,13.3,13.3,13.15,13.24,11.917369,36500,-0.004511261237744146
2019-05-16,13.21,13.43,13.19,13.25,11.926371000000001,32100,0.0007553680682372832
2019-05-17,13.25,13.45,13.16,13.22,11.899367999999999,31900,-0.002264142210568698
2019-05-20,13.09,13.24,12.98,13.07,11.867678999999999,13500,-0.0026630826107739702
2019-05-21,13.01,13.25,13.01,13.13,11.92216,48400,0.00459070387731253
2019-05-22,13.03,13.18,13.0,13.03,11.831358999999999,27500,-0.007616153448704033
2019-05-23,12.95,13.02,12.85,12.92,11.731478,24500,-0.00844205640281892
2019-05-24,13.05,13.11,12.92,12.93,11.74056,20200,0.0007741565044063758
2019-05-28,12.89,13.1,12.73,12.76,11.586196000000001,49400,-0.013147924800861244
2019-05-29,12.63,12.85,12.39,12.59,11.431834,49300,-0.013322923244177831
2019-05-30,12.56,12.7,12.56,12.57,11.413674,30000,-0.001588546509685096
2019-05-31,12.47,12.51,12.4,12.46,11.313794,28600,-0.008750907026081278
2019-06-03,12.4,12.95,12.38,12.95,11.758718,86800,0.039325799992469435
2019-06-04,12.62,12.66,12.47,12.51,11.359195,82700,-0.033976748145503666
2019-06-05,12.65,12.75,12.49,12.75,11.577117,80100,0.019184634122400457
2019-06-06,12.57,12.68,12.41,12.58,11.422755,82600,-0.013333371339341094
2019-06-07,12.55,12.71,12.55,12.67,11.504475999999999,31900,0.007154228555195097
2019-06-10,12.79,12.82,12.76,12.81,11.631598,29600,0.011049786187567578
2019-06-11,12.79,12.88,12.71,12.75,11.577117,35900,-0.004683879205591657
2019-06-12,12.8,12.89,12.64,12.66,11.495395,26700,-0.0070589249465129456
2019-06-13,12.84,12.84,12.65,12.79,11.613437,31800,0.010268633657216641
2019-06-14,12.77,12.77,12.59,12.65,11.588335,21600,-0.0021614617619227783
2019-06-17,12.58,12.65,12.55,12.61,11.551692999999998,28500,-0.0031619727941936127
2019-06-18,12.76,12.87,12.65,12.8,11.725747,54500,0.01506740180854882
2019-06-19,12.78,12.87,12.7,12.85,11.771550999999999,28800,0.003906275651350599
2019-06-20,12.94,13.05,12.85,12.85,11.771550999999999,36700,0.0
2019-06-21,12.88,12.92,12.73,12.87,11.789873,22600,0.0015564643945391587
2019-06-24,12.92,12.93,12.65,12.65,11.588335,33800,-0.017094162083001185
2019-06-25,12.65,12.73,12.61,12.65,11.588335,35300,0.0
2019-06-26,12.75,12.75,12.61,12.67,11.606657,18200,0.0015810726907705686
2019-06-27,12.8,12.8,12.6,12.65,11.588335,22200,-0.0015785768460289118
2019-06-28,12.78,12.79,12.65,12.79,11.716586,18600,0.011067249954372027
2019-07-01,12.94,12.98,12.82,12.96,11.872319000000001,48700,0.013291670457588944
2019-07-02,13.07,13.07,12.83,12.98,11.890639,44300,0.0015430852220192914
2019-07-03,12.91,13.05,12.89,13.05,11.954765,24500,0.005392981823769016
2019-07-05,13.05,13.08,12.85,12.9,11.817354,40200,-0.011494245181733032
2019-07-08,12.87,12.98,12.72,12.88,11.799032,44200,-0.0015504316786989492
2019-07-09,12.88,12.91,12.68,12.71,11.6433,90200,-0.0131987098602665
2019-07-10,12.84,12.84,12.52,12.65,11.588335,75200,-0.00472074068348316
2019-07-11,12.67,12.76,12.61,12.76,11.689103999999999,61200,0.008695727211890159
2019-07-12,12.74,12.74,12.58,12.65,11.588335,54000,-0.008620763404962206
2019-07-15,12.61,12.77,12.61,12.76,11.689103999999999,49500,0.008695727211890159
2019-07-16,12.7,12.89,12.66,12.83,11.753229,48700,0.005485878130607746
2019-07-17,12.72,12.77,12.54,12.76,11.689103999999999,98200,-0.0054559474677129405
2019-07-18,12.79,12.79,12.6,12.73,11.661621,57000,-0.002351163955765845
2019-07-19,12.72,12.72,12.56,12.6,11.645448,21200,-0.0013868569386709106
2019-07-22,12.65,12.69,12.63,12.67,11.710144,19200,0.005555475409791066
2019-07-23,12.6,12.72,12.55,12.66,11.700901,62200,-0.0007893156565794701
2019-07-24,12.64,12.69,12.59,12.69,11.728629,24100,0.0023697320402933375
2019-07-25,12.75,12.75,12.5,12.51,11.562267,46100,-0.014184266549824298
2019-07-26,12.5,12.61,12.5,12.6,11.645448,58300,0.007194177404828972
2019-07-29,12.6,12.62,12.5,12.52,11.571508999999999,77700,-0.006349176090091224
2019-07-30,12.5,12.55,12.27,12.41,11.469842,72300,-0.008785975969080484
2019-07-31,12.41,12.47,12.3,12.37,11.43287,80500,-0.0032234097034641307
2019-08-01,12.35,12.4,12.17,12.21,11.284994000000001,69600,-0.01293428509201966
2019-08-02,12.2,12.27,11.76,12.05,11.137115,78300,-0.01310403886789846
2019-08-05,11.74,12.0,11.57,11.76,10.869085,118700,-0.02406637625632846
2019-08-06,12.01,12.1,11.85,12.06,11.146358,141400,0.025510243042537573
2019-08-07,11.9,11.93,11.63,11.93,11.026207000000001,88700,-0.010779395386367296
2019-08-08,11.88,12.09,11.81,12.09,11.174083999999999,75400,0.013411411557936237
2019-08-09,12.1,12.1,11.85,11.9,10.998479,43000,-0.0157153821288617
2019-08-12,11.91,12.16,11.89,11.95,11.044691,100200,0.004201671885721625
2019-08-13,11.96,12.14,11.87,12.04,11.127872,61300,0.007531310744682607
2019-08-14,11.88,12.16,11.78,11.82,10.924538,40200,-0.018272496304774122
2019-08-15,11.86,12.04,11.63,11.8,10.906054,163900,-0.0016919708641226494
2019-08-16,11.86,11.96,11.72,11.94,11.035447999999999,25200,0.011864419523321512
2019-08-19,11.96,12.06,11.93,11.97,11.063174,58800,0.0025124489735262046
2019-08-20,11.71,11.81,11.69,11.69,10.90938,69600,-0.013901435519318328
2019-08-21,11.83,11.86,11.73,11.77,10.984038,59400,0.006843468648080719
2019-08-22,11.78,11.9,11.68,11.78,10.993371,89800,0.0008496875192893771
2019-08-23,11.77,11.77,11.54,11.55,10.778729,57100,-0.019524675370275357
2019-08-26,11.72,11.74,11.57,11.66,10.881383,62000,0.009523757392916998
2019-08-27,11.6,11.66,11.52,11.58,10.806725,143300,-0.006861076390749177
2019-08-28,11.58,11.78,11.55,11.75,10.965373,54800,0.014680488307049488
2019-08-29,11.75,11.9,11.71,11.8,11.012035000000001,127000,0.004255395598490086
2019-08-30,11.7,11.7,11.49,11.61,10.834722,238400,-0.01610174686150212
2019-09-03,11.55,11.68,11.47,11.65,10.872050999999999,361000,0.0034453122101332223
2019-09-04,11.65,11.78,11.65,11.76,10.974707,33400,0.009442192646079484
2019-09-05,11.79,12.01,11.79,11.9,11.105357000000001,101400,0.011904645837014227
2019-09-06,11.88,12.07,11.88,11.99,11.189346,141300,0.007562926612804777
2019-09-09,11.97,12.07,11.9,11.94,11.142686,44200,-0.004170038177387814
2019-09-10,12.03,12.03,11.8,11.84,11.049362,59100,-0.008375359406161076
2019-09-11,11.95,11.96,11.85,11.87,11.07736,73000,0.002533901957416207
2019-09-12,11.86,11.91,11.85,11.85,11.058696000000001,46300,-0.001684877985368316
2019-09-13,11.92,11.95,11.88,11.91,11.114689,77600,0.005063255197538474
2019-09-16,11.9,11.93,11.84,11.88,11.086692999999999,80600,-0.002518828911902249
2019-09-17,11.91,11.97,11.84,11.87,11.07736,89500,-0.0008418200089059802
2019-09-18,11.93,11.95,11.82,11.93,11.133355,63200,0.005054904778755809
2019-09-19,11.85,11.93,11.75,11.78,11.096617,50500,-0.0032998139374877944
2019-09-20,11.83,11.87,11.65,11.73,11.049515,71100,-0.004244717106123508
2019-09-23,11.72,11.79,11.69,11.7,11.021255,85000,-0.002557578319048348
2019-09-24,11.64,11.75,11.63,11.66,10.983578,90500,-0.0034185761966309958
2019-09-25,11.61,11.75,11.6,11.64,10.964739999999999,47100,-0.0017151059518127898
2019-09-26,11.59,11.68,11.57,11.64,10.964739999999999,61100,0.0
2019-09-27,11.66,11.7,11.49,11.57,10.898797,54000,-0.006014096093477694
2019-09-30,11.53,11.65,11.48,11.5,10.832859,100900,-0.006050025521165403
2019-10-01,11.46,11.56,11.27,11.34,10.682141,96000,-0.013913039946333638
2019-10-02,11.31,11.34,11.1,11.22,10.569103,79200,-0.01058196105069198
2019-10-03,11.27,11.28,11.05,11.26,10.606783,60500,0.003565108600039224
2019-10-04,11.31,11.37,11.25,11.34,10.682141,87400,0.007104698945948007
2019-10-07,11.3,11.36,11.28,11.32,10.663300999999999,36500,-0.0017636913798461107
2019-10-08,11.29,11.3,11.17,11.26,10.606783,47800,-0.005300234889739963
2019-10-09,11.42,11.43,11.31,11.37,10.710402,53300,0.009769126039441023
2019-10-10,11.4,11.4,11.29,11.33,10.672721000000001,41800,-0.003518168599087046
2019-10-11,11.44,11.49,11.38,11.39,10.729241,55000,0.005295744168708039
2019-10-14,11.39,11.42,11.35,11.4,10.738660000000001,43100,0.0008778812965428706
2019-10-15,11.43,11.56,11.43,11.47,10.804601,38600,0.0061405240504865954
2019-10-16,11.49,11.52,11.42,11.52,10.851699,63200,0.004359068881858663
2019-10-17,11.68,11.68,11.52,11.57,10.898797,51300,0.004340149869619392
2019-10-18,11.38,11.46,11.26,11.45,10.886913,33000,-0.0010903955730160453
2019-10-21,11.38,11.52,11.38,11.46,10.896422,31000,0.0008734340028251353
2019-10-22,11.51,11.52,11.42,11.44,10.877405,18600,-0.0017452517899911868
2019-10-23,11.47,11.51,11.42,11.48,10.915439,42900,0.0034966060379291175
2019-10-24,11.5,11.52,11.43,11.43,10.867897,25300,-0.004355482175293135
2019-10-25,11.5,11.58,11.48,11.58,11.01052,39800,0.013123330116213028
2019-10-28,11.58,11.92,11.54,11.63,11.058063,61700,0.00431796136785545
2019-10-29,11.66,11.73,11.63,11.68,11.105602000000001,34900,0.004299035011828156
