Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2019-01-02,4.67,4.74,4.63,4.71,4.063331,72200,
2019-01-03,4.67,4.7,4.65,4.66,4.020194999999999,62700,-0.010615920780266408
2019-01-04,4.67,4.85,4.67,4.81,4.1496010000000005,81600,0.0321889858576514
2019-01-07,4.82,4.91,4.81,4.85,4.184108999999999,90700,0.008315980259306688
2019-01-08,4.91,5.02,4.89,5.01,4.322141,119400,0.03298958033837085
2019-01-09,5.01,5.13,5.01,5.12,4.417038,66400,0.021956016705609427
2019-01-10,5.26,5.27,5.14,5.21,4.494682,163600,0.017578295681404565
2019-01-11,5.2,5.31,5.19,5.22,4.503309,88600,0.00191937939102238
2019-01-14,5.2,5.24,5.13,5.14,4.434293,62900,-0.015325619450053174
2019-01-15,5.19,5.21,5.14,5.15,4.44292,45700,0.0019455187106489635
2019-01-16,5.16,5.19,5.1,5.13,4.4256660000000005,72400,-0.0038834820343376375
2019-01-17,5.1,5.15,5.07,5.11,4.408412,101900,-0.003898622263858176
2019-01-18,5.15,5.18,5.11,5.11,4.408412,78100,0.0
2019-01-22,5.1,5.11,5.02,5.03,4.339396,99900,-0.015655524029968282
2019-01-23,5.04,5.08,5.03,5.05,4.35665,74600,0.003976129396810135
2019-01-24,5.07,5.1,5.05,5.05,4.35665,53900,0.0
2019-01-25,5.1,5.17,5.07,5.14,4.434293,75800,0.017821720817600806
2019-01-28,5.12,5.16,5.11,5.14,4.434293,74900,0.0
2019-01-29,5.15,5.18,5.12,5.17,4.460173999999999,97400,0.005836556131946891
2019-01-30,5.17,5.29,5.15,5.25,4.52919,108600,0.015473835774120204
2019-01-31,5.25,5.28,5.22,5.28,4.555071,37400,0.005714266789425881
2019-02-01,5.28,5.3,5.26,5.26,4.5378169999999995,44700,-0.0037878663142683067
2019-02-04,5.25,5.34,5.25,5.31,4.580952,100300,0.009505672000435617
2019-02-05,5.34,5.37,5.32,5.33,4.598207,63700,0.0037666843049217746
2019-02-06,5.32,5.45,5.22,5.22,4.503309,74800,-0.02063804435076555
2019-02-07,5.27,5.42,5.23,5.25,4.52919,58400,0.005747107293770037
2019-02-08,5.25,5.29,5.23,5.23,4.511936,38300,-0.0038095111929504766
2019-02-11,5.21,5.3,5.21,5.24,4.520563,34400,0.0019120395324756512
2019-02-12,5.27,5.46,5.24,5.27,4.546444,103300,0.005725171842533738
2019-02-13,5.28,5.32,5.25,5.26,4.5378169999999995,35900,-0.0018975269463344935
2019-02-14,5.27,5.42,5.25,5.42,4.6758489999999995,90400,0.030418150401393396
2019-02-15,5.45,5.53,5.41,5.43,4.684476,35000,0.0018450125314142252
2019-02-19,5.46,5.59,5.43,5.55,4.788001,76900,0.02209959022097685
2019-02-20,5.51,5.54,5.48,5.48,4.727612000000001,76400,-0.012612570465210804
2019-02-21,5.47,5.47,5.28,5.33,4.598207,111400,-0.02737217013578952
2019-02-22,5.38,5.45,5.38,5.43,4.684476,39900,0.018761443319102344
2019-02-25,5.56,5.6,5.45,5.6,4.831136,52900,0.03130766386678041
2019-02-26,5.53,5.6,5.5,5.52,4.762119,68500,-0.014285873964218654
2019-02-27,5.53,5.59,5.5,5.5,4.744865,57200,-0.0036231769932670854
2019-02-28,5.5,5.5,5.41,5.46,4.710358,59700,-0.007272493527213042
2019-03-01,5.44,5.51,5.44,5.46,4.710358,29600,0.0
2019-03-04,5.54,5.56,5.47,5.49,4.736238,66300,0.005494274532848564
2019-03-05,5.48,5.51,5.4,5.42,4.6758489999999995,61200,-0.012750414991814285
2019-03-06,5.46,5.54,5.4,5.42,4.6758489999999995,42500,0.0
2019-03-07,5.41,5.43,5.37,5.37,4.632714,29200,-0.009225062657070349
2019-03-08,5.35,5.39,5.34,5.36,4.6240879999999995,39000,-0.001861975507229774
2019-03-11,5.35,5.48,5.35,5.43,4.684476,56500,0.01305944004525883
2019-03-12,5.42,5.43,5.36,5.36,4.6240879999999995,43200,-0.012891089633077502
2019-03-13,5.35,5.42,5.35,5.4,4.658595,49200,0.0074624444863506945
2019-03-14,5.37,5.41,5.36,5.41,4.667222,41000,0.001851845889157433
2019-03-15,5.4,5.46,5.4,5.44,4.693103,67900,0.00554526868445504
2019-03-18,5.47,5.48,5.42,5.42,4.6758489999999995,70300,-0.0036764588375751694
2019-03-19,5.47,5.51,5.45,5.47,4.718985,104900,0.009225276521975134
2019-03-20,5.28,5.4,5.28,5.31,4.710114,51900,-0.0018798534006783107
2019-03-21,5.32,5.37,5.3,5.34,4.736725,40500,0.005649757097174302
2019-03-22,5.31,5.31,5.16,5.21,4.621411,87800,-0.024344668520971724
2019-03-25,5.21,5.23,5.21,5.21,4.621411,39500,0.0
2019-03-26,5.19,5.25,5.19,5.22,4.630281,34400,0.0019193272357727054
2019-03-27,5.23,5.27,5.21,5.25,4.656893,68400,0.005747383366149883
2019-03-28,5.23,5.32,5.23,5.31,4.710114,65200,0.011428435224944966
2019-03-29,5.46,5.46,5.34,5.42,4.8076870000000005,130300,0.020715634483581713
2019-04-01,5.45,5.46,5.36,5.4,4.789947,64900,-0.0036899240736762984
2019-04-02,5.38,5.48,5.35,5.42,4.8076870000000005,35000,0.0037035900397228705
2019-04-03,5.48,5.53,5.38,5.5,4.87865,43400,0.014760320295393647
2019-04-04,5.45,5.49,5.37,5.37,4.763336,24600,-0.02363645680669868
2019-04-05,5.37,5.47,5.37,5.4,4.789947,22000,0.00558663088222211
2019-04-08,5.38,5.4,5.35,5.4,4.789947,14800,0.0
2019-04-09,5.38,5.45,5.38,5.43,4.8165569999999995,37600,0.005555385059584195
2019-04-10,5.45,5.45,5.4,5.45,4.834298,35000,0.0036833364579720307
2019-04-11,5.45,5.47,5.44,5.47,4.8520389999999995,25400,0.0036698192788278128
2019-04-12,5.5,5.5,5.47,5.47,4.8520389999999995,36400,0.0
2019-04-15,5.4,5.48,5.4,5.41,4.798817,39700,-0.010968996745491899
2019-04-16,5.46,5.48,5.44,5.46,4.843168,31500,0.009242069451700363
2019-04-17,5.5,5.5,5.43,5.47,4.8520389999999995,22000,0.0018316523399557472
2019-04-18,5.49,5.49,5.42,5.45,4.834298,24100,-0.0036564009481372395
2019-04-22,5.43,5.46,5.4,5.45,4.834298,13400,0.0
2019-04-23,5.43,5.45,5.41,5.43,4.8165569999999995,28700,-0.003669819278828257
2019-04-24,5.44,5.45,5.42,5.43,4.8165569999999995,27400,0.0
2019-04-25,5.4,5.44,5.38,5.38,4.772206,22300,-0.009208029719154132
2019-04-26,5.41,5.43,5.39,5.43,4.8165569999999995,24800,0.009293605514933745
2019-04-29,5.44,5.45,5.39,5.39,4.7810760000000005,46200,-0.007366465298759839
2019-04-30,5.36,5.39,5.36,5.36,4.754466000000001,28500,-0.005565692743641715
2019-05-01,5.38,5.41,5.36,5.39,4.7810760000000005,27100,0.00559684305240582
2019-05-02,5.37,5.38,5.35,5.35,4.745595,31000,-0.007421132816127773
2019-05-03,5.36,5.39,5.36,5.39,4.7810760000000005,42900,0.007476617789760942
2019-05-06,5.35,5.37,5.31,5.37,4.763336,44500,-0.0037104618290947355
2019-05-07,5.33,5.37,5.27,5.28,4.683504,29300,-0.01675968270976469
2019-05-08,5.3,5.31,5.28,5.28,4.683504,23400,0.0
2019-05-09,5.23,5.3,5.23,5.29,4.692374,36800,0.0018938811624800156
2019-05-10,5.32,5.35,5.28,5.31,4.710114,50900,0.003780602313455894
2019-05-13,5.24,5.28,5.23,5.23,4.639153,48600,-0.015065665077320767
2019-05-14,5.24,5.27,5.22,5.26,4.665763,34500,0.005735960853198829
2019-05-15,5.22,5.29,5.2,5.26,4.665763,27000,0.0
2019-05-16,5.26,5.34,5.25,5.29,4.692374,47500,0.0057034615774524955
2019-05-17,5.28,5.32,5.25,5.25,4.656893,29100,-0.007561417738654264
2019-05-20,5.36,5.42,5.36,5.41,4.798817,65700,0.030476113580449438
2019-05-21,5.43,5.45,5.38,5.41,4.798817,57800,0.0
2019-05-22,5.44,5.44,5.4,5.42,4.8076870000000005,30000,0.0018483722134019498
2019-05-23,5.4,5.42,5.39,5.4,4.789947,19300,-0.0036899240736762984
2019-05-24,5.4,5.45,5.4,5.43,4.8165569999999995,24700,0.005555385059584195
2019-05-28,5.41,5.43,5.4,5.4,4.789947,43400,-0.005524693261182212
2019-05-29,5.39,5.39,5.31,5.32,4.718985,57800,-0.014814777700045467
2019-05-30,5.31,5.36,5.31,5.32,4.718985,43700,0.0
2019-05-31,5.31,5.36,5.31,5.33,4.727855,22700,0.0018796414907018555
2019-06-03,5.37,5.37,5.29,5.29,4.692374,38600,-0.007504671780331651
2019-06-04,5.32,5.38,5.32,5.36,4.754466000000001,48100,0.013232534320580802
2019-06-05,5.33,5.41,5.33,5.35,4.745595,40600,-0.0018658246793648026
2019-06-06,5.39,5.39,5.34,5.36,4.754466000000001,62600,0.0018693124887396717
2019-06-07,5.39,5.43,5.39,5.41,4.798817,60700,0.009328282082572192
2019-06-10,5.44,5.44,5.39,5.42,4.8076870000000005,193300,0.0018483722134019498
2019-06-11,5.45,5.48,5.44,5.45,4.834298,29000,0.005535094110743932
2019-06-12,5.45,5.46,5.41,5.41,4.798817,21100,-0.007339431702390042
2019-06-13,5.42,5.45,5.41,5.42,4.8076870000000005,31900,0.0018483722134019498
2019-06-14,5.42,5.45,5.42,5.42,4.8076870000000005,40500,0.0
2019-06-17,5.42,5.43,5.41,5.41,4.798817,59800,-0.0018449620368382602
2019-06-18,5.42,5.48,5.42,5.45,4.834298,34000,0.0073936972382986355
2019-06-19,5.45,5.5,5.44,5.45,4.834298,87100,0.0
2019-06-20,5.37,5.42,5.37,5.38,4.898027,45100,0.013182679263876507
2019-06-21,5.37,5.38,5.32,5.34,4.86161,54200,-0.007435034555750786
2019-06-24,5.36,5.42,5.36,5.39,4.907131,45300,0.009363359051836717
2019-06-25,5.39,5.41,5.34,5.36,4.879819,29500,-0.005565777640743508
2019-06-26,5.34,5.42,5.34,5.37,4.888923,69700,0.0018656429674952513
2019-06-27,5.38,5.44,5.38,5.44,4.952652,53800,0.013035386321281761
2019-06-28,5.55,5.55,5.45,5.48,4.989069000000001,73600,0.007353030255305759
2019-07-01,5.54,5.55,5.49,5.51,5.016381,72000,0.005474368063460133
2019-07-02,5.48,5.51,5.44,5.47,4.979964,30100,-0.007259616045910411
2019-07-03,5.5,5.55,5.5,5.55,5.052797,22200,0.014625206125988166
2019-07-05,5.5,5.52,5.49,5.51,5.016381,30800,-0.007207097375968252
2019-07-08,5.42,5.49,5.42,5.44,4.952652,42500,-0.012704178570168478
2019-07-09,5.43,5.46,5.4,5.4,4.9162349999999995,36200,-0.007353030255305648
2019-07-10,5.42,5.45,5.41,5.42,4.934443,22200,0.0037036472015679056
2019-07-11,5.46,5.46,5.39,5.4,4.9162349999999995,99000,-0.0036899808144507107
2019-07-12,5.43,5.47,5.42,5.45,4.961755999999999,38000,0.009259321411608568
2019-07-15,5.48,5.48,5.44,5.45,4.961755999999999,35100,0.0
2019-07-16,5.45,5.48,5.44,5.46,4.97086,44500,0.0018348342804443973
2019-07-17,5.46,5.6,5.46,5.49,4.998172,44600,0.005494421488434709
2019-07-18,5.48,5.52,5.47,5.52,5.025485,28700,0.005464597856976505
2019-07-19,5.53,5.56,5.53,5.53,5.0345889999999995,41700,0.0018115664458255853
2019-07-22,5.51,5.58,5.51,5.57,5.071006,37700,0.0072333610548944716
2019-07-23,5.6,5.61,5.57,5.57,5.071006,32100,0.0
2019-07-24,5.59,5.62,5.58,5.62,5.116526,38800,0.008976522607151427
2019-07-25,5.62,5.64,5.51,5.51,5.016381,48300,-0.01957285079759208
2019-07-26,5.54,5.56,5.51,5.51,5.016381,20300,0.0
2019-07-29,5.52,5.58,5.52,5.53,5.0345889999999995,28000,0.0036297083495051563
2019-07-30,5.5,5.52,5.49,5.5,5.007276999999999,20800,-0.0054248718217118075
2019-07-31,5.51,5.52,5.46,5.47,4.979964,24000,-0.00545466128596428
2019-08-01,5.48,5.51,5.45,5.45,4.961755999999999,38000,-0.003656251330330984
2019-08-02,5.42,5.44,5.38,5.4,4.9162349999999995,34900,-0.009174372943772324
2019-08-05,5.34,5.35,5.23,5.23,4.761465,57300,-0.031481408028704694
2019-08-06,5.25,5.25,5.15,5.18,4.715944,55100,-0.009560292893048605
2019-08-07,5.09,5.19,5.09,5.18,4.715944,54500,0.0
2019-08-08,5.21,5.23,5.17,5.2,4.734152,55600,0.0038609449136799423
2019-08-09,5.24,5.25,5.17,5.19,4.725048999999999,37900,-0.001922836444626319
2019-08-12,5.17,5.19,5.13,5.15,4.688632,29800,-0.007707221660558261
2019-08-13,5.14,5.18,5.13,5.14,4.679526999999999,68300,-0.0019419310366010079
2019-08-14,5.12,5.13,5.1,5.1,4.643111,76300,-0.007781983093590239
2019-08-15,5.12,5.14,5.04,5.06,4.606694999999999,80500,-0.007843017321791601
2019-08-16,5.05,5.07,5.04,5.06,4.606694999999999,54600,0.0
2019-08-19,5.1,5.1,5.06,5.08,4.624903,39700,0.003952508251577447
2019-08-20,5.13,5.13,5.08,5.12,4.661319000000001,46900,0.00787389486871426
2019-08-21,5.15,5.17,5.14,5.16,4.697736,38200,0.007812595533581712
2019-08-22,5.17,5.25,5.11,5.15,4.688632,51000,-0.001937954793543084
2019-08-23,5.14,5.19,5.1,5.1,4.643111,32300,-0.009708802055695576
2019-08-26,5.11,5.15,5.04,5.05,4.59759,51400,-0.009803987025078675
2019-08-27,5.07,5.07,5.0,5.02,4.570278,80600,-0.005940503611674863
2019-08-28,5.01,5.03,5.01,5.02,4.570278,61600,0.0
2019-08-29,5.03,5.05,5.02,5.03,4.579382,65200,0.0019920013618426324
2019-08-30,5.08,5.09,5.04,5.07,4.615798000000001,57700,0.007952164724410515
2019-09-03,5.06,5.06,5.01,5.06,4.606694999999999,66100,-0.00197214002865842
2019-09-04,5.04,5.14,5.04,5.11,4.652215,87500,0.009881270628943506
2019-09-05,5.15,5.21,5.12,5.14,4.679526999999999,72200,0.005870751889153647
2019-09-06,5.14,5.2,5.11,5.19,4.725048999999999,79000,0.009727906260611485
2019-09-09,5.19,5.24,5.18,5.22,4.7523599999999995,84000,0.005780045878889251
2019-09-10,5.23,5.32,5.21,5.28,4.806986,88500,0.011494499574948192
2019-09-11,5.32,5.36,5.31,5.36,4.879819,96700,0.015151489935689488
2019-09-12,5.37,5.39,5.36,5.39,4.907131,54000,0.005596928902485754
2019-09-13,5.44,5.47,5.4,5.43,4.943548000000001,73900,0.007421240639388094
2019-09-16,5.47,5.5,5.38,5.38,4.898027,92800,-0.009208163853167917
2019-09-17,5.38,5.41,5.31,5.37,4.888923,33200,-0.0018587075979776824
2019-09-18,5.34,5.39,5.33,5.34,4.86161,61900,-0.00558671101999364
2019-09-19,5.35,5.41,5.34,5.39,4.907131,67900,0.009363359051836717
2019-09-20,5.23,5.25,5.18,5.18,4.841702,43000,-0.013333452887236974
2019-09-23,5.18,5.2,5.13,5.19,4.85105,63900,0.0019307260132903625
2019-09-24,5.2,5.22,5.13,5.15,4.813662,49100,-0.007707197410869782
2019-09-25,5.15,5.18,5.06,5.08,4.748233,71700,-0.013592354427876319
2019-09-26,5.11,5.14,5.09,5.13,4.794968,59200,0.009842608818901644
2019-09-27,5.11,5.16,5.1,5.15,4.813662,40800,0.003898670439510754
2019-09-30,5.28,5.28,5.12,5.22,4.87909,94200,0.013592146685828865
2019-10-01,5.18,5.23,5.17,5.18,4.841702,100500,-0.007662904353065825
2019-10-02,5.19,5.19,5.05,5.05,4.720193,90200,-0.025096340088671232
2019-10-03,5.05,5.07,5.02,5.04,4.710846,65700,-0.0019802156394875814
2019-10-04,5.05,5.1,5.03,5.1,4.766927,41700,0.011904655766713734
2019-10-07,5.1,5.1,5.0,5.06,4.72954,112800,-0.007842998225061959
2019-10-08,5.06,5.06,5.01,5.01,4.682805999999999,46100,-0.009881299238403862
