Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2019-01-02,3.43,3.43,3.33,3.41,3.41,5100,
2019-01-03,3.36,3.44,3.35,3.4,3.4,2900,-0.0029325513196482023
2019-01-04,3.36,3.42,3.34,3.42,3.42,20000,0.00588235294117645
2019-01-07,3.49,3.49,3.45,3.47,3.47,600,0.014619883040935644
2019-01-08,3.45,3.45,3.4,3.45,3.45,30000,-0.0057636887608069065
2019-01-09,3.47,3.47,3.45,3.47,3.47,13400,0.005797101449275477
2019-01-10,3.46,3.5,3.43,3.44,3.44,15900,-0.008645533141210415
2019-01-11,3.49,3.49,3.49,3.49,3.49,300,0.014534883720930258
2019-01-14,3.4,3.4,3.4,3.4,3.4,200,-0.025787965616045905
2019-01-15,3.49,3.5,3.42,3.42,3.42,1000,0.00588235294117645
2019-01-16,3.42,3.49,3.35,3.42,3.42,6800,0.0
2019-01-17,3.46,3.5,3.38,3.43,3.43,14900,0.0029239766081872176
2019-01-18,3.54,3.61,3.49,3.61,3.61,5100,0.05247813411078717
2019-01-22,3.58,3.59,3.52,3.52,3.52,4400,-0.024930747922437657
2019-01-23,3.5,3.5,3.5,3.5,3.5,4100,-0.005681818181818232
2019-01-24,3.4,3.6,3.4,3.6,3.6,28500,0.028571428571428692
2019-01-25,3.61,3.61,3.58,3.58,3.58,12900,-0.005555555555555536
2019-01-28,3.58,3.7,3.58,3.7,3.7,900,0.033519553072625774
2019-01-29,3.7,3.74,3.67,3.73,3.73,6700,0.008108108108108025
2019-01-30,3.75,3.78,3.73,3.78,3.78,28200,0.013404825737265424
2019-01-31,3.71,3.79,3.63,3.78,3.78,5500,0.0
2019-02-01,3.77,3.77,3.69,3.69,3.69,600,-0.023809523809523725
2019-02-04,3.78,3.84,3.75,3.84,3.84,13100,0.04065040650406493
2019-02-05,3.84,3.94,3.84,3.9,3.9,29800,0.015625
2019-02-06,3.96,3.96,3.86,3.94,3.94,5300,0.01025641025641022
2019-02-07,4.0,4.0,3.9,3.93,3.93,12700,-0.0025380710659898
2019-02-08,3.94,3.95,3.92,3.93,3.93,11300,0.0
2019-02-11,3.9,3.92,3.88,3.91,3.91,16900,-0.0050890585241730735
2019-02-12,3.95,4.2,3.94,3.98,3.98,109000,0.01790281329923271
