Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2019-03-11,10.24,10.24,10.24,10.24,10.24,100.0,
2019-03-12,10.24,10.24,10.24,10.24,10.24,0.0,0.0
2019-03-13,10.196,10.2,10.05,10.2,10.2,2400.0,-0.003906250000000111
2019-03-14,10.23,10.23,10.19,10.2,10.2,2900.0,0.0
2019-03-15,10.19,10.2,10.07,10.2,10.2,3500.0,0.0
2019-03-18,10.19,10.2,10.19,10.2,10.2,800.0,0.0
2019-03-19,10.2,10.2,10.2,10.2,10.2,50000.0,0.0
2019-03-20,10.19,10.23,10.19,10.2,10.2,12000.0,0.0
2019-03-21,10.24,10.24,10.19,10.23,10.23,134200.0,0.002941176470588447
2019-03-22,10.2,10.22,10.2,10.22,10.22,87500.0,-0.0009775171065493637
2019-03-25,10.21,10.23,10.206,10.22,10.22,21100.0,0.0
2019-03-26,10.24,10.24,10.19,10.19,10.19,14400.0,-0.0029354207436400603
2019-03-27,10.21,10.21,10.2,10.2,10.2,16100.0,0.0009813542688910104
2019-03-28,10.23,10.23,10.19,10.19,10.19,10700.0,-0.0009803921568627416
2019-03-29,10.24,10.24,10.19,10.2,10.2,308000.0,0.0009813542688910104
2019-04-01,10.2,10.2,10.2,10.2,10.2,0.0,0.0
2019-04-02,10.2,10.2,10.2,10.2,10.2,0.0,0.0
2019-04-03,10.2,10.2,10.2,10.2,10.2,100.0,0.0
2019-04-04,10.2,10.2,10.2,10.2,10.2,61000.0,0.0
2019-04-05,10.24,10.24,10.24,10.24,10.24,100.0,0.0039215686274509665
2019-04-08,10.205,10.205,10.205,10.205,10.205,400.0,-0.00341796875
2019-04-09,10.2,10.24,10.2,10.24,10.24,2800.0,0.003429691327780482
2019-04-10,10.24,10.24,10.24,10.24,10.24,100.0,0.0
2019-04-11,10.24,10.24,10.24,10.24,10.24,100.0,0.0
2019-04-12,10.25,10.25,10.2,10.2,10.2,200.0,-0.003906250000000111
2019-04-15,10.2,10.2,10.2,10.2,10.2,0.0,0.0
2019-04-16,10.22,10.22,10.22,10.22,10.22,100.0,0.0019607843137257053
2019-04-17,10.25,10.25,10.25,10.25,10.25,100.0,0.0029354207436398383
2019-04-18,10.24,10.24,10.24,10.24,10.24,62600.0,-0.0009756097560975618
2019-04-22,10.24,10.24,10.24,10.24,10.24,0.0,0.0
2019-04-23,10.3,10.3,10.274,10.274,10.274,1900.0,0.0033203124999998668
2019-04-24,10.24,10.24,10.24,10.24,10.24,100.0,-0.0033093245084678813
