Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2019-01-02,1.64,1.79,1.57,1.7,1.7,40400,
2019-01-03,1.66,1.7,1.63,1.7,1.7,3700,0.0
2019-01-04,1.7,1.88,1.7,1.81,1.81,48700,0.06470588235294117
2019-01-07,1.8,2.9,1.8,2.16,2.16,467600,0.19337016574585641
2019-01-08,2.18,2.2,1.93,2.14,2.14,47200,-0.0092592592592593
2019-01-09,2.2,2.2,1.9,2.09,2.09,24200,-0.02336448598130858
2019-01-10,2.11,2.23,1.95,2.21,2.21,24200,0.05741626794258381
2019-01-11,2.21,2.21,1.97,2.21,2.21,42000,0.0
2019-01-14,2.2,2.2,2.02,2.13,2.13,13900,-0.03619909502262442
2019-01-15,2.11,2.24,2.11,2.18,2.18,35600,0.023474178403755985
2019-01-16,2.16,2.25,2.15,2.25,2.25,9100,0.032110091743119185
2019-01-17,2.25,2.33,2.2,2.32,2.32,13500,0.03111111111111109
2019-01-18,2.34,2.45,2.15,2.15,2.15,21600,-0.07327586206896552
2019-01-22,2.13,2.4,2.13,2.35,2.35,30000,0.09302325581395365
2019-01-23,2.32,2.55,2.27,2.39,2.39,97200,0.017021276595744705
2019-01-24,2.42,2.6,2.35,2.6,2.6,44700,0.08786610878661083
2019-01-25,2.6,3.0,2.6,2.68,2.68,58200,0.030769230769230882
2019-01-28,2.7,2.95,2.68,2.95,2.95,28800,0.10074626865671643
2019-01-29,2.95,3.14,2.7,2.92,2.92,25800,-0.01016949152542379
2019-01-30,2.91,3.14,2.77,2.77,2.77,30300,-0.05136986301369861
2019-01-31,2.75,3.04,2.63,2.63,2.63,29100,-0.05054151624548742
2019-02-01,2.63,2.99,2.63,2.89,2.89,114900,0.09885931558935379
2019-02-04,2.91,3.01,2.88,2.96,2.96,46300,0.02422145328719716
2019-02-05,2.9,2.95,2.81,2.81,2.81,32100,-0.05067567567567566
2019-02-06,2.82,2.96,2.82,2.95,2.95,4600,0.04982206405693956
2019-02-07,2.9,2.9,2.79,2.81,2.81,6300,-0.0474576271186441
2019-02-08,2.83,3.4,2.83,3.15,3.15,46800,0.12099644128113884
2019-02-11,3.08,3.4,3.01,3.23,3.23,34500,0.02539682539682553
2019-02-12,3.26,3.6,3.2,3.21,3.21,26500,-0.006191950464396245
2019-02-13,3.2,3.41,3.15,3.2,3.2,45600,-0.0031152647975076775
2019-02-14,3.16,3.37,3.11,3.15,3.15,13500,-0.01562500000000011
2019-02-15,3.15,3.32,3.06,3.18,3.18,14000,0.009523809523809712
2019-02-19,3.18,3.28,3.03,3.09,3.09,11700,-0.028301886792452935
2019-02-20,3.03,3.19,3.03,3.07,3.07,3600,-0.006472491909385147
2019-02-21,3.04,3.2,3.04,3.06,3.06,6800,-0.0032573289902279035
2019-02-22,3.1,3.4,3.1,3.31,3.31,23700,0.08169934640522869
2019-02-25,3.31,3.37,3.25,3.33,3.33,10200,0.0060422960725075026
2019-02-26,3.29,3.34,3.21,3.3,3.3,6000,-0.009009009009009028
2019-02-27,3.18,3.28,3.01,3.01,3.01,25300,-0.08787878787878789
2019-02-28,3.05,3.12,2.9,3.11,3.11,9400,0.03322259136212624
2019-03-01,3.03,3.2,3.03,3.05,3.05,19300,-0.019292604501607746
2019-03-04,3.03,3.17,2.99,3.06,3.06,34500,0.003278688524590345
2019-03-05,3.08,3.33,3.04,3.15,3.15,31000,0.02941176470588225
2019-03-06,3.19,3.35,3.08,3.1,3.1,28800,-0.015873015873015817
2019-03-07,3.21,3.22,3.06,3.12,3.12,13500,0.006451612903225712
2019-03-08,3.1,3.26,3.06,3.06,3.06,10200,-0.019230769230769273
2019-03-11,3.17,3.22,3.0,3.21,3.21,14400,0.0490196078431373
2019-03-12,3.2,3.36,3.11,3.11,3.11,27400,-0.031152647975077885
2019-03-13,3.3,3.3,3.15,3.25,3.25,8200,0.045016077170418
2019-03-14,3.18,3.44,3.16,3.26,3.26,8600,0.003076923076922977
2019-03-15,3.26,3.43,3.22,3.43,3.43,6600,0.052147239263803824
2019-03-18,3.44,3.44,3.16,3.16,3.16,29700,-0.07871720116618075
2019-03-19,3.2,3.26,3.0,3.17,3.17,26700,0.0031645569620253333
2019-03-20,3.13,3.45,3.07,3.2,3.2,18000,0.009463722397476504
2019-03-21,3.28,3.28,3.02,3.11,3.11,9400,-0.028125000000000067
2019-03-22,3.11,3.21,2.9,2.94,2.94,25600,-0.054662379421221874
2019-03-25,2.95,3.02,2.94,3.02,3.02,10900,0.027210884353741527
2019-03-26,3.04,3.05,2.9,2.94,2.94,12100,-0.026490066225165587
2019-03-27,2.97,2.97,2.73,2.73,2.73,15000,-0.0714285714285714
2019-03-28,2.71,3.21,2.71,3.0,3.0,68900,0.098901098901099
2019-03-29,2.99,2.99,2.56,2.79,2.79,24000,-0.06999999999999995
2019-04-01,2.85,3.04,2.85,3.02,3.02,68700,0.08243727598566308
2019-04-02,3.01,3.22,2.83,3.18,3.18,66300,0.052980132450331174
2019-04-03,3.16,3.16,2.96,3.02,3.02,13600,-0.05031446540880502
2019-04-04,3.06,3.09,2.97,3.09,3.09,21400,0.023178807947019875
2019-04-05,3.08,3.19,3.04,3.19,3.19,8500,0.032362459546925626
2019-04-08,3.22,3.25,3.12,3.25,3.25,9100,0.018808777429467183
2019-04-09,3.27,3.34,3.12,3.3,3.3,9000,0.01538461538461533
2019-04-10,3.25,3.45,3.22,3.22,3.22,21600,-0.024242424242424176
2019-04-11,3.22,3.28,3.22,3.27,3.27,1700,0.01552795031055898
2019-04-12,3.31,3.4,3.07,3.07,3.07,7400,-0.061162079510703404
2019-04-15,3.06,3.24,3.03,3.14,3.14,10600,0.0228013029315961
2019-04-16,3.14,3.29,3.13,3.13,3.13,6500,-0.0031847133757962887
2019-04-17,3.27,3.27,3.2,3.25,3.25,900,0.03833865814696491
2019-04-18,3.25,3.25,3.12,3.12,3.12,1300,-0.039999999999999925
2019-04-22,3.12,3.15,3.12,3.13,3.13,3300,0.0032051282051281937
2019-04-23,3.19,3.24,3.05,3.05,3.05,11100,-0.025559105431309903
2019-04-24,3.05,3.05,3.05,3.05,3.05,800,0.0
2019-04-25,3.22,3.22,2.99,3.0,3.0,2200,-0.016393442622950727
2019-04-26,3.0,3.21,2.99,3.21,3.21,5100,0.07000000000000006
2019-04-29,3.17,3.3,3.08,3.11,3.11,18200,-0.031152647975077885
2019-04-30,3.16,3.45,3.14,3.36,3.36,30400,0.08038585209003224
2019-05-01,3.4,3.44,3.28,3.43,3.43,7400,0.02083333333333348
2019-05-02,3.35,3.43,3.26,3.43,3.43,3200,0.0
2019-05-03,3.27,3.51,3.27,3.51,3.51,7600,0.023323615160349753
2019-05-06,3.5,3.5,3.38,3.41,3.41,2100,-0.028490028490028352
2019-05-07,3.46,3.46,3.15,3.23,3.23,1700,-0.05278592375366575
2019-05-08,3.47,3.47,3.35,3.43,3.43,7100,0.0619195046439629
2019-05-09,3.42,3.45,3.08,3.45,3.45,5200,0.005830903790087438
2019-05-10,3.32,3.45,3.32,3.43,3.43,1300,-0.005797101449275366
2019-05-13,3.33,3.37,2.98,3.37,3.37,4100,-0.017492711370262426
2019-05-14,3.52,3.52,2.99,3.06,3.06,17200,-0.09198813056379829
2019-05-15,3.01,3.17,3.01,3.13,3.13,6700,0.02287581699346397
2019-05-16,3.13,3.25,3.1,3.25,3.25,4900,0.03833865814696491
2019-05-17,3.22,3.22,2.99,3.0,3.0,4400,-0.07692307692307687
2019-05-20,3.08,3.2,3.0,3.14,3.14,3600,0.046666666666666634
2019-05-21,3.25,3.25,3.17,3.23,3.23,1000,0.028662420382165488
2019-05-22,3.24,3.26,3.1,3.1,3.1,4100,-0.04024767801857587
