Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2019-01-02,7.99,9.3,7.99,9.3,9.3,4400,
2019-01-03,8.94,9.3,8.94,9.3,9.3,700,0.0
2019-01-04,8.65,9.3,8.65,9.05,9.05,4400,-0.026881720430107503
2019-01-07,9.27,9.27,8.98,9.0,9.0,19000,-0.005524861878453136
2019-01-08,9.11,9.11,8.55,8.71,8.71,2600,-0.03222222222222215
2019-01-09,8.66,9.0,8.25,8.9,8.9,2100,0.021814006888633664
2019-01-10,8.62,9.2,8.62,8.76,8.76,2300,-0.01573033707865179
2019-01-11,8.6,9.08,8.6,8.85,8.85,5500,0.010273972602739656
2019-01-14,9.0,9.1,9.0,9.08,9.08,5100,0.025988700564971712
2019-01-15,9.12,9.12,8.4,9.04,9.04,5200,-0.00440528634361248
2019-01-16,8.81,8.95,8.75,8.95,8.95,2800,-0.009955752212389313
2019-01-17,8.83,8.95,8.83,8.95,8.95,300,0.0
2019-01-18,9.0,9.1,8.92,9.1,9.1,10500,0.016759776536312998
2019-01-22,9.0,9.09,9.0,9.05,9.05,500,-0.005494505494505364
2019-01-23,8.82,9.03,8.82,9.03,9.03,400,-0.0022099447513813653
2019-01-24,9.03,9.03,9.03,9.03,9.03,0,0.0
2019-01-25,8.81,9.15,8.81,9.04,9.04,5800,0.001107419712070845
2019-01-28,8.95,9.41,8.91,9.38,9.38,5900,0.03761061946902666
2019-01-29,9.1,9.1,8.89,9.04,9.04,59000,-0.03624733475479758
2019-01-30,9.1,9.2,8.91,9.1,9.1,47400,0.006637168141592875
2019-01-31,9.17,9.3,9.02,9.1,9.1,25800,0.0
2019-02-01,9.1,9.55,9.06,9.5,9.5,33300,0.04395604395604402
2019-02-04,9.25,9.4,9.23,9.33,9.33,19400,-0.017894736842105297
2019-02-05,9.18,10.5,9.18,10.42,10.42,13100,0.11682743837084675
2019-02-06,10.56,11.0,10.49,10.78,10.78,8500,0.03454894433781175
2019-02-07,10.8,10.8,10.25,10.44,10.44,12700,-0.03153988868274582
2019-02-08,10.48,10.6,10.48,10.6,10.6,400,0.015325670498084198
2019-02-11,10.6,10.6,10.4,10.5,10.5,2000,-0.009433962264150941
2019-02-12,10.79,11.0,10.79,11.0,11.0,9000,0.04761904761904767
2019-02-13,11.0,11.45,10.85,11.3,11.3,9100,0.027272727272727337
2019-02-14,11.55,11.55,11.36,11.36,11.36,800,0.005309734513274211
2019-02-15,10.8,11.55,10.4,11.55,11.55,6700,0.01672535211267623
2019-02-19,11.28,11.75,10.25,10.53,10.53,29700,-0.08831168831168845
2019-02-20,10.43,10.46,10.26,10.46,10.46,1500,-0.006647673314339797
2019-02-21,10.51,10.51,10.39,10.51,10.51,3600,0.004780114722753304
2019-02-22,10.36,10.46,10.26,10.35,10.35,2000,-0.015223596574690745
2019-02-25,10.35,10.48,10.34,10.42,10.42,3100,0.006763285024154575
2019-02-26,10.3,10.44,10.16,10.44,10.44,6900,0.0019193857965451588
2019-02-27,10.12,10.82,10.11,10.67,10.67,7100,0.022030651340996243
2019-02-28,10.01,10.7,10.01,10.7,10.7,2400,0.002811621368322248
2019-03-01,10.56,11.01,10.33,10.7,10.7,9300,0.0
2019-03-04,10.76,10.91,10.12,10.21,10.21,11500,-0.04579439252336437
2019-03-05,10.15,11.0,9.92,10.15,10.15,13100,-0.00587659157688547
2019-03-06,10.46,10.55,10.04,10.14,10.14,4700,-0.0009852216748768017
2019-03-07,9.94,10.85,9.94,10.56,10.56,12300,0.041420118343195256
2019-03-08,10.37,10.5,10.15,10.34,10.34,8900,-0.02083333333333337
2019-03-11,10.31,10.59,10.01,10.59,10.59,9500,0.024177949709864643
2019-03-12,10.23,10.6,10.21,10.6,10.6,6900,0.0009442870632672129
2019-03-13,10.35,10.43,10.2,10.35,10.35,6800,-0.02358490566037741
2019-03-14,10.3,10.5,10.13,10.5,10.5,13800,0.01449275362318847
2019-03-15,10.32,12.0,10.32,10.5,10.5,20500,0.0
2019-03-18,10.66,11.44,10.66,11.25,11.25,6200,0.0714285714285714
2019-03-19,11.1,11.67,11.1,11.14,11.14,9000,-0.009777777777777774
2019-03-20,11.24,11.77,11.24,11.53,11.53,3100,0.035008976660682034
2019-03-21,11.68,11.92,11.68,11.9,11.9,6600,0.03209019947961855
2019-03-22,12.0,13.65,11.92,12.45,12.45,183500,0.04621848739495782
2019-03-25,12.54,14.25,12.54,13.71,13.71,64700,0.10120481927710867
2019-03-26,13.93,17.639999,13.93,16.5,16.5,146900,0.20350109409190376
2019-03-27,16.299999,16.940001000000002,15.84,16.620001000000002,16.620001000000002,56400,0.007272787878787934
2019-03-28,16.450001,16.860001,15.9,16.5,16.5,43100,-0.007220276340537013
2019-03-29,15.96,16.65,15.2,15.9,15.9,45600,-0.036363636363636376
2019-04-01,16.299999,16.92,15.36,16.17,16.17,30700,0.016981132075471805
2019-04-02,16.73,16.73,15.42,15.69,15.69,20600,-0.029684601113172726
