Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2019-01-02,0.58,0.648,0.58,0.61,0.61,332300,
2019-01-03,0.62,0.631,0.57,0.597,0.597,331400,-0.021311475409836134
2019-01-04,0.63,0.63,0.576,0.599,0.599,359700,0.003350083752093891
2019-01-07,0.6,0.745,0.6,0.735,0.735,1274200,0.22704507512520866
2019-01-08,0.718,0.75,0.669,0.727,0.727,923500,-0.010884353741496655
2019-01-09,0.74,0.76,0.71,0.76,0.76,410600,0.0453920220082531
2019-01-10,0.82,0.9,0.76,0.87,0.87,2260400,0.14473684210526305
2019-01-11,0.94,0.98,0.9,0.929,0.929,2383200,0.06781609195402294
2019-01-14,0.966,1.2,0.94,1.0,1.0,5115600,0.07642626480086112
2019-01-15,1.08,1.12,0.95,0.986,0.986,2123300,-0.014000000000000012
2019-01-16,0.99,1.08,0.96,1.06,1.06,1225100,0.0750507099391482
2019-01-17,1.05,1.055,0.96,1.0,1.0,974300,-0.05660377358490576
2019-01-18,0.99,1.14,0.99,1.12,1.12,1828600,0.1200000000000001
2019-01-22,1.13,1.15,1.02,1.04,1.04,983200,-0.07142857142857151
2019-01-23,1.03,1.08,0.97,0.97,0.97,783500,-0.0673076923076924
2019-01-24,0.98,1.01,0.95,0.98,0.98,611700,0.010309278350515427
2019-01-25,0.971,1.08,0.951,1.02,1.02,623200,0.04081632653061229
2019-01-28,1.0,1.02,0.92,0.934,0.934,801400,-0.084313725490196
2019-01-29,0.94,0.98,0.877,0.93,0.93,750900,-0.004282655246252709
2019-01-30,0.91,0.98,0.9,0.98,0.98,355300,0.053763440860215006
2019-01-31,0.98,1.12,0.97,1.1,1.1,1638100,0.12244897959183687
2019-02-01,1.11,1.11,0.994,1.05,1.05,889200,-0.045454545454545525
2019-02-04,1.06,1.06,1.0,1.025,1.025,226000,-0.023809523809523947
2019-02-05,1.03,1.08,1.0,1.04,1.04,209200,0.014634146341463428
2019-02-06,1.04,1.1,1.02,1.1,1.1,313200,0.05769230769230771
2019-02-07,1.08,1.1,1.05,1.07,1.07,245400,-0.027272727272727337
2019-02-08,1.07,1.119,1.01,1.03,1.03,523800,-0.03738317757009346
2019-02-11,1.09,1.09,1.03,1.08,1.08,665800,0.04854368932038833
2019-02-12,1.09,1.17,1.05,1.07,1.07,2485300,-0.0092592592592593
2019-02-13,1.06,1.07,0.976,1.06,1.06,776600,-0.009345794392523366
2019-02-14,1.04,1.1,1.022,1.04,1.04,340000,-0.018867924528301883
2019-02-15,1.04,1.1,1.04,1.05,1.05,224300,0.009615384615384581
2019-02-19,1.05,1.07,1.04,1.04,1.04,351400,-0.00952380952380949
2019-02-20,1.05,1.08,1.02,1.02,1.02,604200,-0.019230769230769273
2019-02-21,1.05,1.055,0.982,1.03,1.03,424400,0.009803921568627416
2019-02-22,1.05,1.12,0.99,1.07,1.07,2010100,0.03883495145631066
2019-02-25,1.07,1.15,1.06,1.09,1.09,1268400,0.01869158878504673
2019-02-26,1.07,1.25,1.07,1.24,1.24,1981100,0.1376146788990824
2019-02-27,1.25,1.44,1.18,1.41,1.41,3749700,0.13709677419354827
2019-02-28,1.4,1.41,1.3,1.35,1.35,2262700,-0.04255319148936154
2019-03-01,1.35,1.5,1.3,1.39,1.39,3231400,0.02962962962962945
2019-03-04,1.43,1.43,1.18,1.29,1.29,1772000,-0.07194244604316535
2019-03-05,1.32,1.4,1.3,1.36,1.36,1023700,0.054263565891472965
2019-03-06,1.37,1.39,1.26,1.28,1.28,778500,-0.05882352941176472
2019-03-07,1.27,1.36,1.25,1.28,1.28,625500,0.0
2019-03-08,1.3,1.33,1.25,1.28,1.28,482300,0.0
2019-03-11,1.28,1.35,1.26,1.29,1.29,669900,0.0078125
2019-03-12,1.29,1.318,1.16,1.17,1.17,1626400,-0.09302325581395354
2019-03-13,1.16,1.25,1.16,1.19,1.19,636000,0.017094017094017033
2019-03-14,1.23,1.27,1.19,1.2,1.2,552600,0.008403361344537785
2019-03-15,1.16,1.33,1.16,1.3,1.3,4908500,0.08333333333333348
2019-03-18,1.3,1.35,1.22,1.28,1.28,2305500,-0.015384615384615441
2019-03-19,1.3,1.34,1.24,1.25,1.25,1001600,-0.0234375
2019-03-20,1.3,1.31,1.2,1.24,1.24,790900,-0.008000000000000007
2019-03-21,1.25,1.28,1.19,1.22,1.22,674300,-0.016129032258064502
2019-03-22,1.21,1.22,1.095,1.13,1.13,1585800,-0.07377049180327877
2019-03-25,1.11,1.135,1.09,1.12,1.12,1121900,-0.008849557522123686
2019-03-26,1.14,1.22,1.13,1.2,1.2,923000,0.0714285714285714
2019-03-27,1.23,1.23,1.14,1.2,1.2,707800,0.0
2019-03-28,1.2,1.227,1.12,1.13,1.13,804700,-0.05833333333333335
2019-03-29,1.1,1.15,1.09,1.09,1.09,966400,-0.03539823008849541
2019-04-01,1.11,1.15,1.09,1.11,1.11,579000,0.01834862385321112
2019-04-02,1.17,1.17,1.03,1.06,1.06,1772600,-0.04504504504504503
2019-04-03,1.06,1.1,1.03,1.1,1.1,635900,0.037735849056603765
2019-04-04,1.08,1.09,1.05,1.05,1.05,550200,-0.045454545454545525
2019-04-05,1.05,1.09,1.05,1.09,1.09,441600,0.03809523809523818
2019-04-08,1.09,1.09,1.05,1.06,1.06,555500,-0.02752293577981657
2019-04-09,1.06,1.08,1.01,1.06,1.06,871400,0.0
2019-04-10,1.05,1.055,1.0,1.02,1.02,1704500,-0.037735849056603765
2019-04-11,1.01,1.08,1.01,1.06,1.06,638900,0.03921568627450989
2019-04-12,1.06,1.09,1.05,1.07,1.07,604200,0.009433962264151052
2019-04-15,1.05,1.06,1.02,1.05,1.05,463300,-0.01869158878504673
2019-04-16,1.04,1.07,1.04,1.05,1.05,371900,0.0
2019-04-17,1.04,1.07,1.01,1.03,1.03,577700,-0.01904761904761909
2019-04-18,1.03,1.05,0.937,1.03,1.03,1910700,0.0
2019-04-22,1.01,1.03,0.97,1.03,1.03,620800,0.0
2019-04-23,1.02,1.033,0.984,0.995,0.995,568000,-0.03398058252427183
2019-04-24,0.991,1.02,0.963,1.0,1.0,509900,0.005025125628140614
2019-04-25,0.96,1.0,0.96,0.99,0.99,165400,-0.010000000000000009
2019-04-26,0.97,1.07,0.96,1.04,1.04,632700,0.05050505050505061
2019-04-29,1.02,1.1,1.005,1.05,1.05,1215700,0.009615384615384581
2019-04-30,1.05,1.068,0.963,0.975,0.975,1960200,-0.07142857142857151
2019-05-01,1.0,1.03,0.977,1.0,1.0,627200,0.025641025641025772
2019-05-02,1.0,1.03,0.97,1.03,1.03,683900,0.030000000000000027
2019-05-03,1.05,1.12,1.0,1.1,1.1,2107000,0.06796116504854366
2019-05-06,1.05,1.11,1.05,1.07,1.07,852800,-0.027272727272727337
2019-05-07,1.05,1.06,1.01,1.04,1.04,688500,-0.028037383177570097
2019-05-08,1.07,1.07,1.0,1.04,1.04,647900,0.0
2019-05-09,1.01,1.02,0.94,0.97,0.97,1034600,-0.0673076923076924
2019-05-10,1.0,1.019,0.981,0.99,0.99,747500,0.020618556701030855
2019-05-13,0.98,0.98,0.883,0.9,0.9,1177600,-0.09090909090909083
2019-05-14,0.9,0.96,0.87,0.948,0.948,553600,0.05333333333333323
2019-05-15,0.99,0.996,0.912,0.916,0.916,1087700,-0.033755274261603296
2019-05-16,0.93,0.975,0.91,0.936,0.936,877600,0.02183406113537112
2019-05-17,1.0,1.039,0.975,0.99,0.99,3791600,0.05769230769230771
2019-05-20,1.0,1.0,0.95,0.997,0.997,901700,0.007070707070707005
2019-05-21,1.02,1.03,0.97,1.0,1.0,982700,0.0030090270812437314
2019-05-22,0.99,1.01,0.97,0.99,0.99,611300,-0.010000000000000009
2019-05-23,0.99,1.0,0.95,0.98,0.98,512600,-0.010101010101010055
2019-05-24,0.986,0.99,0.96,0.988,0.988,613800,0.008163265306122547
2019-05-28,0.99,1.011,0.95,0.96,0.96,528200,-0.028340080971659964
2019-05-29,0.96,0.98,0.95,0.96,0.96,535900,0.0
