Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2019-01-02,11.12,11.25,11.12,11.25,10.72364,12400,
2019-01-03,11.25,11.35,11.25,11.35,10.818963,7000,0.00888905259781203
2019-01-04,11.27,11.34,11.27,11.34,10.809429,7600,-0.0008812304839197482
2019-01-07,11.34,11.45,11.34,11.43,10.895218,14100,0.007936496923195424
2019-01-08,11.48,11.48,11.4,11.48,10.942879,13700,0.00437448796343487
2019-01-09,11.41,11.48,11.41,11.48,10.942879,4600,0.0
2019-01-10,11.43,11.5,11.43,11.46,10.923815,13600,-0.001742137512440789
2019-01-11,11.5,11.54,11.48,11.53,10.990539,1700,0.006108122482850531
2019-01-14,11.56,11.58,11.54,11.58,11.038198,19100,0.004336366032639427
2019-01-15,11.64,11.64,11.54,11.55,11.009606,9200,-0.0025902778696305084
2019-01-16,11.61,11.61,11.53,11.58,11.038198,2400,0.002597004833778671
2019-01-17,11.57,11.59,11.55,11.55,11.009606,32200,-0.0025902778696305084
2019-01-18,11.51,11.55,11.51,11.52,10.981009,21300,-0.002597458982637524
2019-01-22,11.52,11.53,11.48,11.5,10.961943,4600,-0.0017362703190572093
2019-01-23,11.58,11.58,11.45,11.49,10.95241,12800,-0.0008696450985011817
2019-01-24,11.55,11.57,11.5,11.5,10.961943,7700,0.0008704020393683898
2019-01-25,11.5,11.52,11.49,11.49,10.95241,10500,-0.0008696450985011817
2019-01-28,11.53,11.56,11.49,11.5,10.961943,20500,0.0008704020393683898
2019-01-29,11.49,11.57,11.47,11.5,10.961943,25700,0.0
2019-01-30,11.54,11.54,11.45,11.48,10.980118,5700,0.0016580089861806258
2019-01-31,11.44,11.56,11.44,11.51,11.008809,9100,0.0026129955980436215
2019-02-01,11.48,11.54,11.48,11.49,10.98968,7800,-0.0017376084915270429
2019-02-04,11.48,11.56,11.48,11.55,11.047069,15200,0.0052220810797039
2019-02-05,11.6,11.6,11.53,11.58,11.07576,16500,0.002597159481849909
2019-02-06,11.62,11.62,11.54,11.56,11.056633,19600,-0.001726924382615791
2019-02-07,11.58,11.66,11.58,11.6,11.094889,11500,0.0034600045058925666
2019-02-08,11.6,11.6,11.58,11.58,11.07576,6300,-0.0017241272084830284
2019-02-11,11.66,11.67,11.58,11.67,11.161841,8100,0.0077720174507212025
2019-02-12,11.6,11.68,11.6,11.68,11.171407,600,0.000857027080030992
2019-02-13,11.68,11.71,11.68,11.69,11.18097,14300,0.0008560246708404495
2019-02-14,11.72,11.76,11.67,11.67,11.161841,3200,-0.0017108533517217195
2019-02-15,11.72,11.72,11.65,11.65,11.142713,5600,-0.0017136957962400334
2019-02-19,11.74,11.75,11.7,11.74,11.228795,7900,0.00772540762738827
2019-02-20,11.77,11.8,11.55,11.69,11.18097,27600,-0.004259139115105337
2019-02-21,11.73,11.73,11.67,11.69,11.18097,6900,0.0
2019-02-22,11.74,11.79,11.71,11.73,11.21923,13300,0.00342188557880041
2019-02-25,11.73,11.78,11.72,11.76,11.247925,83600,0.002557662156850382
2019-02-26,11.81,11.85,11.8,11.85,11.334005,6100,0.007652967102821151
2019-02-27,11.84,11.84,11.32,11.83,11.352238,14800,0.0016086987785870477
2019-02-28,11.77,11.81,11.77,11.81,11.333047,4800,-0.0016905036698490195
2019-03-01,11.81,11.83,11.81,11.82,11.342642,8700,0.0008466390371451027
2019-03-04,11.83,11.86,11.82,11.83,11.352238,50300,0.0008460110087227246
2019-03-05,11.82,11.87,11.82,11.87,11.390622,17500,0.0033811835164132553
