Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2019-01-02,6.38,6.84,6.27,6.74,5.913937000000001,877300,
2019-01-03,6.68,6.82,6.63,6.77,5.940258999999999,374400,0.0044508421378175456
2019-01-04,6.81,7.1,6.81,7.08,6.212265,410500,0.04579025931360925
2019-01-07,7.13,7.34,7.11,7.28,6.387753,301400,0.028248633952350666
2019-01-08,7.34,7.53,7.34,7.5,6.5807899999999995,252500,0.03021985978481001
2019-01-09,7.64,7.65,7.53,7.59,6.65976,299500,0.012000079017868703
2019-01-10,7.6,7.6,7.48,7.54,6.615887,283700,-0.006587774934832535
2019-01-11,7.54,7.54,7.4,7.46,6.545692,152900,-0.010610066344845404
2019-01-14,7.38,7.38,7.25,7.25,6.408679,336100,-0.02093178230811954
2019-01-15,7.25,7.43,7.25,7.41,6.550112,167300,0.022068978645989334
2019-01-16,7.35,7.53,7.35,7.51,6.638508,218800,0.013495341759041546
2019-01-17,7.51,7.54,7.43,7.49,6.6208279999999995,142700,-0.0026632490312582524
2019-01-18,7.57,7.64,7.53,7.63,6.744582,262800,0.018691619839693807
2019-01-22,7.58,7.58,7.37,7.42,6.558952000000001,196000,-0.02752283240088116
2019-01-23,7.39,7.46,7.33,7.42,6.558952000000001,192900,0.0
2019-01-24,7.45,7.46,7.39,7.39,6.532433999999999,213800,-0.004043023946508684
2019-01-25,7.42,7.49,7.41,7.47,6.603149,185600,0.010825214613725986
2019-01-28,7.43,7.47,7.35,7.41,6.550112,135500,-0.008032076816682387
2019-01-29,7.47,7.56,7.44,7.55,6.673866,186700,0.018893417395000167
2019-01-30,7.62,7.7,7.54,7.7,6.806458999999999,216600,0.01986749509204988
2019-01-31,7.79,7.79,7.58,7.66,6.771101,272900,-0.005194771613257321
2019-02-01,7.52,7.81,7.52,7.79,6.8860149999999996,275100,0.016971242933756292
2019-02-04,7.79,7.84,7.76,7.82,6.912534,350600,0.003851138866238335
2019-02-05,7.88,7.88,7.77,7.82,6.912534,142400,0.0
2019-02-06,7.86,7.86,7.71,7.75,6.850657000000001,346000,-0.008951420709105928
2019-02-07,7.71,7.71,7.48,7.58,6.700385000000001,281700,-0.021935414369745887
2019-02-08,7.57,7.57,7.39,7.51,6.638508,193800,-0.009234842475469796
2019-02-11,7.54,7.54,7.45,7.53,6.656188,104800,0.0026632490312583634
2019-02-12,7.64,7.7,7.58,7.62,6.735742999999999,163200,0.01195203621051566
2019-02-13,7.66,7.71,7.61,7.7,6.806458999999999,151600,0.01049861908329941
2019-02-14,7.67,7.76,7.59,7.75,6.899942,156100,0.013734454288198972
2019-02-15,7.78,7.84,7.75,7.78,6.926652000000001,128700,0.003871047031989594
2019-02-19,7.81,7.96,7.8,7.93,7.060199000000001,124700,0.019280165944528527
2019-02-20,7.94,7.94,7.84,7.87,7.00678,200700,-0.007566217326168911
2019-02-21,7.87,7.87,7.67,7.69,6.8465229999999995,198300,-0.022871704263584758
2019-02-22,7.73,7.84,7.72,7.74,6.891039,193100,0.006501986482774003
2019-02-25,7.74,7.76,7.67,7.73,6.882136,184200,-0.0012919677279434882
2019-02-26,7.69,7.73,7.59,7.59,6.757492,209300,-0.01811123755764199
2019-02-27,7.62,7.62,7.5,7.55,6.7218789999999995,231300,-0.0052701505233007095
2019-02-28,7.58,7.58,7.46,7.51,6.686267,258200,-0.0052979233931463865
2019-03-01,7.57,7.64,7.5,7.62,6.7842020000000005,407200,0.014647186539215484
2019-03-04,7.62,7.77,7.59,7.76,6.9088449999999995,317300,0.018372536666803052
2019-03-05,7.76,7.82,7.67,7.82,6.962264,238200,0.007731972565602652
2019-03-06,7.77,7.8,7.72,7.72,6.873232000000001,133100,-0.01278779431518251
2019-03-07,7.67,7.9,7.67,7.87,7.00678,198400,0.01943016036705858
2019-03-08,7.82,7.94,7.73,7.79,6.935555,175400,-0.010165154321956749
2019-03-11,7.8,7.92,7.8,7.88,7.015683,239600,0.011553221047198026
2019-03-12,7.86,7.93,7.82,7.82,6.962264,165300,-0.007614226583498751
2019-03-13,7.83,7.9,7.8,7.89,7.024586,107200,0.00895139856805205
2019-03-14,7.85,7.87,7.8,7.86,7.047,74600,0.003190793023247096
2019-03-15,7.81,7.89,7.81,7.86,7.047,68700,0.0
2019-03-18,7.82,7.98,7.81,7.98,7.154588,119000,0.015267205903221281
2019-03-19,7.96,8.05,7.96,8.01,7.181485,171500,0.0037594058525802776
2019-03-20,7.95,8.08,7.94,8.04,7.208382,109400,0.003745325653399023
2019-03-21,8.0,8.1,8.0,8.07,7.235278,98200,0.00373121180314806
2019-03-22,8.07,8.08,7.91,7.91,7.091828,176300,-0.019826466930503606
2019-03-25,7.89,7.94,7.8,7.84,7.029068,194400,-0.00884962241047016
2019-03-26,7.89,7.98,7.86,7.88,7.064931,124300,0.005102098884233408
