Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2019-01-02,2.96,2.96,2.76,2.829,2.829,83400,
2019-01-03,2.78,3.0,2.78,2.963,2.963,82100,0.04736656062212785
2019-01-04,3.0,3.0,2.81,2.946,2.946,45000,-0.005737428282146406
2019-01-07,2.99,2.99,2.842,2.95,2.95,71700,0.0013577732518670338
2019-01-08,2.91,2.988,2.85,2.89,2.89,25200,-0.02033898305084747
2019-01-09,2.96,3.23,2.93,3.22,3.22,154200,0.11418685121107264
2019-01-10,3.36,3.36,3.055,3.173,3.173,153100,-0.014596273291925477
2019-01-11,3.24,3.26,2.94,3.16,3.16,233600,-0.00409706901985496
2019-01-14,3.16,3.16,2.95,2.981,2.981,71500,-0.056645569620253244
2019-01-15,2.97,3.02,2.9,2.93,2.93,67600,-0.017108352901710755
2019-01-16,2.88,3.0,2.88,2.94,2.94,22300,0.0034129692832762792
2019-01-17,2.91,3.04,2.91,3.039,3.039,15000,0.03367346938775517
2019-01-18,3.08,3.08,2.9,3.03,3.03,28300,-0.0029615004935835687
2019-01-22,3.03,3.23,3.03,3.23,3.23,72200,0.06600660066006614
2019-01-23,3.14,3.392,3.1,3.17,3.17,53700,-0.018575851393188847
2019-01-24,3.2,3.344,3.15,3.28,3.28,55600,0.034700315457413256
2019-01-25,3.3,3.53,3.29,3.5,3.5,200100,0.06707317073170738
2019-01-28,3.52,3.53,3.46,3.47,3.47,47500,-0.008571428571428563
2019-01-29,3.57,3.61,3.42,3.5,3.5,59900,0.008645533141210304
2019-01-30,3.66,3.66,3.35,3.63,3.63,90100,0.037142857142857144
2019-01-31,3.66,3.72,3.469,3.72,3.72,190400,0.024793388429752206
2019-02-01,3.76,3.79,3.551,3.77,3.77,105700,0.013440860215053752
2019-02-04,3.82,3.82,3.63,3.74,3.74,97600,-0.007957559681697535
2019-02-05,3.82,3.82,3.65,3.76,3.76,65300,0.0053475935828875
2019-02-06,3.73,3.81,3.65,3.81,3.81,55500,0.013297872340425565
2019-02-07,3.73,3.75,3.54,3.72,3.72,110300,-0.023622047244094446
2019-02-08,3.87,3.87,3.65,3.72,3.72,73000,0.0
2019-02-11,3.73,3.77,3.64,3.72,3.72,68100,0.0
2019-02-12,3.67,3.72,3.63,3.63,3.63,44800,-0.024193548387096864
2019-02-13,3.61,3.66,3.608,3.61,3.61,27400,-0.005509641873278293
2019-02-14,3.61,3.64,3.552,3.6,3.6,97200,-0.0027700831024930483
2019-02-15,3.68,3.73,3.6,3.7,3.7,71300,0.0277777777777779
2019-02-19,3.8,3.85,3.6,3.75,3.75,100200,0.013513513513513375
2019-02-20,3.8,3.8,3.652,3.76,3.76,79600,0.002666666666666595
2019-02-21,3.75,3.75,3.64,3.74,3.74,199600,-0.005319148936170137
2019-02-22,3.76,3.78,3.7,3.708,3.708,155600,-0.00855614973262031
2019-02-25,3.75,3.89,3.67,3.76,3.76,122700,0.014023732470334282
2019-02-26,3.88,3.88,3.74,3.86,3.86,89000,0.02659574468085113
2019-02-27,3.87,3.87,3.74,3.83,3.83,66100,-0.007772020725388518
2019-02-28,3.82,3.82,3.69,3.69,3.69,41900,-0.03655352480417762
2019-03-01,3.64,3.68,3.52,3.57,3.57,123300,-0.0325203252032521
2019-03-04,3.5,3.57,3.27,3.47,3.47,166200,-0.028011204481792618
2019-03-05,3.5,3.558,3.48,3.55,3.55,90200,0.023054755043227626
2019-03-06,3.62,3.62,3.41,3.49,3.49,33700,-0.016901408450704092
2019-03-07,3.75,3.75,3.36,3.49,3.49,88700,0.0
2019-03-08,3.65,3.65,3.5,3.6,3.6,76500,0.03151862464183375
2019-03-11,3.67,3.67,3.54,3.59,3.59,75900,-0.002777777777777879
2019-03-12,3.67,3.67,3.51,3.58,3.58,55700,-0.0027855153203342198
2019-03-13,3.79,3.79,3.538,3.74,3.74,84700,0.04469273743016755
2019-03-14,3.6,3.8,3.5,3.51,3.51,72300,-0.06149732620320869
2019-03-15,3.46,3.68,3.42,3.43,3.43,97100,-0.022792022792022637
2019-03-18,3.45,3.6,3.45,3.52,3.52,55500,0.026239067055393583
2019-03-19,3.55,3.63,3.5,3.54,3.54,41800,0.005681818181818121
2019-03-20,3.47,3.59,3.47,3.52,3.52,62900,-0.005649717514124353
2019-03-21,3.54,3.629,3.54,3.58,3.58,30500,0.017045454545454586
2019-03-22,3.53,3.62,3.53,3.596,3.596,37900,0.004469273743016755
2019-03-25,3.69,3.69,3.5,3.57,3.57,53900,-0.007230255839822064
2019-03-26,3.62,3.62,3.518,3.61,3.61,35300,0.011204481792717047
2019-03-27,3.55,3.61,3.45,3.47,3.47,60600,-0.03878116343490301
2019-03-28,3.45,3.46,3.23,3.42,3.42,66400,-0.014409221902017322
2019-03-29,3.47,3.5,3.24,3.275,3.275,31300,-0.042397660818713434
2019-04-01,3.3,3.3,3.06,3.19,3.19,86900,-0.025954198473282397
2019-04-02,3.19,3.254,3.154,3.2,3.2,46700,0.0031347962382446415
2019-04-03,3.26,3.3,3.15,3.24,3.24,50300,0.012499999999999956
2019-04-04,3.2,3.413,3.15,3.35,3.35,35000,0.033950617283950546
2019-04-05,3.38,3.47,3.3,3.42,3.42,47400,0.020895522388059584
2019-04-08,3.42,3.51,3.38,3.39,3.39,86900,-0.00877192982456132
2019-04-09,3.54,3.55,3.45,3.5,3.5,46500,0.032448377581120846
2019-04-10,3.47,3.47,3.381,3.43,3.43,15600,-0.019999999999999907
2019-04-11,3.3,3.45,3.25,3.36,3.36,29900,-0.020408163265306256
2019-04-12,3.28,3.4,3.28,3.3,3.3,44300,-0.017857142857142905
2019-04-15,3.3,3.337,3.17,3.26,3.26,100200,-0.012121212121212088
2019-04-16,3.22,3.263,3.07,3.08,3.08,64100,-0.05521472392638027
2019-04-17,3.05,3.3,3.05,3.18,3.18,90300,0.032467532467532534
2019-04-18,3.25,3.47,3.17,3.4,3.4,97100,0.0691823899371069
2019-04-22,3.49,3.49,3.27,3.4,3.4,66400,0.0
2019-04-23,3.35,3.364,3.264,3.285,3.285,31800,-0.033823529411764586
2019-04-24,3.23,3.33,3.226,3.26,3.26,48700,-0.007610350076103556
2019-04-25,3.3,3.38,3.23,3.29,3.29,39000,0.00920245398773023
2019-04-26,3.29,3.36,3.27,3.35,3.35,52400,0.01823708206686936
2019-04-29,3.43,3.48,3.28,3.43,3.43,73200,0.023880597014925398
2019-04-30,3.53,3.6,3.26,3.6,3.6,60400,0.04956268221574334
2019-05-01,3.5,3.5,3.19,3.19,3.19,44600,-0.11388888888888893
2019-05-02,3.15,3.29,3.1,3.29,3.29,71100,0.03134796238244508
2019-05-03,3.3,3.3,3.16,3.18,3.18,35000,-0.03343465045592697
2019-05-06,3.12,3.21,3.1,3.11,3.11,61700,-0.022012578616352307
2019-05-07,3.07,3.2,3.07,3.07,3.07,21900,-0.012861736334405127
2019-05-08,3.14,3.25,3.14,3.18,3.18,45800,0.03583061889250816
2019-05-09,3.214,3.214,3.12,3.14,3.14,22700,-0.012578616352201255
2019-05-10,3.12,3.25,3.12,3.25,3.25,14100,0.03503184713375784
2019-05-13,3.28,3.28,3.02,3.11,3.11,62800,-0.043076923076923124
2019-05-14,3.14,3.23,2.96,3.23,3.23,24800,0.03858520900321549
2019-05-15,3.16,3.461,3.15,3.2,3.2,163200,-0.009287925696594312
2019-05-16,3.5,3.56,3.34,3.4,3.4,83200,0.0625
2019-05-17,3.47,3.65,3.26,3.65,3.65,139700,0.07352941176470584
2019-05-20,3.61,3.744,3.409,3.43,3.43,44600,-0.0602739726027397
2019-05-21,3.49,3.59,3.3,3.59,3.59,111300,0.04664723032069973
2019-05-22,3.55,3.55,3.15,3.15,3.15,109400,-0.12256267409470756
2019-05-23,3.15,3.46,3.15,3.29,3.29,79400,0.04444444444444451
2019-05-24,3.32,3.45,3.22,3.363,3.363,34800,0.02218844984802426
2019-05-28,3.29,3.38,3.29,3.3,3.3,33000,-0.01873327386262269
2019-05-29,3.3,3.4,3.26,3.33,3.33,98900,0.00909090909090926
2019-05-30,3.31,3.39,3.3,3.37,3.37,43600,0.012012012012011963
2019-05-31,3.47,3.5,3.31,3.5,3.5,52900,0.03857566765578624
2019-06-03,3.6,3.769,3.401,3.62,3.62,207500,0.03428571428571425
2019-06-04,3.57,3.73,3.45,3.6,3.6,117200,-0.0055248618784530246
2019-06-05,3.594,3.63,3.5,3.54,3.54,49700,-0.01666666666666672
2019-06-06,3.51,3.6,3.4,3.505,3.505,38400,-0.009887005649717562
2019-06-07,3.58,3.619,3.48,3.57,3.57,64600,0.01854493580599148
2019-06-10,3.38,3.53,3.26,3.38,3.38,83900,-0.053221288515406195
2019-06-11,3.4,3.65,3.4,3.64,3.64,67500,0.0769230769230771
2019-06-12,3.7,3.73,3.566,3.69,3.69,42900,0.013736263736263687
2019-06-13,3.75,3.75,3.61,3.75,3.75,40500,0.016260162601626105
2019-06-14,3.79,3.84,3.6,3.62,3.62,49500,-0.03466666666666662
2019-06-17,3.61,3.74,3.6,3.6,3.6,25800,-0.0055248618784530246
2019-06-18,3.67,3.9,3.615,3.745,3.745,117000,0.04027777777777786
2019-06-19,3.77,3.95,3.7,3.95,3.95,48000,0.05473965287049398
2019-06-20,3.95,4.0,3.878,3.975,3.975,128700,0.006329113924050667
2019-06-21,3.95,4.0,3.92,3.97,3.97,46600,-0.0012578616352201255
2019-06-24,3.97,4.14,3.93,4.12,4.12,120600,0.037783375314861534
2019-06-25,4.12,4.12,3.8,3.8,3.8,86600,-0.07766990291262144
2019-06-26,3.89,4.22,3.82,4.22,4.22,68900,0.11052631578947358
2019-06-27,4.3,4.3,3.94,3.94,3.94,138200,-0.06635071090047384
2019-06-28,4.04,4.07,3.9,4.06,4.06,86300,0.030456852791878042
2019-07-01,4.12,4.12,3.9,3.92,3.92,43500,-0.03448275862068961
2019-07-02,3.93,3.94,3.74,3.85,3.85,162300,-0.017857142857142794
2019-07-03,3.97,4.07,3.84,4.07,4.07,77000,0.05714285714285716
2019-07-05,3.95,4.0,3.79,3.91,3.91,130300,-0.039312039312039304
2019-07-08,3.93,3.93,3.81,3.87,3.87,42500,-0.010230179028132946
2019-07-09,3.81,3.93,3.81,3.85,3.85,32600,-0.0051679586563307955
2019-07-10,3.87,4.0,3.87,3.99,3.99,60900,0.036363636363636376
2019-07-11,3.92,4.0,3.8,3.8,3.8,62700,-0.04761904761904767
2019-07-12,3.89,4.0,3.76,3.87,3.87,67400,0.018421052631579116
2019-07-15,3.93,3.986,3.8,3.98,3.98,59800,0.028423772609819098
2019-07-16,3.92,3.98,3.86,3.93,3.93,105800,-0.012562814070351758
2019-07-17,3.93,4.52,3.93,4.43,4.43,394900,0.12722646310432562
2019-07-18,4.55,5.08,4.43,4.84,4.84,443300,0.09255079006772005
2019-07-19,4.89,5.2,4.66,4.81,4.81,438200,-0.006198347107438051
2019-07-22,5.13,5.13,4.64,4.96,4.96,272100,0.031185031185031242
2019-07-23,4.7,4.85,4.6,4.72,4.72,275500,-0.048387096774193616
2019-07-24,4.99,5.29,4.77,5.29,5.29,272400,0.12076271186440679
2019-07-25,5.23,5.254,4.86,5.04,5.04,270600,-0.047258979206049156
2019-07-26,5.05,5.23,5.0,5.1,5.1,151000,0.011904761904761862
2019-07-29,5.15,5.27,4.9,5.26,5.26,130200,0.031372549019607954
2019-07-30,5.32,5.65,5.28,5.44,5.44,211800,0.034220532319391817
2019-07-31,5.36,5.53,5.22,5.27,5.27,178600,-0.03125000000000011
2019-08-01,5.14,5.5,4.9,5.43,5.43,260000,0.030360531309297834
2019-08-02,5.58,5.58,5.25,5.45,5.45,157000,0.0036832412523020164
2019-08-05,5.63,6.144,5.45,5.98,5.98,336200,0.0972477064220183
2019-08-06,6.06,6.06,5.74,5.83,5.83,213300,-0.025083612040133874
2019-08-07,6.13,6.35,5.65,5.76,5.76,406700,-0.012006861063464935
2019-08-08,5.77,6.139,5.42,6.08,6.08,272200,0.05555555555555558
2019-08-09,6.08,6.3,5.94,6.23,6.23,311500,0.024671052631578982
2019-08-12,6.31,6.387,6.08,6.19,6.19,277200,-0.006420545746388395
2019-08-13,6.25,6.25,5.85,5.88,5.88,342000,-0.050080775444265035
