Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2019-01-02,2.4,2.79,2.225,2.79,2.79,3400,
2019-01-03,2.74,2.74,2.15,2.15,2.15,3500,-0.22939068100358428
2019-01-04,2.15,2.63,2.15,2.397,2.397,2300,0.11488372093023247
2019-01-07,2.291,2.35,2.291,2.3,2.3,1400,-0.040467250730079285
2019-01-08,2.242,2.51,2.22,2.5,2.5,7400,0.0869565217391306
2019-01-09,2.62,2.689,2.507,2.55,2.55,4700,0.020000000000000018
2019-01-10,2.65,2.65,2.65,2.65,2.65,400,0.03921568627450989
2019-01-11,2.65,2.65,2.41,2.41,2.41,5800,-0.09056603773584893
2019-01-14,2.35,2.6,2.35,2.6,2.6,300,0.07883817427385886
2019-01-15,2.52,2.52,2.52,2.52,2.52,1400,-0.03076923076923077
2019-01-16,2.53,2.6,2.26,2.29,2.29,7500,-0.09126984126984128
2019-01-17,2.52,2.52,2.25,2.27,2.27,1500,-0.008733624454148492
2019-01-18,2.52,2.52,2.38,2.38,2.38,1500,0.048458149779735615
2019-01-22,2.23,2.23,2.227,2.23,2.23,1300,-0.06302521008403361
2019-01-23,2.345,2.345,2.3,2.34,2.34,1000,0.049327354260089606
2019-01-24,2.29,2.29,2.24,2.24,2.24,1000,-0.04273504273504258
2019-01-25,2.32,2.55,2.27,2.423,2.423,4500,0.08169642857142856
2019-01-28,2.21,2.219,2.19,2.19,2.19,1700,-0.09616178291374333
2019-01-29,2.09,2.09,1.84,1.98,1.98,7700,-0.09589041095890405
2019-01-30,1.93,1.95,1.93,1.95,1.95,1500,-0.015151515151515138
2019-01-31,1.88,2.06,1.88,2.06,2.06,12300,0.05641025641025643
2019-02-01,1.95,1.95,1.85,1.86,1.86,10400,-0.09708737864077666
2019-02-04,1.92,1.92,1.85,1.91,1.91,2100,0.026881720430107503
2019-02-05,1.9,1.92,1.85,1.85,1.85,3400,-0.03141361256544495
2019-02-06,1.94,1.94,1.94,1.94,1.94,500,0.048648648648648596
2019-02-07,1.88,1.9,1.829,1.829,1.829,1100,-0.057216494845360844
2019-02-08,1.9,1.9,1.84,1.84,1.84,700,0.006014215418261415
2019-02-11,1.74,2.06,1.7,1.75,1.75,15600,-0.048913043478260865
2019-02-12,1.73,1.91,1.72,1.88,1.88,2700,0.07428571428571429
2019-02-13,1.769,1.903,1.719,1.85,1.85,3200,-0.015957446808510523
2019-02-14,1.81,1.81,1.7,1.7,1.7,2700,-0.08108108108108114
2019-02-15,1.73,2.05,1.73,1.98,1.98,11200,0.16470588235294126
2019-02-19,2.07,2.24,2.06,2.137,2.137,3800,0.07929292929292941
2019-02-20,2.129,2.13,1.91,2.05,2.05,26300,-0.040711277491811027
2019-02-21,1.97,2.0,1.8,1.882,1.882,10500,-0.08195121951219508
2019-02-22,1.99,1.991,1.99,1.991,1.991,500,0.05791710945802353
2019-02-25,1.799,2.07,1.799,1.88,1.88,4100,-0.055750878955298955
2019-02-26,2.05,2.06,2.05,2.05,2.05,1300,0.09042553191489366
2019-02-27,1.91,2.04,1.91,2.03,2.03,1300,-0.009756097560975618
2019-02-28,2.03,2.094,1.83,2.02,2.02,6600,-0.004926108374384119
2019-03-01,2.18,2.19,1.95,1.95,1.95,2800,-0.034653465346534684
2019-03-04,2.07,2.1,1.96,1.96,1.96,1600,0.00512820512820511
2019-03-05,2.1,2.1,1.95,1.95,1.95,1800,-0.005102040816326481
2019-03-06,1.99,2.0,1.99,2.0,2.0,3400,0.025641025641025772
2019-03-07,1.81,1.98,1.81,1.98,1.98,800,-0.010000000000000009
2019-03-08,1.74,1.89,1.68,1.89,1.89,6700,-0.045454545454545525
