Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,1.785156,1.800781,1.716797,1.759766,1.527291,54070400
2000-01-04,1.703125,1.718750,1.664063,1.679688,1.457792,38960000
2000-01-05,1.679688,1.683594,1.644531,1.666016,1.445926,24038400
2000-01-06,1.656250,1.789063,1.656250,1.779297,1.544242,35760000
2000-01-07,1.796875,2.101563,1.794922,2.050781,1.779863,67779200
2000-01-10,2.058594,2.451172,2.050781,2.318359,2.012091,61219200
2000-01-11,2.322266,2.324219,2.070313,2.106445,1.828173,46502400
2000-01-12,2.136719,2.156250,2.035156,2.087891,1.812069,21923200
2000-01-13,2.156250,2.207031,2.093750,2.203125,1.912080,23811200
2000-01-14,2.217773,2.259277,2.125000,2.152344,1.868007,38908800
2000-01-18,2.148438,2.150391,1.964844,2.138672,1.856142,38672000
2000-01-19,2.121094,2.121094,1.871094,1.964844,1.705277,81686400
2000-01-20,2.044922,2.046875,1.835938,1.955078,1.696802,39651200
2000-01-21,1.958984,2.021484,1.937500,1.949219,1.691717,25081600
2000-01-24,2.001953,2.001953,1.730469,1.732422,1.503560,51062400
2000-01-25,1.750000,1.779297,1.640625,1.769531,1.535767,38486400
2000-01-26,1.775391,1.775391,1.632813,1.686523,1.463725,29126400
2000-01-27,1.708984,1.720703,1.546875,1.550781,1.345915,23321600
2000-01-28,1.562500,1.597656,1.443359,1.530273,1.328116,44937600
2000-01-31,1.537109,1.632813,1.402344,1.462891,1.269635,23894400
2000-02-01,1.449219,1.523438,1.433594,1.443359,1.252684,31091200
2000-02-02,1.457031,1.531250,1.417969,1.435547,1.245904,40953600
2000-02-03,1.468750,1.472656,1.398438,1.406250,1.220477,39974400
2000-02-04,1.437500,1.468750,1.410156,1.460938,1.267940,34313600
2000-02-07,1.484375,1.748047,1.453125,1.697266,1.473048,55174400
2000-02-08,1.732422,1.867188,1.671875,1.853516,1.608656,42739200
2000-02-09,1.888672,1.906250,1.695313,1.716797,1.489999,36944000
2000-02-10,1.754883,1.832031,1.671875,1.729980,1.501441,31875200
2000-02-11,1.732422,1.769531,1.667969,1.748047,1.517121,35638400
2000-02-14,1.754883,1.890625,1.753906,1.876953,1.628998,34112000
2000-02-15,1.890625,2.000000,1.859375,1.984375,1.722229,52416000
2000-02-16,2.000000,2.125000,1.992188,2.000000,1.735789,65075200
2000-02-17,2.097656,2.371094,2.097656,2.328125,2.020567,72723200
2000-02-18,2.281250,2.515625,2.208984,2.408203,2.090067,75715200
2000-02-22,2.363281,2.390625,2.132813,2.340820,2.031585,44249600
2000-02-23,2.388672,2.414063,2.312500,2.367188,2.054470,25321600
2000-02-24,2.394531,2.433594,2.257813,2.292969,1.990056,22582400
2000-02-25,2.375000,2.390625,2.093750,2.260742,1.962086,35862400
2000-02-28,2.208984,2.289063,2.152344,2.216797,1.923946,28585600
2000-02-29,2.222656,2.398438,2.218750,2.390625,2.074811,23766400
2000-03-01,2.369141,2.541016,2.369141,2.499023,2.168889,36835200
2000-03-02,2.523438,2.562500,2.394531,2.437500,2.115493,16652800
2000-03-03,2.468750,2.589844,2.437500,2.496094,2.166347,16841600
2000-03-06,2.507813,2.640625,2.464844,2.574219,2.234151,22163200
2000-03-07,2.613281,2.656250,2.289063,2.396484,2.079896,19222400
2000-03-08,2.523926,2.531250,2.234375,2.310547,2.005311,15993600
2000-03-09,2.343750,2.375000,2.218750,2.238281,1.942593,14304000
2000-03-10,2.281250,2.316406,2.167969,2.240234,1.944287,18297600
2000-03-13,2.150391,2.214844,2.083984,2.117188,1.837496,18227200
2000-03-14,2.154297,2.304688,2.000000,2.121094,1.840886,43184000
2000-03-15,2.144531,2.191406,1.996094,1.998047,1.734094,23276800
2000-03-16,2.187500,2.193359,2.015625,2.066406,1.793423,17696000
2000-03-17,2.023438,2.179688,1.937500,1.992188,1.729009,18880000
2000-03-20,1.988281,2.156250,1.734375,1.794922,1.557803,29299200
2000-03-21,1.792969,1.910156,1.664063,1.779297,1.544242,48233600
2000-03-22,1.861328,2.015625,1.851563,2.001953,1.737484,17088000
2000-03-23,2.109375,2.238281,2.062500,2.175781,1.888349,43878400
2000-03-24,2.183594,2.273438,2.167969,2.199219,1.908690,18467200
2000-03-27,2.248047,2.253906,2.117188,2.181641,1.893434,17868800
2000-03-28,2.238281,2.335938,2.175781,2.201172,1.910385,13974400
2000-03-29,2.250000,2.343750,2.031250,2.082031,1.806984,21843200
2000-03-30,2.025391,2.025391,1.843750,1.843750,1.600181,29782400
2000-03-31,1.925781,2.007813,1.906250,1.980469,1.718838,32233600
2000-04-03,1.921875,1.984375,1.875000,1.876953,1.628998,19635200
2000-04-04,1.898438,1.919922,1.714844,1.851563,1.606961,23440000
2000-04-05,1.851563,2.031250,1.792969,1.945313,1.688326,35942400
2000-04-06,2.052734,2.101563,1.953125,2.061035,1.788761,28924800
2000-04-07,2.109375,2.109375,1.968750,1.978516,1.717143,24265600
2000-04-10,1.992188,2.039063,1.921875,1.937500,1.681546,15536000
2000-04-11,1.960938,1.966797,1.820313,1.953125,1.695107,18240000
2000-04-12,1.917969,1.921875,1.753906,1.818359,1.578144,20832000
2000-04-13,1.837891,1.941406,1.710938,1.902344,1.651034,24284800
2000-04-14,1.904297,1.906250,1.710938,1.728516,1.500169,18460800
2000-04-17,1.705078,1.718750,1.578125,1.589844,1.379817,32432000
2000-04-18,1.601563,1.734375,1.568359,1.708984,1.483219,31932800
2000-04-19,1.757813,1.757813,1.625000,1.625488,1.410753,14256000
2000-04-20,1.683594,1.683594,1.521484,1.601563,1.389987,20832000
2000-04-24,1.625000,1.625000,1.457031,1.535156,1.332354,8732800
2000-04-25,1.564453,1.578125,1.496094,1.498047,1.300147,17948800
2000-04-26,1.529297,1.531250,1.398438,1.437500,1.247599,23382400
2000-04-27,1.417969,1.417969,1.351563,1.357422,1.178099,20278400
2000-04-28,1.416016,1.699219,1.390625,1.693359,1.469658,31238400
2000-05-01,1.689453,1.769531,1.523438,1.742188,1.512035,24006400
2000-05-02,1.779297,1.875000,1.632813,1.789063,1.552718,22195200
2000-05-03,1.794922,1.796875,1.664063,1.675781,1.454402,12617600
2000-05-04,1.708984,2.023438,1.701172,1.974609,1.713753,32393600
2000-05-05,1.892578,2.210449,1.835938,2.156250,1.871398,41792000
2000-05-08,2.125000,2.140625,2.007813,2.097656,1.820545,22076800
2000-05-09,2.115234,2.148438,2.027344,2.033203,1.764606,28553600
2000-05-10,2.011719,2.015625,1.863281,1.937500,1.681546,14000000
2000-05-11,1.953125,2.052734,1.921875,1.938965,1.682817,7113600
2000-05-12,1.935547,1.960938,1.900391,1.943359,1.686631,11344000
2000-05-15,1.947266,2.015625,1.843750,2.013672,1.747655,7756800
2000-05-16,2.011719,2.156250,2.011719,2.128906,1.847667,15056000
2000-05-17,2.123047,2.125000,2.017578,2.050781,1.779863,22387200
2000-05-18,2.062500,2.062500,1.960938,1.964844,1.705277,16163200
2000-05-19,1.976563,1.976563,1.835938,1.868652,1.621793,10886400
2000-05-22,1.875000,1.914063,1.785156,1.867188,1.620522,10668800
2000-05-23,1.853516,1.914063,1.835938,1.892578,1.642558,17440000
2000-05-24,1.878906,2.081543,1.839844,2.029297,1.761216,19913600
2000-05-25,2.025391,2.107422,1.921875,1.933594,1.678156,12307200
2000-05-26,1.765137,1.767578,1.609375,1.660156,1.440840,31942400
2000-05-30,1.695313,1.753906,1.542969,1.753906,1.522206,29011200
2000-05-31,1.746094,1.753906,1.699219,1.708984,1.483219,6003200
2000-06-01,1.750000,1.785156,1.718750,1.769531,1.535767,5356800
2000-06-02,1.810547,1.955078,1.777344,1.949219,1.691717,9289600
