Date,Open,High,Low,Close,Adj Close,Volume
2015-05-07,185.500000,210.139999,180.600006,209.300003,209.300003,235800
2015-05-08,210.279999,272.720001,210.279999,269.779999,269.779999,46800
2015-05-11,282.940002,303.799988,274.399994,290.500000,290.500000,39100
2015-05-12,303.519989,306.459991,269.359985,301.980011,301.980011,19400
2015-05-13,301.980011,308.000000,254.800003,274.260010,274.260010,26600
2015-05-14,268.660004,298.760010,256.899994,288.119995,288.119995,7100
2015-05-15,294.980011,300.859985,264.376007,281.820007,281.820007,10300
2015-05-18,275.940002,283.220001,264.600006,278.600006,278.600006,6600
2015-05-19,285.459991,285.459991,273.489990,281.399994,281.399994,2700
2015-05-20,280.559998,324.239990,267.119995,320.320007,320.320007,10900
2015-05-21,324.799988,389.480011,320.600006,336.000000,336.000000,13200
2015-05-22,332.640015,363.579987,322.000000,345.940002,345.940002,5300
2015-05-26,352.799988,371.000000,336.420013,354.760010,354.760010,16500
2015-05-27,361.619995,375.899994,329.559998,345.660004,345.660004,11400
2015-05-28,339.079987,351.959991,334.739990,335.720001,335.720001,8100
2015-05-29,330.260010,336.000000,309.820007,320.459991,320.459991,11800
2015-06-01,338.380005,339.779999,317.660004,328.720001,328.720001,7900
2015-06-02,330.540009,368.760010,320.235992,353.359985,353.359985,11900
2015-06-03,349.859985,395.220001,341.040009,390.320007,390.320007,27100
2015-06-04,396.059998,396.059998,372.399994,382.619995,382.619995,4500
2015-06-05,375.760010,386.652008,350.839996,362.179993,362.179993,5100
2015-06-08,360.079987,377.859985,346.500000,349.019989,349.019989,6600
2015-06-09,349.440002,349.440002,305.200012,309.959991,309.959991,11100
2015-06-10,316.119995,329.588013,284.059998,315.559998,315.559998,6100
2015-06-11,315.980011,327.040009,290.541992,303.239990,303.239990,6600
2015-06-12,302.820007,321.019989,295.890015,311.220001,311.220001,6500
2015-06-15,308.000000,325.640015,305.760010,317.100006,317.100006,9600
2015-06-16,312.899994,321.859985,304.500000,307.299988,307.299988,7700
2015-06-17,305.899994,321.649994,302.679993,313.880005,313.880005,4500
2015-06-18,311.779999,324.239990,303.295990,309.260010,309.260010,5600
2015-06-19,310.799988,324.660004,302.540009,305.480011,305.480011,18600
