Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,5.625000,5.625000,5.031250,5.281250,4.288374,923600
2000-01-04,5.218750,5.218750,5.000000,5.031250,4.085377,196400
2000-01-05,5.031250,5.062500,4.890625,4.937500,4.009250,1044800
2000-01-06,4.953125,4.953125,4.859375,4.906250,3.983874,469200
2000-01-07,4.875000,5.031250,4.875000,4.984375,4.047312,509600
2000-01-10,4.953125,5.015625,4.890625,4.890625,3.971188,1116400
2000-01-11,4.937500,4.968750,4.625000,4.687500,3.806250,1533200
2000-01-12,4.750000,4.750000,4.468750,4.531250,3.679376,1540400
2000-01-13,4.546875,4.750000,4.546875,4.750000,3.857000,1454800
2000-01-14,4.812500,4.843750,4.609375,4.718750,3.831626,692800
2000-01-18,4.687500,4.703125,4.640625,4.671875,3.793565,354400
2000-01-19,4.703125,4.703125,4.453125,4.484375,3.641313,973600
2000-01-20,4.500000,4.609375,4.328125,4.531250,3.679376,1896800
2000-01-21,4.812500,4.843750,4.531250,4.593750,3.730125,1245200
2000-01-24,4.625000,4.703125,4.421875,4.468750,3.628624,1358800
2000-01-25,4.531250,4.531250,4.187500,4.250000,3.451000,1631600
2000-01-26,4.296875,4.421875,4.281250,4.359375,3.539813,2785600
2000-01-27,4.375000,4.500000,4.343750,4.484375,3.641313,1858800
2000-01-28,4.515625,4.562500,4.437500,4.437500,3.603250,1246400
2000-01-31,4.484375,4.484375,4.328125,4.359375,3.539813,1228000
2000-02-01,4.406250,4.437500,4.281250,4.296875,3.489063,798800
2000-02-02,4.359375,4.359375,4.234375,4.250000,3.451000,1172400
2000-02-03,4.312500,4.359375,4.250000,4.312500,3.501751,999600
2000-02-04,4.328125,4.390625,4.265625,4.312500,3.501751,4247200
2000-02-07,4.312500,4.328125,4.109375,4.140625,3.362189,1506400
2000-02-08,4.250000,4.515625,4.234375,4.453125,3.615938,1397600
2000-02-09,4.437500,4.468750,4.375000,4.421875,3.590564,860400
2000-02-10,4.421875,4.484375,4.328125,4.359375,3.539813,937200
2000-02-11,4.359375,4.484375,4.343750,4.406250,3.577874,785200
2000-02-14,4.421875,4.453125,4.375000,4.390625,3.565189,664800
2000-02-15,4.359375,4.781250,4.359375,4.625000,3.755501,1352400
2000-02-16,4.625000,4.625000,4.390625,4.421875,3.590564,676000
2000-02-17,4.468750,4.562500,4.390625,4.421875,3.590564,1258400
2000-02-18,4.406250,4.437500,4.218750,4.437500,3.603250,796000
2000-02-22,4.406250,4.500000,4.312500,4.328125,3.514438,324400
2000-02-23,4.406250,4.406250,4.250000,4.265625,3.463688,383600
2000-02-24,4.312500,4.375000,4.140625,4.203125,3.412939,634800
2000-02-25,4.187500,4.234375,4.031250,4.046875,3.286062,810800
2000-02-28,4.000000,4.109375,4.000000,4.093750,3.324126,594400
2000-02-29,4.140625,4.296875,4.078125,4.203125,3.412939,741200
2000-03-01,4.203125,4.328125,4.140625,4.265625,3.463688,714400
2000-03-02,4.265625,4.281250,4.000000,4.156250,3.374876,1325600
2000-03-03,4.203125,4.250000,4.046875,4.125000,3.349501,523600
2000-03-06,4.125000,4.171875,4.031250,4.046875,3.286062,433600
2000-03-07,4.078125,4.093750,3.906250,3.984375,3.235313,606000
2000-03-08,3.937500,4.000000,3.843750,3.921875,3.184563,416800
